# Domain: L_shaped (full spectrum)
# Computed 2026-06-01 16:43:43
# Bounding box [a, b] x [c, d] = [-1, 1] x [-1, 1]
# Resolution M = 49, grid spacing h = 0.04, dofs = 1776
# Indicator function phi = @(x,y)indicator_L_shaped(x,y,-1,0,1,-1,0,1)
n,lambda_n
1,9.6752504780555
2,15.1965652938272
3,19.7392088021797
4,29.5211948934955
5,31.9986508835448
6,41.5397488175897
7,44.944975585886
8,49.3480220054491
9,49.3480220054508
10,56.7819039257211
11,65.3718678080117
12,71.1424934900512
13,71.572568485705
14,78.9568352087112
15,89.5570395585656
16,92.3042257547613
17,97.3748136574908
18,98.6960440108939
19,98.6960440108981
20,101.727506174886
21,112.400563509176
22,115.503329980593
23,128.304857214158
24,128.304857214159
25,130.11893013951
26,130.324685778627
27,142.623144433953
28,151.117183538885
29,154.932781002617
30,162.18722430647
31,164.703346462392
32,164.85354310268
33,167.78327481852
34,167.783274818528
35,177.652879219608
36,179.887585490091
37,184.033126862654
38,197.392088021789
39,197.392088021791
40,201.478848427599
41,207.554097997699
42,208.772599113473
43,209.671248420738
44,223.220246346467
45,223.605856559066
46,236.576538553029
47,238.412966278325
48,246.740110027229
49,246.740110027238
50,250.955807489835
51,252.851927318118
52,256.609714428321
53,256.609714428329
54,266.188215568863
55,269.45399675718
56,270.213325028447
57,281.297106012109
58,286.218527631587
59,286.218527631588
60,289.328480290469
61,293.600491688453
62,306.769196122365
63,306.940643278971
64,310.514634513221
65,313.747817502243
66,315.82734083486
67,335.566549637031
68,335.566549637033
69,335.82173842
70,335.878422693668
71,346.127638865472
72,352.184582911205
73,359.806262636385
74,360.488231355821
75,365.175362840301
76,365.175362840302
77,369.521099442702
78,372.428429680696
79,376.40950569335
80,382.77943934598
81,389.859743558594
82,390.570271351768
83,394.78417604357
84,394.784176043577
85,404.653780444659
86,404.65378044466
87,415.972910859479
88,419.572389615898
89,426.82774435469
90,427.079194868823
91,433.01595806819
92,443.76651496309
93,444.13219804901
94,444.132198049019
95,454.127119895165
96,454.137973468439
97,455.096677157917
98,464.441259681034
99,478.869037033522
100,479.641860072555
101,486.356027689691
102,490.069732918457
103,493.480220054464
104,493.480220054478
105,493.480220054487
106,499.864190200438
107,502.271983179903
108,512.641551713913
109,513.219428856639
110,513.219428856648
111,513.489212855568
112,523.089033257735
113,523.089033257741
114,530.408166942778
115,537.501141722138
116,545.208659810055
117,546.208458605439
118,559.096655910176
119,563.909239724995
120,565.059242838231
121,565.458808443004
122,572.437055263189
123,572.437055263203
124,576.198392407121
125,578.182614435252
126,591.640121497505
127,592.17856044868
128,602.04586846645
129,602.045868466465
130,605.871908018269
131,609.489695474551
132,631.694251124569
133,634.150582933203
134,636.994815135115
135,641.524286070808
136,641.524286070809
137,641.524286070816
138,641.52428607082
139,641.864320183066
140,642.757977616595
141,648.956172734673
142,654.842230339071
143,660.552823594151
144,663.840896821785
145,671.133099274088
146,671.133099274091
147,674.387186240628
148,685.679330635483
149,686.877128250135
150,692.420684183457
151,698.64893957571
152,710.611516878432
153,714.874520006931
154,715.777890051435
155,720.481121279524
156,720.481121279525
157,722.655628073285
158,722.668392694286
159,730.350725680615
160,730.350725680616
161,747.202661682124
162,747.773413446105
163,753.385158347156
164,754.685819772405
165,759.12734806653
166,764.391593429772
167,780.845935941284
168,789.568352087148
169,789.56835208715
170,791.247046036179
171,795.669748319057
172,797.311476580605
173,801.648301153591
174,806.695984212756
175,807.771021945279
176,807.936281534578
177,809.307560889322
178,809.307560889333
179,825.145353809661
180,826.605438522781
181,833.602021588642
182,837.010989097206
183,838.916374092592
184,838.916374092603
185,838.916374092603
186,838.916374092607
187,856.827098318491
188,860.474916599599
189,874.946277972839
190,875.221463307526
191,878.394791696947
192,878.394791696952
193,881.050497121875
194,888.264396098038
195,888.264396098046
196,892.030484261309
197,900.097509482711
198,900.125620659703
199,904.676391889254
200,919.091239508827
201,919.582729870828
202,923.153480055616
203,929.083943221373
204,929.770793879593
205,937.290333923401
206,938.068295607393
207,957.351626905661
208,957.351626905664
209,960.913620151248
210,961.966557711598
211,967.221231306754
212,973.795526569227
213,974.006598679782
214,986.960440108926
215,986.960440108937
216,992.760637673533
217,993.765239744712
218,996.830044510022
219,996.830044510025
220,1000.09617072709
221,1003.67293387774
222,1010.86089564381
223,1013.43732859778
224,1018.47911049898
225,1026.43885771329
226,1026.43885771331
227,1027.62303525246
228,1038.18453329022
229,1040.26480615916
230,1046.17806651547
231,1046.17806651547
232,1050.10447754467
233,1055.30768159276
234,1058.66254421258
235,1062.5932619145
236,1070.96512313065
237,1075.78687971874
238,1075.78687971876
239,1076.19398601593
240,1097.1982159875
241,1097.30256820035
242,1100.18587822269
243,1100.49704914053
244,1106.52218160451
245,1111.23943866717
246,1115.26529732309
247,1115.2652973231
248,1127.04483091425
249,1127.75730822505
250,1138.63152716099
251,1139.82325448128
252,1144.87411052638
253,1144.87411052638
254,1154.74371492746
255,1154.74371492747
256,1163.59427689479
257,1170.06591168885
258,1170.89276384497
259,1174.30426228138
260,1183.44905612313
261,1192.4519335763
262,1193.94608722535
263,1199.83521075285
264,1200.35913049866
265,1204.0917369329
266,1204.09173693291
267,1210.58946694238
268,1216.59602472413
269,1217.42333635486
270,1225.12135241484
271,1225.49281735677
272,1233.70055013615
273,1233.70055013616
274,1233.70055013617
275,1233.7005501362
276,1241.7148231839
277,1242.01789897199
278,1246.39756233651
279,1249.63156990507
280,1263.30936333944
281,1263.3248687285
282,1264.06371122554
283,1283.04857214161
284,1283.04857214162
285,1283.04857214162
286,1283.04857214162
287,1286.90219912161
288,1289.94075141404
289,1310.11008409279
290,1312.16954198003
291,1315.69433967733
292,1316.16729808249
293,1321.07102289309
294,1329.90546012103
295,1335.66021144785
296,1338.90515972424
297,1342.26619854815
298,1342.26619854816
299,1344.23070521698
300,1344.28930461868
301,1350.69183641861
302,1352.13580294923
303,1352.13580294925
304,1365.93937727126
305,1377.40367426664
306,1383.26386221908
307,1386.31486680035
308,1386.62721507474
309,1397.45290409598
310,1398.40334863379
311,1409.46289924742
312,1411.32410052536
313,1425.68487256688
314,1427.69727972815
315,1431.09263815795
316,1431.09263815796
317,1431.09263815797
318,1431.09263815797
319,1440.76562350994
320,1440.96224255905
321,1440.96224255907
322,1443.23984384872
323,1447.35512111351
324,1447.49500608042
325,1460.67779047604
326,1460.70145136122
327,1460.70145136124
328,1461.42713661716
329,1470.57105576232
330,1470.57105576233
331,1484.69190562633
332,1487.79732006279
333,1489.07187477319
334,1493.43098884112
335,1493.84418788031
336,1501.94551783693
337,1510.04947336667
338,1510.04947336668
339,1514.94025387183
340,1531.62018094289
341,1535.07458000287
342,1542.47044331273
343,1548.28677591616
344,1549.52789097102
345,1549.52789097104
346,1551.60572718657
347,1552.12472646092
348,1552.56344663574
349,1557.47245207284
350,1557.88303033344
351,1574.23791978473
352,1577.22756501389
353,1579.1367041743
354,1579.13670417431
355,1580.66816208386
356,1580.71469381943
357,1598.87591297648
358,1612.97143661642
359,1613.29706229713
360,1616.64007139689
361,1618.16439218096
362,1618.61512177865
363,1618.61512177867
364,1631.33561837481
365,1634.61776131053
366,1659.22212339321
367,1661.43211841664
368,1663.20591420455
369,1667.9631437841
370,1667.96314378412
371,1671.399581395
372,1673.75563923094
373,1674.45123670549
374,1677.83274818519
375,1677.8327481852
376,1677.8327481852
377,1677.83274818521
378,1686.3221642155
379,1687.02034917865
380,1693.38705943966
381,1700.03146168395
382,1701.84738902553
383,1707.44156138846
384,1707.44156138847
385,1709.74003098752
386,1723.44548189813
387,1724.98302979408
388,1726.17220008652
389,1731.27953325957
390,1733.54647338979
391,1735.7869108007
392,1754.10924717378
393,1755.73681767184
394,1756.78958339391
395,1756.78958339391
396,1776.52879219608
397,1776.52879219609
398,1778.4989507841
399,1780.68507881225
400,1786.39839659717
401,1786.39839659719
402,1788.67588944109
403,1790.29532158403
404,1800.11463972292
405,1801.43357770068
406,1808.75291589633
407,1808.84654360354
408,1825.87681420153
409,1825.87681420154
410,1825.87681420154
411,1825.87681420155
412,1836.20063879413
413,1836.21685886344
414,1839.31573599108
415,1842.21052762635
416,1848.44454030127
417,1858.57331996134
418,1862.88609569873
419,1866.97975211779
420,1877.22140525857
421,1884.4319954472
422,1885.92084872764
423,1897.27049922836
424,1901.12380206148
425,1904.83364941026
426,1904.83364941026
427,1905.42994530652
428,1914.40447981493
429,1914.70325381134
430,1914.70325381136
431,1918.15465815346
432,1936.5490842312
433,1938.23357570961
434,1938.66647686454
435,1943.73884344518
436,1944.31206701459
437,1944.31206701459
438,1947.97436390325
439,1948.07331546306
440,1963.3581536918
441,1964.89830316741
442,1970.27237181101
443,1970.32474748507
444,1973.92088021787
445,1973.92088021788
446,1973.92088021789
447,1980.6690055741
448,1983.70379805717
449,1993.66008902005
450,1993.66008902007
451,1998.41655125582
452,2001.6203720546
453,2023.2689022233
454,2023.26890222333
455,2023.26890222333
456,2023.26890222334
457,2026.12854819601
458,2027.78693483617
459,2038.01513722439
460,2038.56016006243
461,2044.35439669215
462,2052.87771542659
463,2052.8777154266
464,2053.97311620143
465,2063.11675686302
466,2063.69211801827
467,2073.27944420037
468,2083.02552047535
469,2084.64265723942
470,2085.0003692754
471,2090.82369066419
472,2092.35613303093
473,2092.35613303096
474,2098.99814829796
475,2112.5325458535
476,2112.7283316856
477,2113.26692821062
478,2116.89514976662
479,2128.47328077257
480,2129.63475085211
481,2140.37294366124
482,2142.75908916057
483,2151.57375943749
484,2151.5737594375
485,2156.01492544298
486,2156.5918995485
487,2163.92869957328
488,2164.80098296093
489,2176.42773380213
490,2177.63033393601
491,2181.18257264074
492,2181.18257264075
493,2181.18257264077
494,2181.18257264077
495,2217.05773310972
496,2217.76942221213
497,2220.6609902451
498,2220.66099024512
499,2224.28896542916
500,2225.02390158612
501,2227.67399971483
502,2229.23420749779
503,2230.53059464619
504,2230.53059464621
505,2237.3799148919
506,2242.30587832607
507,2249.50556137808
508,2250.20996683462
509,2250.30796261656
510,2260.13940784946
511,2260.13940784948
512,2261.79448035222
513,2277.70641407078
514,2279.17009776575
515,2280.57310110394
516,2288.8183191543
517,2289.74822105271
518,2289.74822105272
519,2289.86850236396
520,2299.61782545381
521,2299.61782545383
522,2305.2428364807
523,2309.48742985491
524,2309.48742985491
525,2316.22372315109
526,2316.50868823043
527,2321.59877938587
528,2323.09255270022
529,2341.15555179912
530,2348.66348039392
531,2349.5179074517
532,2350.56741858887
533,2355.57121567264
534,2356.3150866455
535,2378.57466066253
536,2378.57466066255
537,2380.63441645676
538,2380.84284668116
539,2384.88738156651
540,2385.5743396206
541,2388.44426506362
542,2407.20338492794
543,2407.49176487272
544,2408.18347386578
545,2408.18347386582
546,2414.63618198867
547,2416.69229861578
548,2418.05307826689
549,2418.05307826689
550,2429.99871998373
551,2430.4184618339
552,2437.51493070984
553,2440.21214649387
554,2458.5367301805
555,2458.6088387975
556,2465.26339853192
557,2467.40110027234
558,2467.40110027234
559,2467.40110027235
560,2467.40110027238
561,2475.85738060276
562,2489.79724682154
563,2490.22942496929
564,2497.20394755683
565,2510.28020420384
566,2511.23374815216
567,2518.90273860326
568,2526.19458952976
569,2527.56949510206
570,2535.12397929747
571,2535.48100765396
572,2536.48833107997
573,2536.48833107998
574,2540.25009912584
575,2543.83130446847
576,2553.09329491243
577,2554.07122591014
578,2560.3611569597
579,2563.10830264112
580,2566.00156968973
581,2566.09714428324
582,2566.09714428324
583,2566.09714428324
584,2566.09714428325
585,2568.22636068549
586,2575.96674868433
587,2575.96674868436
588,2589.13803078181
589,2591.1432361429
590,2599.56648822216
591,2602.76660648334
592,2613.47495595785
593,2614.8338981936
594,2615.44516628866
595,2615.44516628868
596,2615.44516628868
597,2615.44516628869
598,2639.50777027568
599,2640.39448482093
600,2650.53989954318
601,2651.97054116893
602,2652.34551635898
603,2654.92358389305
604,2654.92358389306
605,2656.08231517852
606,2684.53239709631
607,2684.53239709631
608,2690.53994119365
609,2696.5217328668
610,2696.59596866667
611,2699.46712410606
612,2704.27160589847
613,2704.2716058985
614,2707.50116765454
615,2707.73073689073
616,2713.94729481968
617,2714.54031018086
618,2719.81457547069
619,2724.20985033226
620,2725.73911439497
621,2733.88041910175
622,2733.88041910178
623,2739.44560699947
624,2739.85226489579
625,2746.27815681265
626,2765.64966902865
627,2768.53946924481
628,2772.57214576835
629,2773.35883670611
630,2773.35883670614
631,2773.5792527828
632,2780.45519473801
633,2781.80567452651
634,2790.69719880077
635,2795.83535599185
