# Domain: ellipse_minus_quadrant (full spectrum)
# Computed 2026-06-01 16:46:38
# Bounding box [a, b] x [c, d] = [-2, 2] x [-1, 1]
# Resolution M = 50, grid spacing h = 0.0784314, dofs = 769
# Indicator function phi = @(x,y)indicator_ellipse_minus_quadrant(x,y,-2,0,2,0)
n,lambda_n
1,5.40554174745779
2,10.1995286754123
3,13.9157113093085
4,14.6542215939913
5,19.2454092283416
6,25.0176771688844
7,25.7058349608517
8,27.6496677235082
9,32.2048216320932
10,36.5513631532563
11,39.3155787705858
12,41.8529680421448
13,42.5388251551504
14,46.082568662792
15,49.0405570016426
16,52.0716023789643
17,57.3603833756373
18,58.9796341236754
19,61.8295761573831
20,62.2226351422233
21,68.156289056772
22,69.4411635570138
23,71.1365704844489
24,78.3229162097051
25,79.4793196627657
26,81.0229234888179
27,82.9277420566798
28,86.019433085243
29,88.9390819011293
30,91.7567748493751
31,95.6001943648583
32,96.0394837111521
33,101.748657534353
34,104.855832208668
35,105.577110566295
36,106.403279446606
37,111.280443060594
38,113.680334228026
39,116.82057533357
40,118.533054633702
41,124.375266368707
42,126.025671601868
43,127.302406420482
44,132.392618753757
45,133.957125896464
46,134.96136144805
47,137.731922567634
48,141.435668803276
49,142.915941802628
50,146.269643575335
51,148.364908935511
52,152.57380565891
53,153.524611540158
54,157.068348238823
55,163.782695518645
56,164.294753940944
57,166.418913380954
58,167.558723949378
59,168.845456474399
60,170.040481941679
61,174.518837256271
62,180.664925234082
63,181.652577373109
64,182.792841088129
65,186.439707921995
66,189.867571417046
67,193.804436224812
68,197.794373726134
69,200.192224302036
70,201.600052137229
71,203.687986153413
72,205.028969957148
73,205.739672296898
74,207.314740741936
75,214.020641508969
76,217.777097227098
77,219.190847639907
78,220.063974801243
79,221.80266689839
80,223.264741183364
81,231.905636829517
82,233.029016620784
83,234.469280841135
84,238.603476496353
85,240.646725572245
86,242.697845232786
87,245.124175479276
88,247.279764311173
89,249.319251977834
90,250.364115755502
91,253.164964585751
92,257.64306645319
93,260.661590996101
94,263.161964020891
95,264.307182678786
96,268.84141283469
97,270.182081154367
98,276.000442410315
99,279.242205057749
100,279.47978096892
101,282.420042410081
102,284.126908972388
103,287.071176591434
104,290.880909672357
105,291.529127904421
106,292.961662431216
107,298.273089054142
108,300.30142595031
109,302.338729976191
110,307.108582740669
111,308.218202556712
112,309.914273034228
113,312.081191872031
114,313.325055211793
115,319.884487647526
116,322.562002735201
117,325.593508569317
118,329.075813732995
119,329.543748131793
120,331.116119724615
121,332.427640434303
122,334.565161262683
123,337.412804275486
124,339.985661191648
125,342.607482832687
126,348.24066183008
127,349.123692981923
128,352.231638146063
129,353.307162667575
130,357.56945708784
131,360.211898690629
132,362.34281135073
133,364.137658672183
134,366.470977467455
135,372.481725460834
136,373.573105673468
137,375.736021698869
138,376.329943240793
139,380.132427919403
140,383.911439612794
141,384.044992591131
142,387.709163569874
143,390.342715520944
144,392.543702585124
145,396.435238578119
146,397.560569066819
147,400.395032371388
148,403.55343231093
149,407.168749774236
150,410.030162572392
151,411.567792478377
152,414.567545280402
153,418.106121184892
154,419.672261707615
155,423.638634794532
156,425.356394056029
157,427.083449890026
158,428.671656257668
159,431.422824756188
160,432.027209894119
161,436.873328608508
162,439.146733127032
163,440.74983248648
164,443.987793629637
165,446.925259221961
166,450.04166280773
167,453.62374402121
168,454.843358891352
169,455.174807084276
170,457.411772598363
171,464.563913168661
172,466.896679508986
173,467.713927618004
174,471.426858945446
175,474.994117335878
176,478.230408494496
177,479.337239874905
178,481.718720017774
179,486.421623346118
180,487.466705630417
181,488.762143961713
182,490.641404253361
183,493.643851705543
184,495.712381908014
185,497.087839339293
186,499.128344579685
187,503.740051788099
188,507.904765102033
189,509.344007635148
190,512.253026498624
191,514.362474990039
192,515.019218212872
193,517.879951385302
194,520.890383661426
195,524.460664294812
196,527.276275420903
197,529.793050158991
198,532.999653728769
199,535.243856533002
200,539.653427633165
201,540.802332708697
202,542.598922252346
203,545.287527987309
204,548.435998631988
205,548.694327004936
206,551.686959779367
207,553.941818959104
208,556.050707914373
209,557.608570253572
210,559.635435640679
211,560.844958918819
212,568.580578115601
213,569.446393724215
214,570.999020437857
215,571.85154787544
216,578.262177303842
217,578.862145411313
218,582.746031896678
219,585.038648432655
220,588.069618973137
221,591.38629832354
222,592.442645313302
223,597.425906905735
224,600.171899316438
225,602.256139326578
226,604.412334229093
227,605.540367366677
228,608.843565258439
229,614.063449111653
230,614.932542308706
231,615.299096362244
232,618.351335639091
233,620.051619042591
234,622.399874602903
235,625.973952514427
236,627.616975119389
237,630.386564863699
238,632.041880584202
239,635.415764775891
240,638.713452489619
241,641.452807078327
242,642.381197575673
243,646.777400028005
244,650.676536910971
245,652.818066921774
246,656.05273976658
247,657.16713481616
248,659.790938023422
249,663.269957645345
250,665.361855264844
251,667.420145649874
252,667.681326074032
253,669.912560542288
254,675.326814944023
255,676.294702405983
256,680.514113539775
257,683.291249144177
258,686.387142094697
259,686.574594622144
260,688.432515988572
261,689.558113612106
262,692.795553178975
263,698.007226388961
264,698.551590380788
265,700.760579908635
266,701.572184927698
267,703.920608229807
268,707.292001787381
269,709.545086186221
270,716.099133996466
271,716.830956662871
272,719.398473625757
273,720.697508996941
274,726.240038044767
275,727.246987611828
276,730.765024555263
277,732.004081338147
278,732.848019205845
279,737.967918059084
280,738.759649724832
281,741.377217220812
282,745.394745381566
283,745.819238891462
284,746.912159584949
285,748.085251640796
286,755.466656148517
287,756.822440077158
288,761.277028956408
289,761.671673152308
290,763.99951718042
291,765.660566425989
292,768.179672716894
293,775.127017105179
294,777.544281091968
295,779.049977262391
296,781.533391331149
297,783.212018600086
298,786.412947097232
299,788.455207593819
300,792.191717287242
301,792.637755009678
302,793.187059180904
303,797.748710935108
304,799.682851339471
305,802.812473474222
306,805.232596552553
307,809.000273045772
308,810.708108503021
309,812.022078404607
310,815.621988251532
311,816.535411433717
312,819.485750625235
313,821.050005324925
314,828.068747954386
315,828.941002270572
316,831.865484190793
317,832.473188448789
318,834.576143156844
319,836.441864950445
320,840.115194924584
321,841.776110544246
322,843.066424996713
323,847.556718287225
324,848.016697050359
325,853.146039636374
326,854.883735515436
327,855.758766864188
328,858.555932371766
329,860.904172549781
330,861.614464072442
331,866.756087514119
332,871.522160510348
333,873.225575930202
334,876.368918301731
335,877.622518678632
336,880.416533401075
337,881.252407821842
338,884.2415461887
339,886.085890234381
340,887.384408464391
341,891.212031038763
342,893.547967638966
343,894.593008584528
344,898.995291908803
345,900.736068452994
346,903.674672570135
347,909.118992924069
348,910.302472822013
349,910.999715994384
350,916.099248852003
351,916.658005306719
352,919.878482442427
353,922.862310366753
354,925.073453865273
355,926.339874837223
356,927.894436726335
357,932.900327481056
358,934.931768391492
359,937.478503846415
360,939.08527777822
361,944.884403711918
362,946.993645025441
363,949.490261020084
364,951.164416313612
365,955.805351056535
366,957.020102048991
367,960.101442251402
368,961.690493472923
369,963.001446652442
370,966.071851517101
371,967.905824514345
372,969.423622056032
373,971.465740045172
374,974.945057524066
375,976.339332794732
376,977.579660721441
377,979.23573597819
378,982.802725528586
379,985.244315588383
380,990.220586267206
381,992.083297874766
382,995.149394588942
383,997.636101667792
384,999.509761997787
385,1003.95634583964
386,1005.65583471762
387,1007.73028802126
388,1009.63506119371
389,1011.68118929412
390,1013.64448998396
391,1015.47022195547
392,1017.38618579122
393,1018.99353969451
394,1019.79943114464
395,1025.37692831002
396,1026.54473567082
397,1031.82988113063
398,1037.54187150706
399,1039.52790895249
400,1041.27258977214
401,1043.23895816391
402,1044.53146796792
403,1046.4758971327
404,1050.03472882286
405,1052.85976169527
406,1055.5952954704
407,1056.67758803193
408,1057.80195240614
409,1061.49244774907
410,1064.33314783369
411,1066.38906354524
412,1069.16894751669
413,1070.37963144055
414,1073.20318700741
415,1077.01877530052
416,1079.0533885883
417,1083.70791443343
418,1085.59584724702
419,1087.00188725237
420,1090.12368109949
421,1091.60699989842
422,1094.17570497242
423,1095.57903609884
424,1099.7030297193
425,1101.37900878491
426,1107.27290643949
427,1108.56711210669
428,1110.30849315009
429,1114.01572386644
430,1116.44838830753
431,1120.83100403956
432,1121.27915270975
433,1124.87212147037
434,1125.94684584559
435,1129.27280236183
436,1131.35150508615
437,1135.15472674365
438,1136.98397119872
439,1138.71482257995
440,1140.35508183424
441,1144.295248126
442,1146.50373267351
443,1148.52874147362
444,1149.37074322904
445,1151.53171462821
446,1153.22149825949
447,1156.78477973493
448,1158.7951019839
449,1162.60473988612
450,1165.62577934391
451,1167.29871701273
452,1169.16804745382
453,1172.70472922856
454,1175.69190821376
455,1176.96185634173
456,1178.61365797815
457,1181.3121431095
458,1183.03758172808
459,1184.90843334329
460,1188.04706550057
461,1191.7149471976
462,1196.16177163679
463,1197.45884447793
464,1198.20698743355
465,1199.77335152382
466,1203.43069589507
467,1205.26575054587
468,1206.83502614018
469,1209.70993022536
470,1212.2473703174
471,1213.72236002698
472,1214.49661093234
473,1219.74918915818
474,1223.19110316679
475,1225.62386251991
476,1227.20854653396
477,1229.91655227957
478,1231.06343255089
479,1236.99495063326
480,1238.44005377285
481,1241.5822297667
482,1243.25245863334
483,1245.36878061835
484,1249.21177985095
485,1250.04104782352
486,1251.0574887503
487,1257.09153771669
488,1257.75022470859
489,1261.68279912931
490,1263.79468935855
491,1265.65470345173
492,1268.81555365298
493,1271.72023045707
494,1273.89471396439
495,1275.96590016297
496,1278.7147853027
497,1281.94116737815
498,1283.33532304154
499,1284.953735959
500,1286.70347061112
501,1290.81172719111
502,1291.45676779171
503,1294.61719441928
504,1300.86226824805
505,1302.79143665773
506,1303.08327469612
507,1307.0697506622
508,1309.22841359519
509,1311.29341383691
510,1314.27993087007
511,1317.6485902876
512,1318.48515940344
513,1320.46162937894
514,1322.87717577879
515,1324.1597277856
516,1328.65532895616
517,1331.62459772389
518,1335.15075593982
519,1336.91695009753
520,1339.75705130298
521,1343.73513357479
522,1345.30351375307
523,1349.0083592482
524,1353.0880571962
525,1356.27255598244
526,1356.56415096022
527,1360.7225343629
528,1362.58203676228
529,1365.03769438007
530,1367.23999196862
531,1369.14795467844
532,1370.62522613874
533,1372.05610686981
534,1373.74144710036
535,1375.87445843814
536,1376.3341156939
537,1378.3065348674
538,1380.72705296717
539,1384.53659237445
540,1386.10945114824
541,1387.53135555795
542,1389.21248114475
543,1393.26517394248
544,1393.37936104205
545,1398.7328607008
546,1400.73617646089
547,1402.07802453632
548,1405.5749310948
549,1408.30466344336
550,1410.99164391294
551,1413.26779757578
552,1414.10194830682
553,1420.49663486263
554,1422.28602347264
555,1423.42141765615
556,1425.0608925669
557,1428.88563051425
558,1430.43595396811
559,1432.86320861905
560,1437.86045173903
561,1440.53828982647
562,1443.53247470313
563,1445.8210173496
564,1446.0097795974
565,1449.73494306995
566,1452.8704923205
567,1454.87195918692
568,1456.060692842
569,1457.54773818931
570,1462.31242762373
571,1464.72809778661
572,1469.93491255771
573,1471.17941263623
574,1471.68837898513
575,1473.69087529862
576,1474.90738196913
577,1475.94789402741
578,1479.823166599
579,1483.51658773243
580,1487.54987577648
581,1490.44835551418
582,1491.67247407359
583,1494.69721703549
584,1495.06715340005
585,1495.93275046702
586,1499.65898614552
587,1500.40955143721
588,1502.42851954167
589,1505.52133014161
590,1512.98377501295
591,1513.50047042646
592,1517.17466755126
593,1518.8571779914
594,1523.03839021312
595,1525.94394456714
596,1528.50588318521
597,1531.24855303521
598,1532.32650920396
599,1535.51082591055
600,1536.44738835514
601,1540.57004181605
602,1543.11752938286
603,1544.52222686379
604,1547.90980769366
605,1551.84899760384
606,1555.58708361794
607,1558.49952055657
608,1559.85434950902
609,1561.93581933443
610,1566.6508151643
611,1568.32306424659
612,1569.57086261784
613,1573.63894033728
614,1577.85787517447
615,1578.17336407219
616,1582.00586533964
617,1589.05749140474
618,1593.04379112904
619,1595.39604682938
620,1597.15560569759
621,1599.17686222457
622,1602.16260524381
623,1606.32666020759
624,1610.43939426697
625,1614.62916636995
626,1619.70917617681
627,1621.11658138896
628,1624.19763087559
629,1629.84978256195
630,1631.73217676156
631,1635.78736385014
632,1640.07650501836
633,1641.67280937909
634,1645.85066042025
635,1650.69431172577
636,1653.41053202973
637,1655.71266008007
638,1663.73392761872
639,1665.59274216091
640,1667.07592655391
641,1671.38942179163
642,1676.45288031094
643,1681.85049203048
644,1683.48959424004
645,1691.31517216973
646,1694.53524005852
647,1697.94368605571
648,1699.67503099445
649,1702.50938772607
650,1706.72201891056
651,1716.71733052771
652,1718.73783339483
653,1725.09176657642
654,1725.57737865557
655,1731.9314175763
656,1735.78363983082
657,1742.9073321634
658,1744.83265915006
659,1751.74559552906
660,1754.22452607596
661,1756.66339220418
662,1761.09409585633
663,1765.46427815257
664,1767.08858639158
665,1777.00302997062
666,1781.33990682022
667,1788.30245577859
668,1792.44894452593
669,1797.93361312561
670,1801.41422150055
671,1802.84504829064
672,1812.83168758048
673,1815.02363461052
674,1816.87885784747
675,1833.29983634304
676,1834.31045968572
677,1836.83922399748
678,1841.00817694486
679,1845.1534194898
680,1847.01936573253
681,1858.03742305492
682,1859.355257297
683,1864.72408468285
684,1880.48939084669
685,1882.24070259487
686,1889.83602546209
687,1893.38153624619
688,1900.47550944335
689,1905.99132040488
690,1912.05425230447
691,1914.4100831743
692,1919.46145198952
693,1922.76570808135
694,1937.67071833429
695,1940.49708562769
696,1944.18521593812
697,1945.11354731506
698,1959.4974559681
699,1962.09254505127
700,1973.29445157333
701,1978.70367266523
702,1981.47900528254
703,1993.95668869214
704,1998.81020821714
705,2011.21049779872
706,2013.13870957076
707,2019.08580716686
708,2025.36844397106
709,2028.48077791796
710,2042.9207254236
711,2048.84246032001
712,2055.64826699961
713,2062.2630860214
714,2071.85198273472
715,2075.96399851464
716,2077.0580716277
717,2099.63779613226
718,2107.50058464725
719,2111.29321861765
720,2125.23991791154
721,2131.89328590717
722,2133.43760329245
723,2140.39087831664
724,2153.24113957506
725,2157.44312200185
726,2165.80216669179
727,2182.47653809985
728,2187.71199475901
729,2193.88506070426
730,2209.76825203317
731,2221.64617228032
732,2229.92958592159
733,2234.30441395234
734,2247.42063171836
735,2254.32139365492
736,2268.87079271954
737,2287.18463462672
738,2291.1249281956
739,2305.42022391012
740,2313.28997640672
741,2320.06148593908
742,2338.85587726258
743,2350.1625066736
744,2358.10161008453
745,2369.70228694497
746,2385.4096398623
747,2413.21694832083
748,2416.99051203423
749,2430.30069903003
750,2431.71955652204
751,2459.69192688547
752,2473.97395747005
753,2492.03478386625
754,2510.86505255025
755,2528.98341879743
756,2546.27127046622
757,2558.66812245289
758,2576.49440419674
759,2594.0577812584
760,2624.68887877393
761,2652.24063286065
762,2680.20902461547
763,2689.44492428876
764,2727.15367554324
765,2752.43122829301
766,2811.79753828398
767,2820.83694728938
768,2887.6578294076
769,2965.95324364798
