# Domain: ellipse_minus_quadrant (partial spectrum)
# Computed 2026-06-01 16:46:44
# Bounding box [a, b] x [c, d] = [-2, 2] x [-1, 1]
# Resolution M = 200, grid spacing h = 0.0199005, dofs = 11866
# Indicator function phi = @(x,y)indicator_ellipse_minus_quadrant(x,y,-2,0,2,0)
# eigs: k = 10, tolerance = 1e-10, subspace_dim = 100, max_iterations = 300
n,lambda_n
1,5.7631684715097
2,11.2875357786881
3,14.8857723185997
4,15.6481847967801
5,20.7787585927438
6,26.6669242032691
7,27.0759224019296
8,29.3801712615156
9,34.2409840240385
10,40.4309349216049
