# Domain: gww1 (full spectrum)
# Computed 2026-06-01 16:47:11
# Bounding box [a, b] x [c, d] = [-3, 3] x [-3, 3]
# Resolution M = 50, grid spacing h = 0.117647, dofs = 936
# Indicator function phi = @(x,y)indicator_gww1(x,y,-3,-1,1,3,-1,1)
n,lambda_n
1,2.55190579921787
2,3.66866185557026
3,5.20255479398299
4,6.54085144746065
5,7.27323158696475
6,9.2193338640454
7,10.6103658889706
8,11.5413852717001
9,12.3359389675849
10,13.090208612493
11,14.3232399000654
12,15.9270262003461
13,16.9336528082818
14,17.6777044406675
15,19.0577216389514
16,20.8855955099945
17,21.3238427211036
18,22.2978953823037
19,23.70538440393
20,24.4719333549489
21,24.6662656118007
22,26.1099086304976
23,27.3296202461625
24,28.1831803970377
25,29.5671727770336
26,31.4789941515265
27,32.0731393592211
28,32.2549872134873
29,32.9221018813706
30,34.1317246098554
31,36.2804336560155
32,37.1203739546295
33,38.8053570628529
34,39.0374182573678
35,40.8963806984144
36,41.0194570129476
37,41.4208695276117
38,41.9177868987587
39,44.1877667994969
40,44.6330956499398
41,45.8240945287431
42,46.6553395957867
43,47.4453459274146
44,49.3297073592747
45,49.9547108497984
46,50.3068475605974
47,51.9765161065283
48,52.5114032393446
49,53.4157512273206
50,54.24534925703
51,56.2531237398729
52,57.0671542499066
53,58.1068289625363
54,59.1998449944886
55,61.6786293984457
56,61.749456690116
57,62.8162325052557
58,63.1769956786979
59,63.2380500473229
60,64.0779330005717
61,64.7679998837409
62,66.5368857737231
63,67.169411782416
64,69.5369081763782
65,69.9755781381794
66,70.6589056954113
67,71.4941387498919
68,71.6171720493553
69,72.4132810909901
70,75.0848041946138
71,76.4159972673342
72,76.8038374902469
73,77.2059632331702
74,77.5149082001047
75,79.6416150710032
76,80.6780917114425
77,81.6774423683268
78,83.6731185826711
79,83.7964710869417
80,83.8591622698592
81,85.8738852008487
82,86.0637282546153
83,87.3605385992874
84,89.227470396121
85,90.3402216513737
86,90.8938270208285
87,91.1148509301129
88,91.2606591072091
89,92.2312951479932
90,93.3364752642892
91,94.6929368047712
92,96.1391482018573
93,97.8369936005884
94,98.3523202684816
95,98.5536798957691
96,98.8526815330827
97,101.151961765126
98,101.898545670105
99,102.905998249945
100,103.331292027295
101,104.536682030301
102,105.47845804163
103,106.24266499658
104,106.467693880384
