# Domain: gww2 (full spectrum)
# Computed 2026-06-01 16:47:18
# Bounding box [a, b] x [c, d] = [-3, 3] x [-3, 3]
# Resolution M = 50, grid spacing h = 0.117647, dofs = 936
# Indicator function phi = @(x,y)indicator_gww2(x,y,-3,-1,1,3,-1,1,3)
n,lambda_n
1,2.55186643319231
2,3.66866887394061
3,5.20264081223416
4,6.54099090236367
5,7.27316958695322
6,9.21919020359747
7,10.608965434474
8,11.5422783527937
9,12.3359395854696
10,13.0899042580052
11,14.3245142430299
12,15.9274281133119
13,16.9335781595286
14,17.677211292692
15,19.0574713289795
16,20.8854816318577
17,21.3227666897752
18,22.2960063423143
19,23.7030128338071
20,24.4763393541873
21,24.6662937682266
22,26.1090253567128
23,27.3258957436423
24,28.1852317047135
25,29.568954017042
26,31.4815750965922
27,32.0731431986882
28,32.2545344024471
29,32.9209116420502
30,34.1355595513458
31,36.2772707037114
32,37.1219653401892
33,38.804369025798
34,39.0240789078424
35,40.8904156424635
36,41.011010780585
37,41.4383972045005
38,41.917903426089
39,44.182326232801
40,44.6321954351723
41,45.8223274413767
42,46.6563291546099
43,47.4546412394026
44,49.3297459767083
45,49.9545256228172
46,50.3118254282572
47,51.9769449572164
48,52.5087508604676
49,53.4235556626329
50,54.2423975995474
51,56.2455353497601
52,57.0620775961306
53,58.1084007556654
54,59.196733952133
55,61.6785922465534
56,61.7440464357593
57,62.7665627454926
58,63.167323165879
59,63.287417936224
60,64.0781869807789
61,64.7765777549386
62,66.4910979020601
63,67.1792019334181
64,69.5477945512355
65,69.9825858071844
66,70.6782305832717
67,71.4959524112333
68,71.6051310433957
69,72.4060095840529
70,75.1120075830438
71,76.421025333428
72,76.7967904683529
73,77.201104932629
74,77.515078784958
75,79.6264380195603
76,80.685781998371
77,81.6748066712352
78,83.6712918938213
79,83.7874708539143
80,83.8568892795436
81,85.8805439380327
82,86.0621532537146
83,87.3570935818738
84,89.172955838532
85,90.3311721490185
86,90.9056965793708
87,91.1110429067503
88,91.3098390494316
89,92.1691812366284
90,93.3292198530345
91,94.6458132566347
92,96.1893157188844
93,97.8853741937271
94,98.3611829018869
95,98.555840720945
96,98.816675040636
97,101.152009776237
98,101.887455559413
99,102.853858861307
100,103.367688945834
101,104.556289710347
102,105.510909610337
103,106.227654246378
104,106.480473716757
105,109.361799273536
106,109.761583631078
107,110.928134215931
108,111.085850725232
109,112.801948220792
110,112.88345551495
111,114.237884520628
112,114.478019027089
113,115.998146834573
114,118.82354719818
115,119.313572465684
116,119.688759408257
117,121.409546253305
118,122.493958200758
119,122.777837454094
120,122.886662688396
121,123.098007570626
122,125.147892615582
123,125.928589497631
124,126.914986381463
125,128.244677209232
126,128.723483030766
127,128.828628495226
128,130.474636765463
129,130.980057113327
130,131.350002250108
131,131.65686801289
132,133.538172438017
133,134.800000595258
134,136.519076389596
135,137.822558508404
136,139.455385641682
137,139.595669089084
138,140.241058259054
139,140.317771085261
140,140.978114680717
141,142.541250737844
142,142.8682121282
143,144.910589306787
144,146.563498632112
145,147.119503442106
146,149.152763491535
147,149.594256502988
148,149.919396816735
149,150.492330703884
150,151.707757745619
151,151.734448885245
152,153.225784387063
153,155.187649213771
154,156.869239870454
155,157.691275208841
156,158.998633627221
157,159.461794866912
158,159.647274771274
159,159.952545914646
160,160.2082356199
161,161.208874882863
162,162.333593944736
163,163.404086571594
164,164.46749784292
165,165.646437826412
166,166.321695666723
167,167.218327196288
168,167.834512685092
169,169.045094936174
170,170.132912605227
171,170.407276022648
172,172.446602396386
173,173.373254920022
174,175.096755742916
175,175.635633327001
176,177.066671529228
177,178.257710266158
178,179.073422100986
179,179.577318329143
180,179.609936079108
181,179.701381532958
182,181.204107722476
183,182.488728918107
184,183.259323295657
185,184.48152275555
186,185.378275719421
187,185.97651941994
188,186.910229045712
189,187.998494544226
190,188.268955014503
191,190.164701617999
192,190.849672138742
193,193.112331958072
194,195.016200137937
195,195.570744532305
196,196.117628563729
197,196.911247267339
198,197.01238972552
199,198.340050401893
200,199.602021040008
201,200.567220757912
202,200.757706182633
203,201.285983467336
204,202.166684071438
205,202.809171684926
206,204.849192194986
207,206.110927005684
208,206.582302008932
209,207.947767450789
210,208.591819764464
211,209.182382165367
212,209.697440796797
213,210.223748047967
214,211.331876892182
215,211.669113500462
216,212.086235112344
217,213.474266700354
218,215.756469469498
219,218.220775599528
220,218.499450916965
221,218.998325180063
222,219.296490236513
223,220.556880236451
224,220.745884269465
225,221.131733131819
226,222.668871027074
227,223.182027237299
228,223.68238078578
229,225.752078327435
230,227.042663640453
231,227.685891461657
232,228.087665578483
233,229.191343079147
234,230.134576932863
235,231.57245272299
236,233.411322766826
237,234.226165540719
238,234.469341540657
239,235.102807895007
240,236.355245175258
241,238.487113856638
242,238.622591374739
243,239.22349215578
244,241.13329094197
245,242.628696437462
246,243.240092622223
247,244.196902596291
248,244.945123142844
249,246.06996121288
250,246.54743453889
251,246.781741183725
252,247.269541479703
253,248.027445035198
254,248.959094558683
255,249.429329289546
256,250.346395005463
257,250.942889631864
258,252.773960641554
259,253.928912338826
260,254.347644530675
261,255.272167468728
262,255.527429360889
263,257.408982222728
264,258.822129464324
265,260.346292461685
266,260.702080253995
267,261.186000965836
268,261.940087356451
269,262.964373550653
270,263.281582029821
271,264.430188026589
272,264.798881786401
273,265.71007842264
274,267.278376261929
275,269.088375795312
276,269.929675220345
277,270.678146848929
278,271.417110585574
279,271.749130578152
280,273.443462979936
281,274.490697310707
282,275.954587125556
283,276.509770778215
284,277.436085540102
285,278.728011836651
286,278.772726532547
287,278.941500292949
288,280.048253574412
289,281.805069118008
290,282.204563941321
291,284.11716351515
292,284.255153937991
293,284.844873595112
294,287.425365956104
295,288.12608734149
296,288.768808519183
297,288.957603056232
298,290.485920471173
299,291.350841455913
300,292.261517356276
301,293.038436102634
302,293.441643139238
303,295.823900582126
304,296.43866188608
305,297.124770778566
306,297.867566761962
307,298.728826909576
308,299.703906855486
309,300.491129796671
310,300.983470646663
311,302.945807890117
312,303.093220977513
313,304.208592994206
314,304.476131913013
315,305.917069117887
316,306.488638034298
317,306.958777525697
318,307.482089240803
319,308.747266877699
320,309.759116883648
321,310.162388956626
322,310.982067379581
323,312.944292598347
324,314.210304155019
325,315.979549905106
326,316.749333479216
327,317.464916595664
328,317.979400618295
329,318.152774237143
330,319.599359259324
331,320.135924365819
332,320.513149325438
333,321.428490119824
334,322.486130378196
335,323.13199716819
336,323.708295987607
337,324.345255089824
338,326.494105795734
339,328.026297334493
340,328.252781884384
341,329.014113853015
342,329.69290002458
343,330.651078435846
344,332.485523574791
345,333.266575585365
346,333.990581572049
347,335.104527244781
348,336.153573332663
349,336.866629072986
350,337.105747283082
351,337.72783959818
352,338.643473003615
353,339.175253072044
354,340.401416008947
355,341.860383857104
356,343.483493090086
357,343.978502236191
358,344.809012362408
359,345.328456956181
360,348.530298847171
361,349.510956999792
362,349.871898269856
363,350.490232791135
364,351.065151031361
365,351.360702919396
366,352.464843883648
367,354.130961196754
368,355.236882026749
369,356.471002335645
370,356.822732799933
371,357.299463576742
372,357.70303024849
373,357.908003765755
374,358.32372375963
375,358.660635945364
376,360.273271217203
377,360.881704488874
378,362.459134040259
379,363.048959179418
380,363.864911152789
381,364.983090560241
382,365.113394913664
383,366.244122500604
384,367.575390860236
385,367.882543246143
386,368.483490060202
387,369.285583314433
388,371.183502486869
389,371.317258475479
390,372.369484487146
391,373.200703835277
392,373.939990723836
393,376.48678339436
394,376.765444112108
395,378.427492937075
396,379.167657095603
397,379.498314664166
398,379.743189133839
399,380.305097499847
400,381.62295339374
401,383.558810302149
402,383.838754885006
403,384.745040118835
404,385.153754298326
405,386.082637579798
406,386.889160775593
407,387.286209641145
408,388.102086042543
409,390.303539910083
410,390.699776492558
411,392.108951827955
412,392.288017087573
413,393.595263430674
414,394.246540177001
415,394.743048844388
416,398.291273074744
417,398.369543177998
418,399.711309985717
419,400.813231920766
420,401.763896301038
421,402.305277958031
422,402.786794749431
423,403.874816794772
424,404.17266384749
425,405.012840982968
426,405.60575410528
427,406.384541625943
428,407.883717088296
429,408.168238076407
430,409.049672940606
431,411.162392601815
432,411.48159557631
433,412.522304822346
434,413.346131650663
435,413.98088734635
436,414.885060083683
437,416.063237206538
438,416.221343797238
439,418.008344636986
440,418.751785647156
441,419.647270824775
442,420.535295990732
443,421.102677651029
444,421.856065274746
445,422.672819443461
446,423.338787901989
447,423.793336676916
448,424.852914020314
449,425.396113581821
450,426.402199492449
451,427.004092327054
452,428.437641285087
453,430.026680033451
454,430.565506384961
455,432.424969142374
456,433.243386279555
457,435.362594627619
458,435.711399371054
459,436.175261919889
460,436.541139602126
461,437.293318783311
462,438.070027787299
463,438.636613069042
464,439.459797956008
465,440.664208273604
466,441.340571980781
467,441.689771021456
468,443.401501147089
469,444.683233490686
470,445.09542161523
471,446.278813014567
472,446.578244254702
473,446.748909475779
474,448.923649478184
475,450.007677329486
476,450.342637932339
477,452.210667396014
478,453.02803125039
479,453.700309642293
480,454.761825593118
481,455.672698666156
482,455.745427916332
483,456.545667195689
484,458.020985223988
485,459.142599263361
486,460.039649762793
487,460.93368657039
488,461.262383448064
489,462.476096287528
490,463.756578624122
491,464.553926135211
492,465.566045013684
493,466.676085501293
494,467.237030967413
495,469.323763836468
496,470.101999685369
497,471.496588029923
498,472.120180556763
499,473.173601559617
500,473.901449336017
501,474.908425592472
502,475.243304014926
503,475.784720679365
504,476.484760237267
505,478.174063636918
506,478.351246316608
507,478.992267532786
508,480.50746946813
509,481.157818167014
510,482.293769003279
511,482.576301136613
512,483.558064065265
513,484.9472789434
514,485.216699254304
515,486.535025549377
516,487.811437359363
517,488.204605867995
518,488.725794164172
519,490.358788382504
520,491.330671183801
521,492.602109208277
522,493.116929612839
523,494.192941650654
524,495.159670091805
525,495.498233584358
526,496.384742995994
527,497.250777282573
528,497.941205066324
529,498.110129025372
530,499.069711358342
531,500.336813867952
532,500.990900301582
533,502.041703683414
534,502.712572454132
535,503.647057887257
536,504.288575871223
537,505.633152613749
538,506.894021225853
539,507.812899062491
540,508.290460698158
541,509.299674682318
542,510.001362428086
543,510.276868019274
544,511.653830260747
545,512.518697488167
546,512.982399993439
547,514.80849315475
548,515.698651835052
549,516.56668774648
550,517.390002975128
551,518.160479122056
552,519.069973756883
553,520.211221964905
554,520.359991200393
555,522.136852779965
556,523.021387122041
