# Domain: square (full spectrum)
# Computed 2026-06-01 17:31:19
# Bounding box [a, b] x [c, d] = [0, 3.14159] x [0, 3.14159]
# Resolution M = 50, grid spacing h = 0.0615999, dofs = 2500
# Indicator function phi = @(x,y)indicator_rectangle(x,y,0,pi,0,pi)
n,lambda_n
1,1.99999999999864
2,4.99999999999288
3,4.99999999999773
4,7.99999999999804
5,9.99999999999985
6,10.0000000000066
7,12.9999999999972
8,12.9999999999982
9,16.9999999999991
10,17.000000000008
11,17.9999999999995
12,19.9999999999982
13,20.0000000000057
14,25.0000000000031
15,25.0000000000074
16,25.9999999999982
17,26.0000000000023
18,29.0000000000076
19,29.0000000000084
20,31.9999999999989
21,33.9999999999941
22,34.0000000000031
23,36.9999999999957
24,37.0000000000019
25,39.9999999999996
26,40.0000000000024
27,41.000000000001
28,41.0000000000017
29,44.9999999999945
30,45.0000000000004
31,50.0000000000004
32,50.0000000000056
33,50.0000000000064
34,52.0000000000035
35,52.0000000000049
36,52.9999999999993
37,53.000000000007
38,58.0000000000029
39,58.0000000000061
40,61.0000000000002
41,61.0000000000024
42,64.9999999999989
43,65.0000000000009
44,65.0000000000049
45,65.000000000009
46,67.9999999999982
47,68.0000000000045
48,72.0000000000031
49,72.999999999999
50,73.0000000000006
51,74.0000000000017
52,74.0000000000047
53,79.9999999999996
54,80.0000000000027
55,81.9999999999949
56,82.0000000000012
57,85.0000000000011
58,85.0000000000016
59,85.0000000000023
60,85.0000000000034
61,88.9999999999974
62,89.0000000000037
63,89.9999999999984
64,90.0000000000046
65,96.9999999999983
66,96.9999999999998
67,97.9999999999989
68,99.9999999999973
69,100.000000000002
70,101
71,101.000000000001
72,104
73,104.000000000003
74,105.999999999999
75,106
76,108.999999999999
77,109.000000000004
78,113.000000000004
79,113.000000000004
80,116
81,116.000000000003
82,116.999999999999
83,117.000000000002
84,121.999999999999
85,122.000000000005
86,125.000000000001
87,125.000000000002
88,125.000000000002
89,125.000000000007
90,128.000000000001
91,129.999999999997
92,129.999999999998
93,129.999999999999
94,130
95,135.999999999999
96,136.000000000006
97,137.000000000002
98,137.000000000006
99,144.999999999999
100,145
101,145.000000000002
102,145.000000000003
103,146.000000000003
104,146.000000000005
105,147.999999999998
106,148.000000000004
107,149.000000000002
