# Domain: rectangle [0, 6.28319] x [0, 3.14159] (Chebfun spectral collocation)
# N = 20 Chebyshev points per direction, dofs = 324
# Computation time: 0.037 s
n,lambda_n
1,1.24999999999997
2,2.00000000000034
3,3.24999999999843
4,4.24999999999989
5,4.99999999979212
6,4.99999999999998
7,6.2499999999983
8,7.25000004558278
9,7.99999999979202
10,9.24999999999293
11,9.99999999999294
12,10.0000007918905
13,10.2500000455829
14,11.2499999999911
15,12.9999999997849
16,13.0000007918902
17,13.2499826231942
18,15.2500000455759
19,16.2499826231943
20,16.2499999991687
21,16.9995470365844
22,16.9999999991686
23,18.0000007918833
24,18.2499999991669
25,19.9995470365844
26,19.9999999989608
27,21.2499826231873
28,21.2579738637429
29,22.2500000447516
30,24.2579738637429
31,24.9995470365775
32,25.0000007910591
33,25.2500001823317
34,25.9040781699949
35,26.0000001823318
36,27.2500001823297
37,28.249982622363
38,28.9040781699949
39,29.000000182124
40,29.2579738637358
41,31.2500002279146
42,31.8587270667111
43,31.999547035753
44,33.9040781699879
45,34.0000009742221
46,34.8587270667114
47,35.2507530688638
48,36.2500031675621
49,36.2579738629112
50,37.0000031675617
51,37.2499828055259
52,38.2500031675601
53,38.2507530688629
54,39.858727066704
55,40.0000031673539
56,40.9040781691636
57,40.9995472189162
58,42.2500032131446
59,43.2507530688561
60,45.000003959452
61,45.2579740460748
62,46.8587270658799
63,48.2499857907558
64,49.249930492778
65,49.9040783523265
66,49.9999304927778
67,50.250753068032
68,51.2499304927759
69,51.9995502041462
70,52.1001345025882
71,52.99993049257
72,53.3806811061523
73,55.1001345025881
74,55.2499305383606
75,55.8587272490427
76,56.2579770313045
77,56.3806811061522
78,57.9999312846684
79,59.250753251195
80,60.1001345025811
81,60.9040813375565
82,61.2499131159722
83,61.3806811061451
84,64.2481881463378
85,64.9981881463378
86,64.9994775293623
87,66.2481881463362
88,66.8587302342727
89,67.1001345017566
90,67.9981881461297
91,68.3806811053209
92,69.2579043565209
93,70.2481881919205
94,70.2507562364248
95,72.9981889382286
96,73.9040086627726
97,76.1001346849196
98,76.2481707695324
99,77.380681288484
100,79.8586575594892
101,79.9977351829222
102,81.2818954549717
103,82.0318954549716
104,83.2506835616415
105,83.2818954549697
106,84.256162010081
107,85.0318954547638
108,87.1001376701497
109,87.281895500554
110,88.3806842737135
111,88.9022663163323
112,90.0318962468617
113,93.2818780781661
114,94.8569152130488
115,97.0314424915559
116,98.248941215201
117,99.8663126799798
118,100.100064995366
119,100.616312679979
120,101.289869318714
121,101.38061159893
122,101.866312679977
123,103.616312679772
124,105.866312725562
125,105.935973624966
126,108.61631347187
127,111.866295303174
128,111.890622521683
129,115.098322648926
130,115.282648523834
131,115.615859716564
132,115.652103237053
133,116.37886925249
134,116.509998404547
135,118.652103237054
136,119.509998404548
137,119.874286543722
138,123.652103237047
139,123.684908266845
140,124.434908266845
141,124.509998404541
142,124.520390849975
143,125.684908266844
144,127.434908266637
145,129.684908312428
146,130.475039746691
147,130.652103236223
148,131.509998403717
149,132.132029957559
150,132.434909058734
151,133.412576561123
152,133.867065748843
153,135.68489089004
154,137.253012275453
155,138.003012275453
