# Domain: small_rectangle [0, 1.5708] x [0, 0.785398] (Chebfun spectral collocation)
# N = 20 Chebyshev points per direction, dofs = 324
# Computation time: 0.014 s
n,lambda_n
1,19.9999999999996
2,32.0000000000054
3,51.9999999999749
4,67.9999999999982
5,79.9999999966739
6,79.9999999999996
7,99.9999999999727
8,116.000000729324
9,127.999999996672
10,147.999999999887
11,159.999999999887
12,160.000012670248
13,164.000000729327
14,179.999999999858
15,207.999999996559
16,208.000012670244
17,211.999721971108
18,244.000000729215
19,259.999721971109
20,259.999999986699
21,271.992752585351
22,271.999999986698
23,288.000012670132
24,291.99999998667
25,319.992752585351
26,319.999999983373
27,339.999721970996
28,340.127581819887
29,356.000000716025
30,388.127581819886
31,399.992752585239
32,400.000012656946
33,404.000002917308
34,414.465250719919
35,416.000002917308
36,436.000002917275
37,451.999721957808
38,462.465250719918
39,464.000002913984
40,468.127581819773
41,500.000003646634
42,509.739633067378
43,511.992752572049
44,542.465250719806
45,544.000015587554
46,557.739633067382
47,564.012049101821
48,580.000050680994
49,580.127581806579
50,592.000050680988
51,595.999724888415
52,612.000050680962
53,612.012049101806
54,637.739633067264
55,640.000050677663
56,654.465250706617
57,655.992755502659
58,676.000051410314
59,692.012049101698
60,720.000063351233
61,724.127584737196
62,749.739633054079
63,771.999772652093
64,787.998887884449
65,798.465253637224
66,799.998887884446
67,804.012049088511
68,819.998887884414
69,831.992803266339
70,833.602152041411
71,847.998887881121
72,854.090897698437
73,881.60215204141
74,883.99888861377
75,893.739635984683
76,900.127632500872
77,902.090897698435
78,927.998900554695
79,948.01205201912
80,961.602152041298
81,974.465301400904
82,979.998609855556
83,982.090897698321
84,1027.97101034141
85,1039.9710103414
86,1039.9916404698
87,1059.97101034138
88,1069.73968374836
89,1073.60215202811
90,1087.97101033808
91,1094.09089768513
92,1108.12646970433
93,1123.97101107073
94,1124.0120997828
95,1167.97102301166
96,1182.46413860436
97,1217.60215495871
98,1219.97073231252
99,1238.09090061574
100,1277.73852095183
101,1279.96376292676
102,1300.51032727955
103,1312.51032727955
104,1332.01093698626
105,1332.51032727951
106,1348.0985921613
107,1360.51032727622
108,1393.6022027224
109,1396.51032800886
110,1414.09094837942
111,1422.43626106132
112,1440.51033994979
113,1492.51004925066
114,1517.71064340878
115,1552.5030798649
116,1571.98305944322
117,1597.86100287968
118,1601.60103992586
119,1609.86100287967
120,1620.63790909943
121,1622.08978558289
122,1629.86100287963
123,1657.86100287635
124,1693.861003609
125,1694.97557799946
126,1737.86101554993
127,1789.86072485079
128,1790.24996034693
129,1841.57316238281
130,1844.52237638135
131,1849.85375546502
132,1850.43365179286
133,1862.06190803984
134,1864.15997447276
135,1898.43365179286
136,1912.15997447276
137,1917.98858469955
138,1978.43365179276
139,1978.95853226953
140,1990.95853226953
141,1992.15997447266
142,1992.3262535996
143,2010.9585322695
144,2038.95853226619
145,2074.95853299885
146,2087.60063594705
147,2090.43365177957
148,2104.15997445947
149,2114.11247932095
150,2118.95854493975
151,2134.60122497797
152,2141.87305198148
153,2170.95825424063
154,2196.04819640725
155,2208.04819640724
156,2228.04819640723
157,2230.95128485487
158,2234.43365471019
159,2248.15997739006
160,2256.04819640393
161,2292.04819713657
