# Domain: square [0, 3.14159] x [0, 3.14159] (Chebfun spectral collocation)
# N = 40 Chebyshev points per direction, dofs = 1444
# Computation time: 0.393 s
n,lambda_n
1,1.9999999999974
2,4.99999999999233
3,4.99999999999725
4,7.99999999999652
5,9.99999999999894
6,9.99999999999925
7,12.9999999999967
8,12.9999999999986
9,16.9999999999992
10,17.0000000000018
11,17.9999999999998
12,19.9999999999977
13,20.0000000000014
14,24.999999999999
15,25.0000000000028
16,25.9999999999983
17,25.9999999999999
18,28.9999999999981
19,29.0000000000002
20,31.9999999999985
21,33.9999999999966
22,34.0000000000007
23,36.9999999999983
24,37.0000000000008
25,39.9999999999982
26,39.9999999999983
27,40.9999999999946
28,41.0000000000002
29,44.999999999997
30,44.999999999999
31,49.9999999999969
32,49.9999999999987
33,50.0000000000024
34,51.9999999999974
35,51.9999999999998
36,53.0000000000005
37,53.0000000000009
38,57.9999999999967
39,58.0000000000013
40,61.000000000001
41,61.0000000000026
42,64.9999999999982
43,64.9999999999992
44,64.9999999999995
45,65.0000000000006
46,67.9999999999985
47,68.0000000000012
48,72.0000000000022
49,72.9999999999986
50,73.0000000000025
51,73.999999999999
52,74.0000000000024
53,80.0000000000005
54,80.0000000000011
55,82.0000000000013
56,82.0000000000018
57,84.9999999999965
58,84.9999999999994
59,84.9999999999994
60,85.0000000000025
61,89.0000000000005
62,89.0000000000032
63,90.000000000001
64,90.0000000000022
65,97.0000000000018
66,97.0000000000021
67,98.0000000000017
68,100
69,100.000000000003
70,101
71,101.000000000001
72,104.000000000001
73,104.000000000001
74,106.000000000001
75,106.000000000001
76,109
77,109.000000000002
78,112.999999999999
79,113.000000000002
80,116
81,116
82,117.000000000001
83,117.000000000002
84,121.999999999991
85,121.999999999994
86,124.999999999994
87,124.999999999994
88,125
89,125.000000000002
90,128.000000000002
91,129.999999999993
92,129.999999999994
93,130.000000000001
94,130.000000000001
95,136.000000000001
96,136.000000000001
97,136.999999999994
98,136.999999999994
99,144.999999999909
100,144.999999999912
101,145.000000000001
102,145.000000000003
103,145.999999999993
104,145.999999999994
105,147.999999999908
106,147.99999999991
107,149
108,149.000000000002
109,152.999999999909
110,152.99999999991
111,156.999999999993
112,156.999999999995
113,159.999999999909
114,159.99999999991
115,162
116,164.000000000001
117,164.000000000002
118,168.99999999991
119,168.999999999912
120,169.999999999995
121,169.999999999996
122,170.000000002809
123,170.000000002812
124,173.000000002809
125,173.00000000281
126,178.00000000281
127,178.000000002812
128,179.999999999908
129,179.99999999991
130,181.000000000001
131,181.000000000004
132,184.999999999993
133,184.999999999996
134,185.00000000281
135,185.000000002813
136,192.999999999906
137,192.99999999991
138,194.000000002806
139,194.000000002812
140,197.000000025025
141,197.000000025026
142,200
143,200.000000025025
144,200.000000025027
145,201.999999999994
146,201.999999999995
147,205.000000002809
148,205.000000002811
149,205.000000025027
150,205.000000025028
151,207.999999999907
152,207.99999999991
153,212.000000025025
154,212.000000025027
155,218.000000002809
156,218.000000002809
157,220.999999999995
158,220.999999999996
159,221.000000025026
160,221.000000025027
161,224.999999999909
162,224.999999999911
163,225.999999638466
164,225.999999638466
165,228.999999638464
166,228.999999638465
167,232.000000025027
168,232.000000025028
169,233.000000002809
170,233.000000002811
171,233.999999638463
172,233.999999638464
173,240.99999963846
174,240.999999638462
175,241.999999999988
176,243.999999999908
177,243.999999999911
178,245.000000025025
179,245.000000025026
180,249.999999638464
181,249.999999638465
182,250.00000000281
183,250.000000002812
184,256.999997468116
185,256.999997468117
186,259.999997468116
187,259.99999746812
188,260.000000025026
189,260.000000025028
190,260.999999638463
191,260.999999638465
192,264.999997468116
193,264.999997468117
194,264.999999999901
195,264.999999999902
196,269.000000002811
197,269.000000002813
198,271.999997468118
199,271.999997468118
200,273.999999638463
201,273.999999638465
202,277.000000025023
203,277.000000025029
204,280.99999746812
205,280.99999746812
206,287.999999999818
207,288.999999638464
208,288.999999638465
209,290.000000002805
210,290.000000002806
211,290.000020731324
212,290.000020731324
213,291.999997468117
214,291.999997468119
215,293.000020731325
216,293.000020731325
217,296.000000025026
218,296.00000002503
219,298.00002073132
220,298.000020731325
221,304.999997468116
222,304.999997468117
223,305.000020731324
224,305.000020731327
225,305.999999638464
226,305.999999638467
227,313.000000002719
228,313.00000000272
229,314.000020731324
230,314.000020731329
231,317.000000025018
232,317.000000025018
233,319.999997468119
234,319.999997468122
