# Domain: H (full spectrum)
# Bounding box [a, b] x [c, d] = [-1, 2] x [-2, 1]
# Resolution M = 50, grid spacing h = 0.0588235, dofs = 1888
# Computation time: 0.212 s
# Indicator function phi = @(x,y)indicator_H(x,y)
n,lambda_n
1,7.81056218169692
2,8.62412707211821
3,13.9657595967937
4,13.9693481356163
5,14.3047479975108
6,17.7162445920399
7,19.739208802177
8,24.8403396862488
9,26.4504668787374
10,26.4989589932572
11,33.0841514425694
12,37.1994283852603
13,37.2790367307567
14,39.3519935487739
15,40.8769822119065
16,42.2753275891708
17,45.267552400778
18,46.2974484902401
19,47.4828919302312
20,49.3480220054445
21,49.3480220054458
22,52.076305122241
23,54.9921654982959
24,58.7483615458479
25,62.7691415948063
26,62.7735031638728
27,63.199874423537
28,65.5184450479945
29,67.643974320386
30,72.0978476976842
31,77.1520139476666
32,78.956835208714
33,79.8423976831626
34,79.9375154006511
35,85.3540002894577
36,86.3399816841435
37,88.1472496550043
38,91.3558226561446
39,92.1151393351499
40,95.406483544173
41,95.6158539961225
42,95.7418156539641
43,97.88324869433
44,98.6960440108943
45,98.6960440108979
46,101.057398239287
47,106.119444397799
48,107.632670160749
49,108.29161712865
50,111.671756715654
51,112.754678383824
52,113.075060912201
53,118.827526140804
54,119.158063173103
55,121.091315083869
56,121.417739989075
57,122.60057252891
58,128.304857214159
59,128.304857214167
60,133.774142533446
61,139.50671687872
62,139.525820176647
63,139.722952651369
64,142.426760546409
65,142.533049961493
66,145.790149187861
67,146.565257686606
68,150.487784246097
69,154.87533854437
70,157.055313260685
71,157.075951981274
72,158.7021406844
73,164.167943635223
74,164.401457831046
75,164.609550942153
76,165.580962925447
77,166.764615865636
78,167.783274818519
79,167.783274818526
80,169.014623240009
81,172.006374534338
82,173.146941933137
83,174.7433447092
84,177.652879219607
85,180.66635518393
86,180.975888561528
87,182.062455249124
88,185.26270415222
89,190.522433992065
90,192.468821532722
91,194.756972603026
92,195.201181519799
93,195.220943743078
94,197.392088021783
95,197.392088021788
96,197.73866157078
97,198.14762181853
98,205.653979662922
99,211.710988148426
100,213.309834898427
101,213.765602866749
102,217.199950338
103,221.95667390741
104,222.801212924462
105,223.59683496388
106,223.627844596126
107,224.442368530927
108,224.753365692109
109,225.075996145214
110,232.724295860328
111,234.598518941723
112,234.753944910195
113,244.364762549375
114,246.740110027235
115,246.74011002724
116,247.498439756914
117,251.246841913125
118,251.791955985867
119,252.243601397844
120,252.475315188754
121,253.889885689833
122,254.964446171803
123,255.732359944246
124,256.609714428313
125,256.609714428323
126,257.793229551267
127,260.681074749808
128,261.062824934977
129,263.363026518901
130,267.720951250979
131,267.997954192459
132,269.24807519572
133,276.339698035897
134,277.155746634219
135,277.250830137337
136,277.336301085994
137,282.793968331252
138,285.547596236882
139,286.218527631592
140,286.218527631596
141,289.424288292382
142,289.930329633967
143,290.199911924469
144,290.376443142826
145,294.730604877417
146,295.269550861971
147,302.244599853222
148,302.273302584148
149,305.437586880009
150,306.263435548551
151,306.474302776402
152,314.546768141039
153,315.827340834859
154,318.762374765648
155,318.806560231493
156,319.70649482606
157,322.878483618399
158,323.652135714651
159,325.388653224829
160,326.842420939458
161,327.523100423249
162,332.143870864875
163,335.566549637039
164,335.566549637039
165,338.768301380596
166,341.836489447002
167,346.39770786498
168,348.959030682328
169,349.722305833238
170,353.789497820755
171,354.047190645781
172,355.468170944401
173,357.150108034193
174,359.222058763366
175,360.896772706717
176,361.427252607346
177,363.058856908226
178,363.348248710877
179,364.722705939261
180,365.175362840306
181,365.17536284031
182,365.475971333128
183,368.678919787258
184,370.302064187903
185,372.946543390617
186,374.248230275511
187,374.388473641408
188,374.869013919429
189,381.678788441652
190,382.127291287899
191,385.031357783452
192,387.54604337818
193,389.138262074657
194,390.690578861328
195,391.220723058758
196,394.78417604357
197,394.784176043574
198,398.987873000401
199,404.400961468788
200,404.653780444655
201,404.653780444664
202,404.801670332859
203,405.48215353331
204,405.741618842847
205,405.78503888541
206,406.927887289801
207,412.630204102332
208,415.056911894224
209,417.178700292653
210,417.21255764027
211,423.362907171268
212,428.543450003506
213,429.680089558544
214,432.98818227794
215,433.909038364479
216,433.989934357921
217,435.663768737561
218,439.467836032564
219,441.961311495829
220,442.415449766852
221,444.132198049019
222,444.132198049022
223,446.847633842818
224,448.251471266707
225,448.409050905177
226,451.927250719397
227,456.403310620816
228,461.63141432831
229,462.471579167127
230,464.04929759878
231,464.684945522265
232,470.651628579514
233,473.358773460691
234,476.657739077626
235,476.663541410452
236,476.82481771445
237,480.12488396402
238,480.376873673093
239,480.874391299892
240,485.647095903197
241,486.551267934123
242,487.778041268902
243,489.876835421926
244,490.601205480439
245,491.797992513884
246,492.895770967164
247,493.480220054462
248,493.480220054464
249,493.480220054469
250,494.117918049547
251,495.031109483574
252,496.006428646477
253,500.967594637712
254,505.655533157058
255,507.564116788858
256,512.467339852644
257,512.758396117406
258,513.219428856647
259,513.219428856651
260,514.823389299054
261,518.369887407857
262,519.006217031265
263,523.089033257733
264,523.089033257736
265,523.810109080736
266,524.976590110488
267,525.580742008147
268,526.512344813997
269,531.010515112782
270,534.236385435573
271,534.894064517277
272,537.968175463783
273,540.238741264355
274,540.35397477836
275,542.067938348501
276,542.357596576778
277,543.050557326483
278,544.438288728048
279,552.328486827713
280,555.831722002458
281,556.98856250796
282,557.38328876969
283,559.625220971595
284,561.503331617667
285,563.748494993903
286,567.599098745924
287,569.236814460114
288,569.39741304161
289,570.046146773165
290,572.437055263183
291,572.437055263185
292,575.872165665749
293,576.718444363972
294,583.324874686402
295,586.942657463
296,588.035077491711
297,588.511263392862
298,589.808451723241
299,592.637223267372
300,594.784831586619
301,596.018101265021
302,597.369922678239
303,597.813274221631
304,602.045868466445
305,602.045868466451
306,609.590548470043
307,613.853083202614
308,615.307645358865
309,615.400853200769
310,615.950796332032
311,616.238021960389
312,620.018125798034
313,622.04945734953
314,623.229806175058
315,623.809417286732
316,627.006459398233
317,630.905919318025
318,636.600936003334
319,637.532419502173
320,637.565061554689
321,638.022643631676
322,639.586503885958
323,640.329977539355
324,641.524286070807
325,641.524286070808
326,641.524286070812
327,641.524286070813
328,641.651454361642
329,642.755599278406
330,645.364401246461
331,649.236983848992
332,649.821702626984
333,655.289791697512
334,656.079285074456
335,659.319537658718
336,659.661124422317
337,661.806191806271
338,662.918018569579
339,666.233053303995
340,666.898487625742
341,667.864965113597
342,669.993951683837
343,671.133099274076
344,671.133099274077
345,671.602623231989
346,671.721328677944
347,680.17006578014
348,680.601551419133
349,682.401420094756
350,684.463571254559
351,687.10196181637
352,688.244295347363
353,688.560588103499
354,689.254273077188
355,693.112324904183
356,694.874514237851
357,695.141570134719
358,698.901316785459
359,698.996706903663
360,700.772663061398
361,705.363866728937
362,707.174268932477
363,708.918979188654
364,709.313213923676
365,710.611516878435
366,713.913748026001
367,720.481121279521
368,720.481121279524
369,722.82016533135
370,723.888974807143
371,724.146573258521
372,727.394693673376
373,730.350725680609
374,730.350725680612
375,734.459486115688
376,734.716482932931
377,736.029223340111
378,736.586021171753
379,741.692237358462
380,744.281816137678
381,745.206842620914
382,748.80871038857
383,749.316967278227
384,750.703439041288
385,750.862847772113
386,751.561746271564
387,757.810932393177
388,758.93827754215
389,766.436683228894
390,768.029799753625
391,769.013870443861
392,770.69966683093
393,774.076416655386
394,774.665635000529
395,775.217424737792
396,775.754465447192
397,778.572938019291
398,780.296155378973
399,781.089093436557
400,784.568061839974
401,787.670733645856
402,789.568352087147
403,789.568352087148
404,790.37560875869
405,796.106832720474
406,799.27017093776
407,802.524337179464
408,802.757941214111
409,803.546620638662
410,804.08689697745
411,806.086033600898
412,806.896862303766
413,808.519825912781
414,809.307560889326
415,809.307560889328
416,812.574789012648
417,812.899294357969
418,814.141421759533
419,814.477427473831
420,815.595531358057
421,817.288139588765
422,824.534594835902
423,827.408025587642
424,827.592903478391
425,827.599876808752
426,828.06015891854
427,829.278041496152
428,829.938054766786
429,833.383105939179
430,833.475519451224
431,837.098057146681
432,838.916374092591
433,838.916374092593
434,838.916374092599
435,838.916374092601
436,840.20819556351
437,840.335572303854
438,842.222780293523
439,850.496272630576
440,852.906392005757
441,854.264709314628
442,854.713657297953
443,856.086697290506
444,862.046948297579
445,864.270788419999
446,864.680995664083
447,868.101649282419
448,869.40695829325
449,870.017617289844
450,872.126082896442
451,872.570722423986
452,875.404365192639
453,878.394791696953
454,878.394791696954
455,880.711908072964
456,883.11246014583
457,883.910311875491
458,888.264396098041
459,888.264396098042
460,890.940819530112
461,890.983220943141
462,893.804602077181
463,895.949597214963
464,896.894691184132
465,898.909277327169
466,898.942921380705
467,900.515808191789
468,901.434495747637
469,906.141772587737
470,910.048609853329
471,913.180189099011
472,913.194475873859
473,917.838911881273
474,922.201702856621
475,922.706904675544
476,923.639119844457
477,928.602854381452
478,931.846122576846
479,932.115668346323
480,932.155083748425
481,933.996554810368
482,934.702116288356
483,936.539005077183
484,937.484472381085
485,937.783752168194
486,944.043451463166
487,946.84494513356
488,948.578021911405
489,948.773236621806
490,953.991556875215
491,954.049044982353
492,957.000300244621
493,957.351626905666
494,957.351626905668
495,959.638725306109
496,961.069354686174
497,961.541026343835
498,961.933728771738
499,967.221231306759
500,971.832514379957
501,979.757306655926
502,982.919830363077
503,983.946600728265
504,984.96687580383
505,985.400551549308
506,986.960440108936
507,986.960440108936
508,990.941581783612
509,992.257802024177
510,993.408937832242
511,993.780258045841
512,993.909987855861
513,994.442291680374
514,995.874243684613
515,996.830044510025
516,996.830044510026
517,1000.9608747386
518,1002.06902666171
519,1003.1928996948
520,1003.84742185842
521,1005.74492358735
522,1008.29398317335
523,1009.98798556508
524,1011.32022109324
525,1012.21795252844
526,1013.20092069348
527,1013.55791156515
528,1016.67130054362
529,1019.68860995948
530,1020.44154321105
531,1022.85106451465
532,1024.29460229329
533,1024.59573649223
534,1025.94982127926
535,1026.43885771329
536,1026.43885771329
537,1027.55292583802
538,1033.87852849266
539,1038.83047264452
540,1040.10791858974
541,1043.33796990149
542,1043.69148247202
543,1045.0788778937
544,1046.17806651547
545,1046.17806651547
546,1047.83922587344
547,1054.61059039602
548,1054.77079673367
549,1055.90744408215
550,1057.92020799936
551,1062.11763804169
552,1063.51200988045
553,1064.05310868857
554,1064.53389011225
555,1065.44550937834
556,1068.74375519191
557,1070.02741755045
558,1071.71439366145
559,1075.78687971874
560,1075.78687971874
561,1076.66980060127
562,1078.99258309254
563,1079.04476062832
564,1080.22749340927
565,1087.6723082322
566,1088.63942478311
567,1088.91596443325
568,1092.5128666029
569,1092.91598757492
570,1093.55083371467
571,1095.1087218799
572,1097.46034617082
573,1100.6384255128
574,1101.72392248255
575,1102.38845234195
576,1102.92106061498
577,1109.31019372746
578,1114.43665314678
579,1115.2652973231
580,1115.2652973231
581,1115.28080634656
582,1122.95125909695
583,1124.12123262724
584,1125.08663378308
585,1129.6964919637
586,1131.0401638814
587,1132.53118545884
588,1132.87729331623
589,1135.03769733467
590,1138.20542139572
591,1139.82962576797
592,1140.52661080649
593,1141.41646559032
594,1144.87411052637
595,1144.87411052637
596,1145.61585387477
597,1154.74371492745
598,1154.74371492746
599,1155.2742839066
600,1156.72063738412
601,1157.24398599668
602,1159.84563472745
603,1161.03751500155
604,1161.89526892258
605,1165.36012079695
606,1166.48396528091
607,1168.40649277625
608,1168.90306919611
609,1172.32450798646
610,1173.68602878179
611,1174.56035947082
612,1184.60585985603
613,1184.7766928611
614,1192.05179675596
615,1195.31232248922
616,1195.6736968151
617,1196.50696350422
618,1197.58513845492
619,1198.04067580457
620,1199.97184897311
621,1200.99230515901
622,1203.26280924522
623,1204.08357354397
624,1204.0917369329
625,1204.0917369329
626,1204.2755818836
627,1204.60392341786
628,1205.45506254619
629,1206.42808599386
630,1209.50681112141
631,1211.07476307643
632,1212.34012468191
633,1213.08087909478
634,1213.94669812062
635,1217.81807037147
636,1221.52608592211
637,1221.65413076358
638,1222.00562634812
639,1222.55665750816
640,1224.05938213924
641,1224.21792528313
642,1228.7072348658
643,1228.8051304855
644,1230.13565830042
645,1230.95970076164
646,1233.70055013617
647,1233.70055013617
648,1233.70055013617
649,1233.70055013617
650,1243.62883929517
651,1244.92802523912
652,1245.75722859507
653,1248.90912963828
654,1249.10402797904
655,1251.64096447271
656,1253.19468573561
657,1256.96359660133
658,1259.47721188118
659,1262.56818522514
660,1263.30936333944
661,1267.45161002419
662,1268.69739309794
663,1271.21975491847
664,1272.58390068042
665,1276.17738423718
666,1277.5215235576
667,1277.87838892004
668,1277.95683586297
