# Domain: H (partial spectrum)
# Bounding box [a, b] x [c, d] = [-1, 2] x [-2, 1]
# Resolution M = 200, grid spacing h = 0.0149254, dofs = 30888
# Computation time: 30.700 s
# Indicator function phi = @(x,y)indicator_H(x,y)
# eigs: k = 10, tolerance = 1e-10, subspace_dim = 100, max_iterations = 300
n,lambda_n
1,7.74550750109457
2,8.56334056783796
3,13.9339164688611
4,13.9378212166041
5,14.30556565525
6,17.7085425715983
7,19.7392088021783
8,24.7973385725104
9,26.3839230030885
10,26.4355077862377
