# Domain: L_shaped (full spectrum)
# Bounding box [a, b] x [c, d] = [-1, 1] x [-1, 1]
# Resolution M = 49, grid spacing h = 0.04, dofs = 1776
# Computation time: 0.214 s
# Indicator function phi = @(x,y)indicator_L_shaped(x,y,-1,0,1,-1,0,1)
n,lambda_n
1,9.67525047807068
2,15.1965652938331
3,19.7392088021773
4,29.5211948935078
5,31.9986508835389
6,41.5397488175858
7,44.9449755858804
8,49.3480220054485
9,49.348022005451
10,56.7819039257108
11,65.3718678080123
12,71.1424934900629
13,71.5725684857026
14,78.9568352087164
15,89.5570395585643
16,92.3042257547423
17,97.374813657479
18,98.6960440108873
19,98.6960440108938
20,101.727506174886
21,112.400563509168
22,115.503329980586
23,128.30485721415
24,128.30485721416
25,130.118930139516
26,130.324685778621
27,142.62314443395
28,151.117183538872
29,154.932781002616
30,162.187224306469
31,164.703346462397
32,164.85354310267
33,167.783274818518
34,167.783274818522
35,177.65287921961
36,179.887585490088
37,184.033126862654
38,197.392088021784
39,197.392088021785
40,201.4788484276
41,207.5540979977
42,208.772599113467
43,209.671248420738
44,223.220246346467
45,223.605856559065
46,236.576538553024
47,238.412966278318
48,246.740110027231
49,246.740110027232
50,250.955807489833
51,252.851927318115
52,256.609714428316
53,256.609714428321
54,266.188215568857
55,269.453996757178
56,270.213325028438
57,281.297106012107
58,286.218527631588
59,286.218527631589
60,289.328480290473
61,293.600491688436
62,306.769196122363
63,306.94064327898
64,310.514634513229
65,313.747817502248
66,315.827340834859
67,335.566549637035
68,335.566549637039
69,335.821738419992
70,335.878422693667
71,346.127638865476
72,352.184582911211
73,359.806262636382
74,360.488231355823
75,365.175362840307
76,365.175362840308
77,369.521099442705
78,372.428429680698
79,376.40950569335
80,382.779439345976
81,389.859743558595
82,390.57027135177
83,394.784176043571
84,394.784176043573
85,404.653780444662
86,404.653780444667
87,415.972910859483
88,419.572389615894
89,426.827744354691
90,427.079194868819
91,433.015958068192
92,443.766514963094
93,444.132198049019
94,444.132198049021
95,454.127119895163
96,454.13797346844
97,455.096677157912
98,464.441259681033
99,478.869037033523
100,479.64186007255
101,486.356027689684
102,490.069732918449
103,493.480220054466
104,493.480220054472
105,493.480220054478
106,499.864190200426
107,502.271983179899
108,512.641551713917
109,513.21942885664
110,513.219428856644
111,513.489212855561
112,523.089033257737
113,523.089033257742
114,530.408166942775
115,537.501141722134
116,545.208659810048
117,546.208458605429
118,559.096655910172
119,563.909239725
120,565.059242838226
121,565.458808443
122,572.437055263179
123,572.437055263184
124,576.19839240712
125,578.182614435237
126,591.640121497496
127,592.178560448675
128,602.04586846645
129,602.045868466454
130,605.871908018269
131,609.489695474552
132,631.694251124557
133,634.150582933184
134,636.994815135104
135,641.524286070797
136,641.524286070799
137,641.524286070805
138,641.524286070807
139,641.864320183057
140,642.757977616589
141,648.95617273467
142,654.842230339056
143,660.55282359415
144,663.840896821775
145,671.133099274077
146,671.13309927408
147,674.387186240613
148,685.679330635476
149,686.87712825013
150,692.42068418345
151,698.648939575703
152,710.611516878434
153,714.874520006923
154,715.777890051424
155,720.481121279524
156,720.481121279532
157,722.655628073284
158,722.668392694285
159,730.350725680607
160,730.350725680612
161,747.202661682129
162,747.773413446101
163,753.385158347157
164,754.685819772394
165,759.127348066529
166,764.391593429765
167,780.84593594128
168,789.568352087149
169,789.568352087149
170,791.247046036179
171,795.669748319046
172,797.311476580595
173,801.64830115359
174,806.695984212748
175,807.77102194527
176,807.936281534576
177,809.307560889317
178,809.307560889325
179,825.145353809661
180,826.605438522795
181,833.602021588639
182,837.010989097204
183,838.916374092585
184,838.916374092586
185,838.916374092595
186,838.916374092596
187,856.827098318485
188,860.474916599594
189,874.946277972841
190,875.221463307529
191,878.394791696952
192,878.394791696952
193,881.050497121894
194,888.264396098043
195,888.264396098044
196,892.030484261308
197,900.097509482721
198,900.125620659706
199,904.676391889245
200,919.09123950882
201,919.582729870835
202,923.153480055621
203,929.083943221366
204,929.770793879591
205,937.290333923397
206,938.068295607398
207,957.351626905666
208,957.351626905668
209,960.913620151249
210,961.9665577116
211,967.221231306758
212,973.795526569232
213,974.006598679782
214,986.960440108936
215,986.960440108938
216,992.760637673522
217,993.765239744713
218,996.830044510017
219,996.830044510026
220,1000.09617072708
221,1003.67293387774
222,1010.86089564382
223,1013.43732859778
224,1018.47911049897
225,1026.43885771329
226,1026.43885771329
227,1027.62303525246
228,1038.18453329022
229,1040.26480615916
230,1046.17806651547
231,1046.17806651547
232,1050.10447754467
233,1055.30768159275
234,1058.66254421258
235,1062.5932619145
236,1070.96512313065
237,1075.78687971874
238,1075.78687971875
239,1076.19398601591
240,1097.19821598749
241,1097.30256820035
242,1100.18587822268
243,1100.49704914053
244,1106.52218160451
245,1111.23943866715
246,1115.26529732309
247,1115.2652973231
248,1127.04483091426
249,1127.75730822503
250,1138.63152716097
251,1139.82325448127
252,1144.87411052636
253,1144.87411052637
254,1154.74371492745
255,1154.74371492745
256,1163.59427689479
257,1170.06591168886
258,1170.89276384496
259,1174.30426228138
260,1183.44905612313
261,1192.45193357629
262,1193.94608722535
263,1199.83521075284
264,1200.35913049866
265,1204.0917369329
266,1204.0917369329
267,1210.58946694237
268,1216.59602472413
269,1217.42333635485
270,1225.12135241484
271,1225.49281735676
272,1233.70055013616
273,1233.70055013617
274,1233.70055013617
275,1233.70055013617
276,1241.71482318391
277,1242.01789897199
278,1246.39756233652
279,1249.63156990507
280,1263.30936333944
281,1263.32486872852
282,1264.06371122552
283,1283.04857214161
284,1283.04857214161
285,1283.04857214162
286,1283.04857214162
287,1286.90219912161
288,1289.94075141404
289,1310.1100840928
290,1312.16954198003
291,1315.69433967732
292,1316.16729808249
293,1321.07102289309
294,1329.90546012103
295,1335.66021144783
296,1338.90515972423
297,1342.26619854815
298,1342.26619854815
299,1344.23070521697
300,1344.28930461866
301,1350.69183641862
302,1352.13580294924
303,1352.13580294924
304,1365.93937727127
305,1377.40367426665
306,1383.26386221907
307,1386.31486680034
308,1386.62721507475
309,1397.45290409598
310,1398.40334863379
311,1409.46289924742
312,1411.32410052536
313,1425.6848725669
314,1427.69727972815
315,1431.09263815795
316,1431.09263815796
317,1431.09263815796
318,1431.09263815796
319,1440.76562350993
320,1440.96224255904
321,1440.96224255905
322,1443.23984384872
323,1447.35512111351
324,1447.49500608042
325,1460.67779047603
326,1460.70145136122
327,1460.70145136123
328,1461.42713661715
329,1470.57105576231
330,1470.57105576232
331,1484.69190562633
332,1487.7973200628
333,1489.07187477318
334,1493.43098884111
335,1493.8441878803
336,1501.94551783692
337,1510.04947336667
338,1510.04947336667
339,1514.94025387184
340,1531.62018094286
341,1535.07458000286
342,1542.47044331271
343,1548.28677591617
344,1549.52789097103
345,1549.52789097103
346,1551.60572718656
347,1552.1247264609
348,1552.56344663575
349,1557.47245207283
350,1557.88303033346
351,1574.23791978474
352,1577.22756501389
353,1579.1367041743
354,1579.1367041743
355,1580.66816208387
356,1580.7146938194
357,1598.87591297647
358,1612.9714366164
359,1613.29706229713
360,1616.64007139688
361,1618.16439218091
362,1618.61512177865
363,1618.61512177866
364,1631.3356183748
365,1634.61776131052
366,1659.22212339321
367,1661.43211841663
368,1663.20591420455
369,1667.9631437841
370,1667.9631437841
371,1671.39958139499
372,1673.75563923094
373,1674.4512367055
374,1677.83274818519
375,1677.83274818519
376,1677.83274818519
377,1677.83274818519
378,1686.32216421549
379,1687.02034917866
380,1693.38705943966
381,1700.03146168395
382,1701.84738902552
383,1707.44156138846
384,1707.44156138846
385,1709.74003098753
386,1723.44548189814
387,1724.98302979409
388,1726.17220008652
389,1731.27953325957
390,1733.54647338978
391,1735.78691080071
392,1754.10924717378
393,1755.73681767183
394,1756.7895833939
395,1756.78958339391
396,1776.52879219608
397,1776.52879219608
398,1778.49895078411
399,1780.68507881226
400,1786.39839659717
401,1786.39839659717
402,1788.67588944109
403,1790.29532158403
404,1800.11463972291
405,1801.43357770068
406,1808.75291589633
407,1808.84654360353
408,1825.87681420153
409,1825.87681420153
410,1825.87681420153
411,1825.87681420153
412,1836.20063879413
413,1836.21685886344
414,1839.31573599108
415,1842.21052762635
416,1848.44454030126
417,1858.57331996135
418,1862.88609569873
419,1866.9797521178
420,1877.22140525857
421,1884.43199544719
422,1885.92084872764
423,1897.27049922835
424,1901.12380206148
425,1904.83364941025
426,1904.83364941025
427,1905.4299453065
428,1914.40447981491
429,1914.70325381133
430,1914.70325381134
431,1918.15465815345
432,1936.54908423118
433,1938.23357570961
434,1938.66647686454
435,1943.73884344517
436,1944.3120670146
437,1944.31206701461
438,1947.97436390325
439,1948.07331546305
440,1963.35815369175
441,1964.89830316741
442,1970.27237181104
443,1970.32474748505
444,1973.92088021787
445,1973.92088021787
446,1973.92088021787
447,1980.66900557411
448,1983.70379805717
449,1993.66008902005
450,1993.66008902005
451,1998.41655125584
452,2001.62037205459
453,2023.26890222332
454,2023.26890222332
455,2023.26890222332
456,2023.26890222332
457,2026.12854819599
458,2027.78693483614
459,2038.0151372244
460,2038.5601600624
