# Domain: L_shaped (partial spectrum)
# Bounding box [a, b] x [c, d] = [-1, 1] x [-1, 1]
# Resolution M = 299, grid spacing h = 0.00666667, dofs = 66901
# Computation time: 159.106 s
# Indicator function phi = @(x,y)indicator_L_shaped(x,y,-1,0,1,-1,0,1)
# eigs: k = 10, tolerance = 1e-10, subspace_dim = 100, max_iterations = 300
n,lambda_n
1,9.64298191263414
2,15.1972461471271
3,19.7392088021868
4,29.5214788009469
5,31.9205858379395
6,41.4804929559591
7,44.9484580592893
8,49.3480220054376
9,49.3480220054581
10,56.7162841712158
