# Domain: ellipse_minus_quadrant (full spectrum)
# Bounding box [a, b] x [c, d] = [-2, 2] x [-1, 1]
# Resolution M = 47, grid spacing h = 0.0833333, dofs = 649
# Computation time: 0.018 s
# Indicator function phi = @(x,y)indicator_ellipse_minus_quadrant(x,y,-2,0,2,0)
n,lambda_n
1,5.66750369162012
2,11.2083580374933
3,14.6322636895826
4,15.1334284516256
5,20.4689644091957
6,26.1918951843544
7,26.8004196972847
8,28.4690693015783
9,33.6904388132794
10,40.2026446162664
11,40.9451155934574
12,43.3376030718815
13,45.0980040821138
14,47.6195405978463
15,50.7398909915515
16,55.5525580386005
17,59.6679085898419
18,61.785981070492
19,64.3201900258052
20,64.9635345376669
21,70.0904666260541
22,72.177458447033
23,74.7994939473107
24,82.191161961297
25,82.5356261624763
26,86.1856227478743
27,88.5829267228594
28,89.1127698197227
29,94.60073478889
30,97.5695251647746
31,98.3575908747635
32,98.8975207504809
33,107.653619719845
34,108.616468313773
35,109.779613318413
36,110.171576755098
37,116.336332739472
38,118.191372189757
39,122.731694441528
40,123.705456363154
41,127.54917293644
42,130.659734232205
43,134.434397656866
44,138.297066742958
45,139.021490311584
46,139.322271834966
47,143.071245666619
48,148.522515720657
49,150.190739103984
50,154.57075868401
51,155.335886106993
52,161.073908370028
53,163.533813535358
54,165.562925792639
55,169.14981218106
56,170.985144647922
57,172.718253441059
58,173.484391129399
59,174.250411641607
60,181.319675708573
61,181.522505819402
62,186.139057878712
63,188.669559203483
64,190.880623077812
65,195.130111469601
66,198.627624536369
67,199.360274659598
68,208.040249183754
69,209.013548585483
70,210.030285147493
71,211.934226241699
72,211.961065477666
73,213.471471918032
74,214.183613232006
75,224.371439749674
76,225.285092352684
77,229.177746488344
78,229.287036480529
79,232.840361591068
80,238.712218637148
81,240.598370411447
82,246.942161849572
83,247.702940632121
84,250.583459908758
85,251.445789530076
86,253.024893146199
87,253.222052179325
88,254.094969832978
89,259.310981836536
90,259.587883959939
91,268.52890798769
92,270.596401842839
93,271.116082491313
94,272.272538908064
95,273.536286593767
96,279.497270215522
97,284.078253154554
98,289.346655532003
99,289.916851908364
100,291.055120631428
101,293.442457579233
102,296.307274364678
103,299.423052879826
104,300.47874150764
105,303.206663224999
106,307.021793425384
107,307.672464100847
108,312.038633475812
109,314.539266920513
110,318.463167132075
111,319.62864141015
112,322.71752146937
113,328.051002635081
114,330.340762539832
115,332.009112995073
116,339.678866924725
117,340.281923545399
118,340.602358193861
119,342.22456015506
120,344.631858281866
121,349.16236426606
122,349.591837753498
123,353.304311990372
124,355.465438154
125,360.1490317325
126,364.03877864103
127,365.175607272593
128,365.441351696676
129,368.562409192244
130,372.92414025679
131,373.279170773965
132,374.835282522368
133,380.481357881267
134,384.090753197469
135,388.148496807191
136,388.374739409398
137,390.313133344588
138,393.857875365381
139,394.531349434343
140,396.507658894327
141,401.541844594225
142,401.933265476416
143,404.716519107718
144,407.855989948997
145,411.31749072232
146,415.787921409554
147,419.998558469312
148,421.709850311406
149,424.146184160015
150,427.630353058985
