# Domain: ellipse_minus_quadrant (partial spectrum)
# Bounding box [a, b] x [c, d] = [-2, 2] x [-1, 1]
# Resolution M = 199, grid spacing h = 0.02, dofs = 11686
# Computation time: 6.274 s
# Indicator function phi = @(x,y)indicator_ellipse_minus_quadrant(x,y,-2,0,2,0)
# eigs: k = 10, tolerance = 1e-10, subspace_dim = 100, max_iterations = 300
n,lambda_n
1,5.80664770363345
2,11.4122192003301
3,14.990316649625
4,15.7095656010539
5,20.9093476749429
6,26.7954592845122
7,27.2804741626721
8,29.5138677357541
9,34.3981315173009
10,40.8837466501327
