# Domain: gww1 (full spectrum)
# Bounding box [a, b] x [c, d] = [-3, 3] x [-3, 3]
# Resolution M = 50, grid spacing h = 0.117647, dofs = 936
# Computation time: 0.038 s
# Indicator function phi = @(x,y)indicator_gww1(x,y,-3,-1,1,3,-1,1)
n,lambda_n
1,2.55190579921805
2,3.66866185557302
3,5.20255479398272
4,6.54085144746
5,7.2732315869647
6,9.21933386404681
7,10.6103658889711
8,11.5413852716995
9,12.3359389675846
10,13.0902086124924
11,14.3232399000644
12,15.9270262003462
13,16.9336528082827
14,17.6777044406677
15,19.0577216389508
16,20.8855955099939
17,21.3238427211041
18,22.2978953823032
19,23.70538440393
20,24.4719333549482
21,24.6662656118007
22,26.1099086304974
23,27.3296202461621
24,28.1831803970365
25,29.5671727770318
26,31.4789941515256
27,32.0731393592201
28,32.2549872134869
29,32.9221018813698
30,34.1317246098547
31,36.2804336560153
32,37.1203739546285
33,38.8053570628532
34,39.0374182573679
35,40.8963806984144
36,41.0194570129458
37,41.4208695276117
38,41.9177868987579
39,44.1877667994962
40,44.6330956499389
41,45.8240945287431
42,46.6553395957869
43,47.4453459274144
44,49.3297073592745
45,49.9547108497989
46,50.3068475605967
47,51.9765161065281
48,52.5114032393442
49,53.4157512273211
50,54.2453492570304
51,56.2531237398752
52,57.0671542499074
53,58.1068289625363
54,59.1998449944888
55,61.6786293984469
56,61.7494566901166
57,62.8162325052557
58,63.1769956786987
59,63.2380500473228
60,64.0779330005716
61,64.7679998837418
62,66.5368857737236
63,67.1694117824173
64,69.5369081763775
65,69.9755781381805
66,70.6589056954108
67,71.4941387498926
68,71.6171720493553
69,72.4132810909916
70,75.0848041946147
71,76.4159972673337
72,76.8038374902468
73,77.2059632331708
74,77.5149082001043
75,79.6416150710038
76,80.6780917114426
77,81.6774423683277
78,83.6731185826713
79,83.7964710869417
80,83.8591622698592
81,85.873885200849
82,86.0637282546155
83,87.3605385992871
84,89.2274703961196
85,90.3402216513743
86,90.8938270208272
87,91.1148509301126
88,91.2606591072091
89,92.2312951479941
90,93.3364752642895
91,94.6929368047718
92,96.1391482018561
93,97.8369936005893
94,98.3523202684822
95,98.5536798957691
96,98.8526815330834
97,101.151961765125
98,101.898545670104
99,102.905998249946
100,103.331292027295
101,104.5366820303
