# Domain: gww1 (partial spectrum)
# Bounding box [a, b] x [c, d] = [-3, 3] x [-3, 3]
# Resolution M = 200, grid spacing h = 0.0298507, dofs = 15411
# Computation time: 7.057 s
# Indicator function phi = @(x,y)indicator_gww1(x,y,-3,-1,1,3,-1,1)
# eigs: k = 10, tolerance = 1e-10, subspace_dim = 100, max_iterations = 300
n,lambda_n
1,2.54021996482203
2,3.65774088047428
3,5.1800070276019
4,6.53839779071309
5,7.25227510648379
6,9.2111967010285
7,10.5994956435742
8,11.5419896245646
9,12.3369884426667
10,13.0602098459689
