# Domain: gww2 (full spectrum)
# Bounding box [a, b] x [c, d] = [-3, 3] x [-3, 3]
# Resolution M = 50, grid spacing h = 0.117647, dofs = 936
# Computation time: 0.034 s
# Indicator function phi = @(x,y)indicator_gww2(x,y,-3,-1,1,3,-1,1,3)
n,lambda_n
1,2.55186643319152
2,3.66866887393911
3,5.20264081223433
4,6.54099090236299
5,7.27316958695214
6,9.21919020359598
7,10.6089654344743
8,11.5422783527923
9,12.3359395854682
10,13.0899042580049
11,14.3245142430274
12,15.9274281133114
13,16.9335781595288
14,17.6772112926911
15,19.0574713289797
16,20.8854816318585
17,21.3227666897742
18,22.2960063423144
19,23.7030128338081
20,24.4763393541876
21,24.6662937682243
22,26.109025356711
23,27.3258957436429
24,28.1852317047126
25,29.5689540170417
26,31.4815750965926
27,32.0731431986866
28,32.2545344024482
29,32.9209116420506
30,34.1355595513455
31,36.2772707037123
32,37.1219653401903
33,38.8043690257977
34,39.0240789078426
35,40.8904156424633
36,41.0110107805847
37,41.438397204501
38,41.9179034260903
39,44.1823262328015
40,44.6321954351726
41,45.822327441376
42,46.6563291546103
43,47.4546412394031
44,49.3297459767084
45,49.9545256228159
46,50.3118254282576
47,51.9769449572167
48,52.5087508604664
49,53.4235556626337
50,54.2423975995478
51,56.2455353497611
52,57.0620775961311
53,58.1084007556658
54,59.1967339521329
55,61.6785922465541
56,61.7440464357595
57,62.7665627454934
58,63.1673231658796
59,63.287417936224
60,64.0781869807802
61,64.7765777549392
62,66.4910979020608
63,67.1792019334178
64,69.5477945512368
65,69.982585807185
66,70.678230583271
67,71.4959524112338
68,71.6051310433962
69,72.4060095840528
70,75.1120075830446
71,76.4210253334291
72,76.7967904683526
73,77.201104932631
74,77.5150787849586
75,79.6264380195611
76,80.6857819983707
77,81.6748066712365
78,83.6712918938217
79,83.7874708539153
80,83.8568892795445
81,85.8805439380323
82,86.0621532537153
83,87.3570935818735
84,89.1729558385313
85,90.3311721490186
86,90.9056965793716
87,91.1110429067502
88,91.3098390494313
89,92.1691812366277
90,93.3292198530353
91,94.6458132566352
92,96.1893157188849
93,97.8853741937274
94,98.3611829018868
95,98.5558407209458
96,98.8166750406359
97,101.152009776236
98,101.887455559414
99,102.853858861306
100,103.367688945834
101,104.556289710349
102,105.510909610337
103,106.227654246379
104,106.480473716757
105,109.361799273536
106,109.761583631078
107,110.928134215931
108,111.08585072523
109,112.801948220792
110,112.88345551495
111,114.237884520628
112,114.47801902709
113,115.998146834573
114,118.82354719818
115,119.313572465686
116,119.688759408257
117,121.409546253305
118,122.493958200758
119,122.777837454093
120,122.886662688395
121,123.098007570627
122,125.147892615582
123,125.928589497631
124,126.914986381462
125,128.244677209234
126,128.723483030767
127,128.828628495226
128,130.474636765464
129,130.980057113327
130,131.350002250108
131,131.656868012891
132,133.538172438018
133,134.800000595257
134,136.519076389595
135,137.822558508403
136,139.455385641681
137,139.595669089083
138,140.241058259054
139,140.317771085262
140,140.978114680717
141,142.541250737843
142,142.8682121282
143,144.910589306787
144,146.563498632111
145,147.119503442106
146,149.152763491536
147,149.594256502988
148,149.919396816736
149,150.492330703885
150,151.70775774562
151,151.734448885245
152,153.225784387063
153,155.187649213772
154,156.869239870454
155,157.691275208841
156,158.99863362722
157,159.461794866912
158,159.647274771273
159,159.952545914645
160,160.2082356199
161,161.208874882862
162,162.333593944737
163,163.404086571593
164,164.467497842918
165,165.646437826412
166,166.321695666724
167,167.218327196289
168,167.834512685093
169,169.045094936174
170,170.132912605228
171,170.407276022646
172,172.446602396386
173,173.373254920022
174,175.096755742916
175,175.635633327001
176,177.066671529227
177,178.257710266157
178,179.073422100986
179,179.577318329143
180,179.609936079108
181,179.701381532959
182,181.204107722476
183,182.488728918108
184,183.259323295658
185,184.48152275555
186,185.378275719421
187,185.97651941994
188,186.910229045712
189,187.998494544225
190,188.268955014504
191,190.164701618
192,190.849672138742
193,193.112331958074
194,195.016200137937
195,195.570744532307
196,196.117628563727
197,196.911247267342
198,197.012389725521
199,198.340050401891
200,199.60202104001
201,200.567220757911
202,200.757706182633
203,201.285983467336
204,202.166684071438
205,202.809171684927
206,204.849192194986
207,206.110927005684
208,206.582302008933
209,207.947767450788
210,208.591819764464
211,209.182382165368
212,209.697440796799
213,210.223748047967
214,211.331876892183
215,211.669113500463
216,212.086235112345
217,213.474266700354
218,215.756469469498
219,218.220775599528
220,218.499450916965
221,218.998325180063
222,219.296490236512
223,220.556880236451
224,220.745884269463
225,221.13173313182
226,222.668871027074
227,223.182027237298
228,223.682380785778
229,225.752078327435
230,227.042663640453
231,227.685891461656
232,228.087665578483
233,229.191343079147
234,230.134576932863
235,231.572452722989
236,233.411322766827
237,234.226165540719
238,234.469341540655
239,235.102807895007
240,236.355245175261
241,238.487113856639
242,238.622591374739
243,239.22349215578
244,241.13329094197
245,242.628696437462
246,243.240092622222
247,244.196902596291
248,244.945123142845
249,246.06996121288
250,246.547434538889
251,246.781741183724
252,247.269541479702
253,248.027445035197
254,248.959094558685
255,249.429329289546
256,250.346395005462
257,250.942889631864
258,252.773960641555
259,253.928912338827
260,254.347644530674
261,255.272167468728
262,255.527429360889
263,257.408982222729
264,258.822129464324
265,260.346292461687
266,260.702080253998
267,261.186000965836
268,261.940087356448
269,262.964373550652
270,263.281582029821
271,264.430188026589
272,264.798881786398
273,265.710078422639
274,267.27837626193
275,269.088375795312
276,269.929675220345
277,270.678146848927
278,271.417110585574
279,271.74913057815
280,273.443462979937
281,274.490697310708
282,275.954587125554
283,276.509770778212
284,277.436085540102
285,278.72801183665
286,278.772726532547
287,278.941500292949
288,280.048253574412
289,281.805069118006
290,282.20456394132
291,284.117163515151
292,284.255153937991
293,284.844873595112
294,287.425365956104
295,288.126087341489
296,288.768808519182
297,288.957603056234
298,290.485920471171
299,291.35084145591
300,292.261517356276
301,293.038436102634
302,293.441643139236
303,295.823900582126
304,296.438661886079
305,297.124770778565
306,297.867566761963
307,298.728826909576
308,299.703906855485
309,300.491129796671
310,300.983470646663
311,302.945807890115
312,303.093220977511
313,304.208592994202
314,304.476131913008
315,305.917069117888
316,306.48863803429
317,306.958777525696
318,307.482089240799
319,308.747266877696
320,309.759116883646
321,310.162388956622
322,310.982067379582
323,312.944292598345
324,314.210304155021
325,315.979549905106
326,316.749333479215
327,317.464916595662
328,317.979400618295
329,318.152774237144
330,319.599359259324
331,320.135924365816
332,320.513149325437
333,321.428490119823
334,322.486130378196
335,323.131997168189
336,323.708295987604
337,324.345255089825
338,326.494105795734
339,328.026297334493
340,328.252781884381
341,329.014113853016
342,329.692900024579
343,330.651078435845
344,332.485523574791
345,333.266575585362
346,333.990581572049
347,335.104527244781
348,336.15357333266
349,336.866629072986
350,337.105747283081
351,337.727839598181
352,338.643473003613
353,339.175253072042
354,340.401416008945
355,341.860383857103
356,343.483493090086
357,343.978502236191
358,344.809012362407
359,345.328456956179
360,348.530298847167
361,349.510956999789
362,349.871898269855
363,350.490232791134
364,351.065151031362
365,351.360702919396
366,352.464843883645
367,354.130961196752
368,355.236882026747
369,356.471002335645
370,356.822732799934
371,357.299463576742
372,357.70303024849
373,357.908003765756
374,358.32372375963
375,358.660635945367
376,360.273271217204
377,360.881704488876
378,362.459134040258
379,363.048959179418
380,363.864911152789
381,364.983090560239
382,365.11339491366
383,366.244122500605
384,367.575390860235
385,367.88254324614
386,368.483490060204
387,369.285583314433
388,371.183502486869
389,371.31725847548
390,372.369484487145
391,373.200703835276
392,373.939990723837
393,376.48678339436
394,376.765444112108
395,378.427492937075
396,379.167657095601
397,379.498314664166
398,379.743189133839
399,380.305097499848
400,381.622953393737
401,383.558810302148
402,383.838754885007
403,384.745040118835
404,385.153754298326
405,386.0826375798
406,386.889160775593
407,387.286209641146
408,388.102086042544
409,390.303539910081
410,390.699776492556
411,392.108951827956
412,392.288017087574
413,393.595263430676
414,394.246540176999
415,394.743048844388
416,398.291273074746
417,398.369543177996
418,399.711309985715
419,400.813231920764
420,401.763896301038
421,402.305277958029
422,402.786794749431
423,403.874816794771
424,404.172663847492
425,405.01284098297
426,405.605754105281
427,406.384541625941
428,407.883717088296
429,408.168238076404
430,409.049672940605
431,411.162392601814
432,411.48159557631
433,412.522304822345
434,413.346131650658
435,413.980887346348
436,414.885060083682
437,416.063237206539
438,416.221343797236
439,418.008344636984
440,418.751785647154
441,419.647270824774
442,420.535295990731
443,421.102677651025
444,421.856065274747
445,422.672819443458
446,423.338787901987
447,423.793336676915
448,424.852914020315
449,425.396113581823
450,426.402199492444
451,427.004092327056
452,428.437641285088
453,430.026680033448
454,430.56550638496
455,432.424969142376
456,433.243386279554
457,435.362594627617
458,435.711399371054
459,436.17526191989
460,436.541139602125
461,437.293318783311
462,438.070027787299
463,438.636613069042
464,439.459797956007
465,440.664208273603
466,441.340571980781
467,441.689771021456
468,443.401501147088
469,444.683233490682
470,445.095421615229
471,446.278813014567
472,446.5782442547
473,446.748909475779
474,448.92364947818
475,450.007677329485
476,450.342637932338
477,452.210667396014
478,453.028031250388
479,453.700309642293
480,454.761825593118
481,455.672698666158
482,455.745427916335
483,456.545667195689
484,458.020985223989
485,459.142599263361
486,460.039649762793
487,460.933686570391
488,461.262383448061
489,462.476096287525
490,463.756578624122
491,464.553926135207
492,465.566045013682
493,466.676085501288
494,467.237030967411
495,469.323763836469
496,470.101999685368
497,471.496588029923
498,472.120180556767
499,473.173601559616
500,473.901449336017
501,474.908425592469
502,475.243304014926
503,475.784720679365
504,476.484760237265
505,478.174063636917
506,478.351246316605
507,478.992267532785
508,480.50746946813
509,481.157818167011
510,482.293769003279
511,482.576301136609
512,483.558064065262
513,484.947278943399
514,485.216699254303
515,486.535025549377
516,487.811437359362
517,488.204605867991
518,488.725794164171
519,490.358788382505
520,491.330671183801
521,492.602109208279
522,493.116929612837
523,494.192941650655
524,495.159670091805
525,495.498233584359
526,496.384742995991
527,497.250777282571
528,497.941205066321
529,498.110129025371
530,499.069711358342
531,500.33681386795
532,500.990900301582
533,502.041703683415
534,502.712572454132
535,503.647057887254
536,504.288575871222
537,505.633152613747
538,506.894021225858
539,507.812899062492
540,508.290460698158
541,509.299674682316
542,510.001362428081
543,510.276868019269
544,511.653830260747
545,512.518697488169
546,512.982399993437
547,514.808493154751
548,515.698651835052
549,516.566687746481
550,517.390002975128
551,518.160479122057
552,519.069973756881
553,520.211221964902
554,520.359991200388
555,522.136852779962
556,523.021387122046
557,523.824121019871
558,525.810763917083
559,526.838383896375
560,527.506018996892
561,528.253540874665
562,529.239664080463
563,530.92398374722
564,531.595690530165
565,532.429314644436
566,533.750925115219
567,534.897446164274
568,535.856726716846
569,536.347323707331
570,536.523411742718
571,537.066489702473
572,537.682593944754
573,538.642988964159
574,539.984241796819
575,541.272950357104
576,541.820309077061
577,543.093469680321
578,544.497558666624
579,545.319684821025
580,545.680749348833
581,546.953018595265
582,547.309953854326
583,548.218789206362
584,548.623810811653
585,549.335358493767
586,551.423026679351
587,552.930113383275
588,553.329351503104
589,554.478182185067
590,554.51649543064
591,555.185967489968
592,556.884473338378
593,557.260640038497
594,557.750407554231
595,558.12186028833
596,560.527930971837
597,560.654806221875
598,561.595227463741
599,562.753655615662
600,563.477187425069
601,564.96162696842
602,565.240857636486
603,565.856538356675
604,567.046802643727
605,567.492569946076
606,568.382730581335
607,569.726918521205
608,570.260857026695
609,571.911463633608
610,572.794596223696
611,573.507072608137
612,573.845463880571
613,573.924190846818
614,574.75953844534
615,575.542197274304
616,576.386722177265
617,577.242234633844
618,578.701165732123
619,579.948064259267
620,580.489749536498
621,582.037740640278
622,582.868103339758
623,583.645990741742
624,584.895418804748
625,585.721126510236
626,586.114058973768
627,588.971818517172
628,589.678967292718
629,590.664579348757
630,592.438279022117
631,592.909641796625
632,593.422662971018
633,594.155259127562
634,595.255216400935
635,596.600956219139
636,596.959031754167
637,597.358274428434
638,598.463067285842
639,598.679725878886
640,600.385027640211
641,600.602952203928
642,600.991953019639
643,601.39267367724
644,601.6575890003
645,603.061645805798
646,603.742275040952
647,604.451292460337
648,606.900609049719
649,608.4205629598
650,608.688608220534
651,609.740580676083
652,610.631214971723
653,611.056807659193
654,612.656474401758
655,613.19362662645
656,614.525804450568
657,615.003390886904
658,615.289960891664
659,616.342980559814
660,618.439788968181
661,619.088759829202
662,619.964464999784
663,620.952262376462
664,621.17752160627
665,622.974276741236
666,624.975673326748
667,625.372025748068
668,626.135798321229
669,628.127410655435
670,628.470139826306
671,629.824955386966
672,630.455998831478
673,630.552380971786
674,631.451789316313
675,632.496676971746
676,633.434688385385
677,634.03607332221
678,635.150987301166
679,635.40876310716
680,636.672316669045
681,637.144231395268
682,637.822597262416
683,638.585650461632
684,638.940297303636
685,639.836540386239
686,640.494857516741
687,642.107641509382
688,643.296522885263
689,643.675217715698
690,644.733295274388
691,645.909375275888
692,647.716051510498
693,648.603630090022
694,649.036974907556
695,649.768855623758
696,650.763629407056
697,652.083128895056
698,653.367947467843
699,653.874492409807
700,654.973469735755
701,655.231402427152
702,655.659184814508
703,656.696519680995
704,657.532614732419
705,659.26859002745
706,660.147661586737
707,661.10920460729
708,661.570495067575
709,662.320817404488
710,662.993809104216
711,664.164587426815
712,664.569678057625
713,665.450337154359
714,667.010292830288
715,667.574014392124
716,668.306681023083
717,669.008730449967
718,669.249140674202
719,671.101898035392
720,671.511721641805
721,673.928612683803
722,674.578443635821
723,675.131648123764
724,676.480590805406
725,677.269368684789
726,677.692132469139
727,679.286700182912
728,680.229990979553
729,681.304541070941
730,682.292244535028
731,682.953099117616
732,683.471666357823
733,684.748822544155
734,685.278559592938
735,686.237305924436
736,687.219013208547
737,687.970324152471
738,688.700454110967
739,690.095802224022
740,692.264504137577
741,694.351445593185
742,695.059319037105
743,695.440205013507
744,697.290995766937
745,697.672558022828
746,699.236823745106
747,700.787574255575
748,702.268651412377
749,703.148716130181
750,704.297587698656
751,705.361037188492
752,706.228205329272
753,707.467372231014
754,708.469706901489
755,709.065565698544
756,710.722367134796
757,711.267988511637
758,712.735411232589
759,713.733459981263
760,715.184925685849
761,716.137114125785
762,718.099250397601
763,720.25557443669
764,722.035162498299
765,722.880961768072
766,723.415021016241
767,723.722324975004
768,725.665612939946
769,726.928001650716
770,727.551414189113
771,728.322677392318
772,729.155184293234
773,730.704644486254
774,733.887458868231
775,734.534616091581
776,736.485281632225
777,739.781104573655
778,740.359413449696
779,742.416428333283
