# Domain: gww2 (partial spectrum)
# Bounding box [a, b] x [c, d] = [-3, 3] x [-3, 3]
# Resolution M = 200, grid spacing h = 0.0298507, dofs = 15411
# Computation time: 8.190 s
# Indicator function phi = @(x,y)indicator_gww2(x,y,-3,-1,1,3,-1,1,3)
# eigs: k = 10, tolerance = 1e-10, subspace_dim = 100, max_iterations = 300
n,lambda_n
1,2.54021933360553
2,3.65774102537986
3,5.18000868690851
4,6.53840022495233
5,7.25227416553293
6,9.21119475568214
7,10.5994735900186
8,11.5420038014099
9,12.336988442799
10,13.0602052372741
