# Domain: isosceles_triangle (full spectrum)
# Bounding box [a, b] x [c, d] = [0, 3.14159] x [0, 3.14159]
# Resolution M = 50, grid spacing h = 0.0615999, dofs = 1225
# Computation time: 0.341 s
# Indicator function phi = @(x,y)indicator_isosceles_triangle(x,y,0,pi,0)
n,lambda_n
1,4.99996338638446
2,9.9997389951168
3,12.999897890534
4,16.9990792366671
5,19.9994098103049
6,24.9997986626336
7,25.9976323608788
8,28.9981844796839
9,33.9989433965109
10,36.9949372020079
11,39.9957613281824
12,40.9996644916469
13,44.9969746397207
14,49.9904162248695
15,51.9983340154459
16,52.9915635337802
17,57.9933167794144
18,60.9994937117235
19,64.983366708589
20,64.9954346868156
21,67.9848891961164
22,72.9872693080261
23,73.9975740164232
24,79.9902679925331
25,81.9729498539689
26,84.9749004278679
27,84.9992841521658
28,88.9935450330887
29,89.9779958890562
30,96.981999822223
31,99.9966535967959
32,100.958177538625
33,103.960610088052
34,105.986575598574
35,108.964511053416
36,112.999033066363
37,115.96964711378
38,116.991280893728
39,121.937896375129
40,124.940865805948
41,124.975685852046
42,129.945664173384
43,129.995560468852
44,135.982190240859
45,136.952061757064
46,144.910768636485
47,144.998737034546
48,145.95973103777
49,147.914330874803
50,148.988611405318
51,152.920120278194
52,156.968241179328
53,159.927911306909
54,163.994279399408
55,168.937382114184
56,169.875249509055
57,169.977050741763
58,172.879461424919
59,177.886337143626
60,179.948109029622
61,180.998391830344
62,184.895655939689
63,184.985498432677
64,192.959559260055
65,193.907102522042
66,196.829560002543
67,199.83447927351
68,201.992791597222
69,204.842537972739
70,204.92026149556
71,207.971081606498
72,211.853520996616
73,217.934610002096
74,220.867120470249
75,220.997992241963
76,224.981894906089
77,225.771654666559
78,228.777339529
79,231.882930528115
80,232.949508641697
81,233.786678953036
82,240.799464107619
83,243.991073858854
84,244.900439911783
85,249.815395777828
86,249.964189658694
87,256.699183083838
88,259.705691925075
89,259.919022711332
90,260.834079052281
91,264.716410101396
92,264.997531817928
93,268.977742646686
94,271.731136015891
95,273.855015842653
96,276.937926719017
97,280.749580330069
98,288.877595881
99,289.609443802318
100,289.989097405888
101,291.771360489592
102,292.616834615447
103,295.956259195923
104,297.629028947729
105,304.645833362439
106,304.795993833115
107,305.901085061345
108,312.997002533556
109,313.666970145562
110,316.972969198503
111,319.822887605664
112,324.499329045982
113,324.692070418845
114,324.924611163243
115,327.507658518004
116,332.521424388503
117,336.851328995322
118,337.720669090991
119,339.540442812524
120,339.986826264123
121,345.947145724384
122,348.564448243855
123,352.752194306016
124,355.880469294665
125,359.593088552056
126,361.365258186325
127,364.374580468111
128,364.996394297873
129,368.967483464572
130,369.390009116812
131,369.785956881025
132,372.625917908355
133,376.411371047691
134,376.909307146673
135,385.438414928934
136,387.662388323081
137,388.821135656445
138,393.984214867631
139,396.470806859488
140,399.936666235718
141,400.203096965458
142,403.213462052424
143,404.701837950906
144,408.230638009851
145,409.508123075691
146,409.85676085432
147,415.254463469668
148,420.995694244775
149,423.743477790218
150,424.284702653932
151,424.549843638182
152,424.961169458223
153,432.891690276336
154,435.321043910084
155,441.008059551793
156,441.595336069052
157,444.019510796174
158,444.786373761615
159,448.363087187717
160,449.03850744206
161,451.981204716596
162,456.06490130993
163,457.924585545823
164,460.643849557763
165,463.410341683583
166,465.098475235468
167,467.829425610923
168,476.13893794834
169,480.462213684893
170,480.994885704812
171,481.69449161832
172,483.774588423602
173,484.953876170732
174,486.787159282944
175,489.185919792201
176,491.808033457272
177,492.871339478083
178,498.83707722968
179,499.517992172534
180,504.23896241838
181,504.746210423307
182,507.87409362018
183,513.97771904857
184,518.918815174016
185,519.910595233617
186,520.57683296794
187,521.297514175012
188,528.496206252049
189,529.797764545124
190,531.50991542177
191,531.970904153371
192,536.532699935764
193,540.36090877486
194,543.564441589914
195,543.63773994326
196,544.993946489253
197,547.029939221183
198,548.945403955593
199,552.604963466451
200,556.847695489992
201,561.428359654017
202,563.654024729296
203,564.095412854489
204,568.699537233431
205,575.165332409527
206,576.711323683001
207,578.180178042647
208,579.973654639711
209,583.166710185254
210,583.20486959706
211,584.49893364009
212,585.894280329889
213,590.23930637962
214,591.77647643606
215,595.760835863429
216,599.283332685756
217,604.243109722712
218,608.849021163813
219,609.571529236521
220,610.336738417398
221,612.992846374417
222,616.935479518673
