# Domain: rectangle (full spectrum)
# Bounding box [a, b] x [c, d] = [0, 6.28319] x [0, 3.14159]
# Resolution M = 49, grid spacing h = 0.125664, dofs = 1176
# Computation time: 0.320 s
# Indicator function phi = @(x,y)indicator_rectangle(x,y,0,2*pi,0,pi)
n,lambda_n
1,1.2500000000003
2,2.00000000000105
3,3.24999999999906
4,4.24999999999966
5,4.99999999999945
6,4.99999999999993
7,6.25000000000018
8,7.24999999999988
9,7.99999999999948
10,9.25000000000114
11,9.99999999999894
12,9.99999999999981
13,10.2500000000002
14,11.250000000001
15,12.9999999999998
16,13.0000000000001
17,13.2499999999995
18,15.2500000000001
19,16.2500000000002
20,16.2500000000007
21,16.9999999999997
22,17.0000000000009
23,18.0000000000004
24,18.2500000000001
25,19.9999999999994
26,20.0000000000004
27,21.2499999999998
28,21.2500000000008
29,22.2499999999995
30,24.2500000000007
31,25
32,25.0000000000005
33,25.2499999999989
34,25.9999999999997
35,26.000000000002
36,27.2500000000004
37,28.2500000000003
38,28.9999999999997
39,29.0000000000002
40,29.2499999999999
41,31.2500000000003
42,31.2500000000007
43,32.0000000000004
44,33.9999999999994
45,34.0000000000005
46,34.2499999999998
47,36.2499999999997
48,36.2499999999999
49,37.0000000000002
50,37.0000000000006
51,37.2500000000001
52,38.25
53,39.2499999999997
54,39.9999999999996
55,40
56,40.9999999999999
57,41.0000000000001
58,42.25
59,43.2500000000007
60,44.9999999999996
61,44.9999999999999
62,45.249999999999
63,46.2499999999991
64,46.2500000000001
65,48.2500000000003
66,49.2500000000002
67,49.9999999999996
68,50
69,50.0000000000003
70,51.2499999999994
71,51.2499999999999
72,51.9999999999996
73,52.0000000000001
74,53.0000000000004
75,53.0000000000006
76,55.2499999999996
77,55.2500000000005
78,56.2500000000002
79,57.2500000000005
80,57.9999999999999
81,58.0000000000006
82,58.2500000000009
83,60.2500000000003
84,60.9999999999994
85,61.0000000000002
86,61.2499999999992
87,64.2499999999997
88,65
89,65.0000000000005
90,65.0000000000005
91,65.0000000000021
92,65.2500000000009
93,66.249999999999
94,66.2499999999998
95,67.2500000000001
96,67.9999999999997
97,68.0000000000009
98,69.2500000000005
99,70.2500000000006
100,72.0000000000001
101,72.2500000000003
102,73.0000000000004
103,73.0000000000008
104,73.2500000000003
105,73.9999999999998
106,74.0000000000008
107,76.2499999999998
108,76.2500000000002
109,78.2500000000003
110,79.2500000000004
111,80.0000000000003
112,80.0000000000012
113,81.2499999999996
114,81.25
115,81.2500000000007
116,81.9999999999992
117,81.9999999999995
118,83.2499999999999
119,84.2499999999998
120,85.0000000000001
121,85.0000000000005
122,85.000000000001
123,85.0000000000015
124,87.249999999999
125,88.2500000000003
126,88.9999999999992
127,89.0000000000003
128,89.9999999999988
129,89.9999999999998
130,91.2500000000001
131,91.2500000000005
132,92.2499999999993
133,93.2500000000005
134,94.2500000000007
135,94.2500000000008
136,96.9999999999991
137,97
138,97.25
139,98.0000000000003
140,99.2500000000004
141,99.9999999999999
142,100.000000000001
143,100.250000000001
144,101
145,101
146,101.250000000001
147,102.25
148,104.000000000001
149,104.000000000001
150,105.249999999999
151,106
152,106.000000000001
153,106.25
154,106.25
155,106.25
156,108.250000000001
157,108.999999999999
158,109.000000000001
159,111.249999999999
160,111.250000000001
161,112.249999999999
162,113
163,113.000000000001
164,114.25
165,115.25
166,115.999999999999
167,116
168,117
169,117.000000000001
170,119.25
171,120.25
172,120.250000000001
173,121.250000000001
