# Domain: rectangle (partial spectrum)
# Bounding box [a, b] x [c, d] = [0, 6.28319] x [0, 3.14159]
# Resolution M = 199, grid spacing h = 0.0314159, dofs = 19701
# Computation time: 15.230 s
# Indicator function phi = @(x,y)indicator_rectangle(x,y,0,2*pi,0,pi)
# eigs: k = 10, tolerance = 1e-10, subspace_dim = 100, max_iterations = 300
n,lambda_n
1,1.2500000000003
2,1.9999999999995
3,3.25000000000047
4,4.25000000000043
5,4.99999999999979
6,4.99999999999979
7,6.24999999999992
8,7.24999999999941
9,7.99999999999964
10,9.25000000000142
