# Domain: small_rectangle (full spectrum)
# Bounding box [a, b] x [c, d] = [0, 3.14159] x [0, 3.14159]
# Resolution M = 47, grid spacing h = 0.0654498, dofs = 253
# Computation time: 0.012 s
# Indicator function phi = @(x,y)indicator_rectangle(x,y,0,pi/2,0,pi/4)
n,lambda_n
1,20.0000000000016
2,32.0000000000006
3,52.0000000000012
4,68.0000000000029
5,80.0000000000024
6,80.0000000000033
7,100.000000000002
8,116.000000000003
9,128.000000000002
10,147.999999999999
11,159.999999999999
12,160
13,164
14,180
15,207.999999999999
16,208.000000000005
17,212
18,244.000000000002
19,260
20,260.000000000002
21,271.999999999999
22,272.000000000003
23,288.000000000001
24,291.999999999998
25,320.000000000001
26,320.000000000002
27,339.999999999999
28,340.000000000002
29,356.000000000002
30,387.999999999997
31,400.000000000002
32,400.000000000003
33,404.000000000003
34,416
35,416.000000000001
36,436.000000000002
37,451.999999999999
38,463.999999999999
39,464.000000000002
40,467.999999999998
41,500
42,500
43,511.999999999999
44,544
45,544.000000000004
46,548.000000000004
47,579.999999999999
48,580.000000000003
49,591.999999999997
50,592.000000000011
51,596.000000000002
52,612.000000000003
53,628.000000000001
54,640.000000000001
55,640.000000000002
56,655.999999999999
57,656.000000000001
58,676.000000000003
59,691.999999999996
60,719.999999999995
61,720.000000000003
62,723.999999999998
63,739.999999999998
64,739.999999999999
65,771.999999999997
66,788.000000000001
67,800.000000000001
68,800.000000000005
69,800.000000000007
70,819.999999999996
71,820.000000000012
72,832.000000000003
73,832.000000000006
74,847.999999999997
75,848.000000000004
76,883.999999999995
77,884.000000000003
78,900
79,916.000000000005
80,927.999999999998
81,928.000000000002
82,931.999999999996
83,964.000000000016
84,976
85,976.000000000006
86,980
87,1027.99999999999
88,1040
89,1040
90,1040
91,1040
92,1044
93,1059.99999999999
94,1060.00000000001
95,1076
96,1088
97,1088
98,1108
99,1124
100,1151.99999999999
101,1156
102,1168
103,1168
104,1172
105,1183.99999999999
106,1184
107,1220
108,1220
109,1252
110,1268.00000000001
111,1279.99999999999
112,1280
113,1299.99999999999
114,1300
115,1300
116,1312
117,1312.00000000001
118,1332.00000000001
119,1348
120,1359.99999999999
121,1360
122,1360
123,1360
124,1396
125,1412
126,1424
127,1424
128,1440
129,1440
130,1460
131,1460
132,1476.00000000001
133,1491.99999999999
134,1508
135,1508
136,1552
137,1552
138,1556
139,1568.00000000001
140,1588
141,1600
142,1600.00000000001
143,1604
144,1616
145,1616
146,1619.99999999999
147,1636
148,1663.99999999999
149,1664.00000000001
150,1684
151,1696.00000000001
152,1696.00000000001
153,1699.99999999999
154,1700
155,1700.00000000001
156,1732
157,1744
158,1744.00000000001
159,1780
160,1780
161,1795.99999999999
162,1808
163,1808
164,1828
165,1844
166,1855.99999999999
167,1856
168,1872
169,1872
170,1908
171,1924
172,1924.00000000001
173,1940
174,1940
175,1951.99999999999
176,1952
177,1972
178,1972
179,1999.99999999999
180,2000
181,2000
182,2000
183,2019.99999999999
184,2019.99999999999
185,2036
186,2048.00000000001
187,2079.99999999999
188,2080
189,2080
190,2080.00000000002
191,2084.00000000001
192,2131.99999999999
193,2132.00000000001
194,2163.99999999999
195,2175.99999999999
196,2176.00000000001
197,2179.99999999999
198,2180.00000000002
199,2192
200,2192.00000000001
201,2195.99999999999
202,2228.00000000001
203,2260
204,2260
205,2276.00000000001
206,2320
207,2320.00000000002
208,2336
209,2336.00000000001
210,2340.00000000001
211,2372.00000000002
212,2384.00000000002
213,2384.00000000002
214,2420
215,2452.00000000002
216,2468
217,2500
218,2512.00000000001
219,2512.00000000002
220,2516
221,2548.00000000002
222,2592
223,2612.00000000001
224,2624.00000000001
225,2624.00000000001
226,2692.00000000002
227,2720
228,2720
229,2739.99999999999
230,2755.99999999999
231,2788.00000000001
232,2836
233,2896
234,2896.00000000001
235,2900
236,2959.99999999999
237,2960
238,3044
239,3060.00000000001
240,3092
241,3140.00000000001
242,3200
243,3231.99999999999
244,3232.00000000002
245,3363.99999999999
246,3380
247,3411.99999999999
248,3536
249,3536.00000000001
250,3700.00000000001
251,3716.00000000002
252,3872.00000000001
253,4052.00000000001
