# Domain: square (full spectrum)
# Bounding box [a, b] x [c, d] = [0, 3.14159] x [0, 3.14159]
# Resolution M = 50, grid spacing h = 0.0615999, dofs = 2500
# Computation time: 0.382 s
# Indicator function phi = @(x,y)indicator_rectangle(x,y,0,pi,0,pi)
n,lambda_n
1,1.9999999999987
2,4.99999999999828
3,4.99999999999953
4,7.99999999999831
5,9.99999999999581
6,9.99999999999876
7,12.9999999999987
8,13.0000000000021
9,16.999999999993
10,16.9999999999981
11,17.9999999999982
12,19.9999999999961
13,19.9999999999993
14,24.9999999999993
15,24.9999999999999
16,25.9999999999995
17,25.9999999999998
18,28.9999999999979
19,28.9999999999999
20,32.0000000000017
21,33.9999999999988
22,34.000000000001
23,36.9999999999993
24,36.9999999999995
25,39.999999999999
26,40.0000000000007
27,40.9999999999921
28,40.9999999999968
29,44.9999999999994
30,45.0000000000025
31,49.9999999999997
32,50.0000000000001
33,50.0000000000026
34,51.9999999999973
35,52.0000000000046
36,52.9999999999984
37,53.0000000000041
38,57.9999999999991
39,57.9999999999998
40,60.9999999999987
41,61.0000000000032
42,64.9999999999972
43,65.0000000000009
44,65.0000000000013
45,65.0000000000037
46,68.0000000000002
47,68.0000000000032
48,71.9999999999992
49,72.999999999998
50,73.0000000000002
51,74
52,74.0000000000033
53,79.9999999999984
54,80.0000000000014
55,81.9999999999955
56,81.999999999999
57,84.9999999999952
58,84.9999999999989
59,85.000000000003
60,85.0000000000055
61,88.9999999999989
62,88.9999999999992
63,89.9999999999974
64,90.000000000002
65,96.9999999999986
66,97.000000000001
67,97.999999999999
68,99.9999999999977
69,99.9999999999987
70,100.999999999999
71,101.000000000008
72,104
73,104.000000000001
74,106
75,106.000000000001
76,109
77,109.000000000002
78,112.999999999997
79,112.999999999999
80,115.999999999998
81,116.000000000001
82,117
83,117.000000000001
84,122
85,122.000000000001
86,124.999999999991
87,124.999999999999
88,125
89,125
90,128
91,129.999999999991
92,129.999999999995
93,129.999999999998
94,130.000000000003
95,136
96,136
97,137
98,137.000000000002
99,144.999999999999
100,145
101,145
102,145.000000000003
103,145.999999999998
104,145.999999999998
105,147.999999999999
106,148.000000000001
107,148.999999999998
108,149
109,152.999999999999
110,152.999999999999
111,156.999999999998
112,156.999999999998
113,159.999999999997
114,159.999999999999
115,161.999999999999
116,163.999999999999
117,164
118,168.999999999999
119,169.000000000001
120,169.999999999998
121,169.999999999999
122,170
123,170.00000000001
124,173
125,173
126,177.999999999999
127,178
128,180
129,180.000000000002
130,181
131,181
132,184.999999999996
133,184.999999999997
134,184.999999999999
135,185.000000000001
136,192.999999999999
137,193.000000000001
138,193.999999999999
139,193.999999999999
140,197
141,197
142,199.999999999998
143,199.999999999999
144,200.000000000004
145,201.999999999999
146,201.999999999999
147,204.999999999995
148,204.999999999997
149,204.999999999998
150,204.999999999999
151,207.999999999998
152,208.000000000002
153,212.000000000001
154,212.000000000001
155,218
156,218.000000000004
157,220.999999999995
158,221
159,221.000000000002
160,221.000000000003
161,225
162,225.000000000002
163,226
164,226.000000000002
165,228.999999999999
166,229.000000000001
167,232.000000000001
168,232.000000000001
169,233
170,233.000000000002
171,233.999999999999
172,234
173,241
174,241.000000000002
175,242
176,244.000000000001
177,244.000000000003
178,244.999999999999
179,245.000000000002
180,249.999999999999
181,250.000000000002
182,250.000000000005
183,250.000000000007
184,256.999999999999
185,257.000000000001
186,260
187,260
188,260.000000000003
189,260.000000000008
190,260.999999999999
191,261.000000000001
192,264.999999999996
193,265
194,265.000000000001
195,265.000000000002
196,269
197,269.000000000002
198,271.999999999999
199,272.000000000003
200,273.999999999999
201,274.000000000001
202,276.999999999999
203,277.000000000007
204,280.999999999999
205,281.000000000001
206,288.000000000001
207,289
208,289.000000000002
209,290
210,290.000000000001
211,290.000000000001
212,290.000000000006
213,291.999999999999
214,292.000000000002
215,292.999999999998
216,293
217,295.999999999999
218,296.000000000001
219,298.000000000001
220,298.000000000003
221,304.999999999993
222,304.999999999998
223,305.000000000001
224,305.000000000003
225,306
226,306.000000000002
227,313
228,313
229,314
230,314.000000000001
231,317
232,317.000000000002
233,319.999999999998
234,319.999999999999
235,324.999999999994
236,324.999999999999
237,325
238,325.000000000002
239,325.000000000003
240,325.000000000004
241,327.999999999999
242,328
243,333
244,333.000000000001
245,337
246,337
247,337.999999999995
248,337.999999999999
249,338.000000000001
250,339.999999999999
251,340
252,340.000000000001
253,340.000000000001
254,346
255,346.000000000001
256,349
257,349.000000000001
258,353
259,353.000000000001
260,355.999999999998
261,356
262,360.000000000001
263,360.000000000001
264,362
265,362.000000000001
266,364.999999999999
267,365
268,365.000000000001
269,365.000000000001
270,369
271,369.000000000002
272,369.999999999998
273,370.000000000001
274,370.000000000002
275,370.000000000004
276,373
277,373.000000000002
278,376.999999999996
279,377
280,377.000000000004
281,377.000000000008
282,386
283,386.000000000001
284,388.000000000001
285,388.000000000002
286,389
287,389.000000000001
288,392
289,394
290,394.000000000001
291,397
292,397.000000000001
293,400
294,400.000000000001
295,401
296,401.000000000001
297,403.999999999999
298,404
299,405
300,405
301,409
302,409.000000000002
303,410
304,410.000000000004
305,410.000000000004
306,410.000000000005
307,415.999999999999
308,416.000000000002
309,421
310,421.000000000002
311,424.000000000001
312,424.000000000003
313,424.999999999997
314,424.999999999999
315,424.999999999999
316,425.000000000003
317,425.000000000004
318,425.000000000005
319,433.000000000001
320,433.000000000001
321,435.999999999998
322,436
323,441.999999999998
324,442
325,442.000000000002
326,442.000000000004
327,444.999999999999
328,445.000000000002
329,445.000000000003
330,445.000000000003
331,449
332,449.000000000001
333,450
334,450
335,450.000000000001
336,451.999999999997
337,452.000000000001
338,457.000000000001
339,457.000000000003
340,457.999999999998
341,458.000000000004
342,460.999999999999
343,461.000000000002
344,464
345,464.000000000001
346,466.000000000001
347,466.000000000001
348,467.999999999998
349,467.999999999999
350,476.999999999998
351,476.999999999999
352,481
353,481.000000000001
354,481.000000000002
355,481.000000000004
356,482.000000000002
357,482.000000000002
358,484.999999999999
359,484.999999999999
360,485
361,485
362,487.999999999998
363,487.999999999999
364,489.999999999999
365,490.000000000003
366,492.999999999999
367,493.000000000001
368,493.000000000002
369,493.000000000006
370,500
371,500
372,500.000000000001
373,500.000000000007
374,504.999999999996
375,505
376,505.000000000001
377,505.000000000001
378,508.999999999999
379,509.000000000001
380,512.000000000003
381,514
382,514.000000000001
383,520
384,520
385,520.000000000001
386,520.000000000005
387,521
388,521.000000000001
389,522
390,522.000000000001
391,530.000000000001
392,530.000000000001
393,530.000000000002
394,530.000000000003
395,532.999999999999
396,533.000000000001
397,533.000000000001
398,533.000000000003
399,538.000000000001
400,538.000000000001
401,541
402,541.000000000001
403,544.000000000001
404,544.000000000002
405,545.000000000001
406,545.000000000001
407,545.000000000001
408,545.000000000003
409,547.999999999999
410,548.000000000001
411,549
412,549.000000000002
413,553.999999999999
414,554
415,556.999999999999
416,557
417,561.999999999999
418,562
419,564.999999999995
420,564.999999999999
421,565
422,565.000000000001
423,568.999999999999
424,568.999999999999
425,576.999999999999
426,577.000000000001
427,577.999999999999
428,578.000000000001
429,578.000000000001
430,579.999999999997
431,579.999999999999
432,579.999999999999
433,580.000000000002
434,583.999999999999
435,583.999999999999
436,584.999999999996
437,584.999999999999
438,585
439,585.000000000001
440,585.999999999999
441,585.999999999999
442,592
443,592
444,593
445,593
446,595.999999999999
447,596.000000000001
448,600.999999999999
449,600.999999999999
450,604.999999999999
451,605.000000000001
452,609.999999999998
453,609.999999999999
454,610.000000000001
455,610.000000000001
456,611.999999999999
457,612
458,612.999999999999
459,613
460,616.999999999998
461,617
462,624.999999999997
463,625
464,625
465,625.000000000002
466,625.999999999999
467,626.000000000002
468,627.999999999999
469,628.000000000001
470,628.999999999997
471,628.999999999999
472,629
473,629.000000000002
474,633.999999999999
475,634
476,637
477,637
478,640
479,640.000000000001
480,640.999999999999
481,641
482,647.999999999999
483,649.999999999999
484,649.999999999999
485,650
486,650
487,650.000000000001
488,650.000000000003
489,652.999999999999
490,653
491,655.999999999999
492,656.000000000001
493,656.999999999999
494,657
495,660.999999999998
496,661.000000000001
497,666
498,666.000000000001
499,672.999999999999
500,673
501,673.999999999999
502,673.999999999999
503,675.999999999999
504,676.000000000001
505,676.999999999999
506,677
507,679.999999999999
508,680
509,680.000000000001
510,680.000000000001
511,684.999999999999
512,685
513,685
514,685.000000000002
515,688.999999999999
516,689
517,689.000000000001
518,689.000000000001
519,692
520,692.000000000001
521,696.999999999999
522,696.999999999999
523,697.000000000001
524,697.000000000002
525,697.999999999999
526,698
527,701
528,701
529,706
530,706.000000000001
531,708.999999999998
532,709
533,711.999999999999
534,712
535,719.999999999999
536,719.999999999999
537,722.000000000001
538,724
539,724.000000000001
540,724.999999999998
541,725
542,725
543,725
544,725.000000000001
545,725.000000000002
546,729.999999999998
547,729.999999999999
548,729.999999999999
549,730
550,733
551,733
552,737.999999999998
553,737.999999999999
554,739.999999999998
555,739.999999999999
