# Domain: square (partial spectrum)
# Bounding box [a, b] x [c, d] = [0, 3.14159] x [0, 3.14159]
# Resolution M = 200, grid spacing h = 0.0156298, dofs = 40000
# Computation time: 66.594 s
# Indicator function phi = @(x,y)indicator_rectangle(x,y,0,pi,0,pi)
# eigs: k = 10, tolerance = 1e-10, subspace_dim = 100, max_iterations = 300
n,lambda_n
1,2.00000000000266
2,4.99999999999259
3,4.99999999999798
4,7.99999999999821
5,10.000000000001
6,10.000000000003
7,12.9999999999982
8,12.9999999999997
9,16.9999999999929
10,17.0000000000011
