# Domain: H_shaped [-1, 2] x [-2, 1] (finite differences, 5-point stencil)
# M = 50, grid spacing h = 0.0588235, dofs = 1888
# Computation time: 0.280 s
n,lambda_n
1,7.78327368984106
2,8.59776016633497
3,13.9266464102886
4,13.9305001557321
5,14.2620291379043
6,17.6621135696883
7,19.6830967654073
8,24.7201455264809
9,26.3182908120735
10,26.3699251529573
11,32.8300196857944
12,36.9409064642151
13,37.0086264612486
14,38.9361055520074
15,40.4598861950418
16,41.8247912138895
17,44.7911833518125
18,45.8388183608284
19,47.0028316597777
20,48.8725997869846
21,48.8725997869882
22,51.5831926037197
23,54.4795524129484
24,58.0155213394569
25,61.9052041347475
26,62.0997949909381
27,62.3192299541709
28,64.8283499438426
29,66.8424094953096
30,71.2274012453112
31,75.6399309150237
32,78.0621028085643
33,78.4601735300341
34,78.5028946922303
35,84.007727749543
36,84.55521892332
37,86.6490237416981
38,89.2901800662793
39,90.0440594751131
40,93.2660082641872
41,93.4627016154254
42,93.8287877800817
43,95.6832177127471
44,96.4160439309867
45,96.4160439309926
46,99.0293245194576
47,103.908491351092
48,105.446182126664
49,106.312616973023
50,109.547691844174
51,110.184287249432
52,110.39219399977
53,115.462419439169
54,115.694494507712
55,118.31746279945
56,118.493048442183
57,119.904483013465
58,125.605546952563
59,125.605546952566
60,130.813115742687
61,134.648506702684
62,136.001606381363
63,136.485788821045
64,137.565429950963
65,137.625533083392
66,141.592143659274
67,142.299125634245
68,146.785617719006
69,150.128178830841
70,151.684769851951
71,152.306373187073
72,152.416339716154
73,157.38273748323
74,157.536656216814
75,158.198413098514
76,159.926556273794
77,160.533942851457
78,160.694394229168
79,160.694394229169
80,162.534868527272
81,166.536723632126
82,167.899203134846
83,168.20527150095
84,173.148991096566
85,173.336046798746
86,173.68842416769
87,175.688421492383
88,178.814675226686
89,183.231166654246
90,184.623567531187
91,185.06232840263
92,185.826601561227
93,186.979314949463
94,189.883897250742
95,189.883897250744
96,190.941223475836
97,192.114343002056
98,198.417572868648
99,203.873858838171
100,204.538333661365
101,204.770647131474
102,208.892085700541
103,210.098471241819
104,211.229614505062
105,212.26160740245
106,213.739847189054
