# Domain: L_shaped [-1, 1] x [-1, 1] (finite differences, 5-point stencil)
# M = 49, grid spacing h = 0.04, dofs = 1776
# Computation time: 0.168 s
n,lambda_n
1,9.66133128680488
2,15.176735847587
3,19.7132467137951
4,29.4478492897369
5,31.8964979152977
6,41.3462682725265
7,44.7249701796262
8,49.1276719461201
9,49.1276719461232
10,56.5331116874528
11,65.0132397869131
12,70.6009555769063
13,71.0881687496649
14,78.5420971784222
15,88.5882606303521
16,91.4283611335438
17,96.5205162655123
18,97.6360159965911
19,97.6360159965969
20,100.835748350072
21,111.365158011782
22,114.300810905866
23,127.05044122889
24,127.050441228896
25,128.197317053552
26,128.361132889593
27,141.163100194289
28,149.161442266218
29,152.294268038529
30,160.037542159001
31,161.635189072175
32,161.991914754979
33,164.473273302058
34,164.473273302076
35,175.558785279375
36,176.668646848832
37,180.644663038152
38,193.88769853437
39,193.887698534387
40,198.57805034166
41,203.434723356674
42,203.564802263531
43,205.153482020126
44,219.327518329634
45,219.520734325892
46,230.769228328222
47,233.137174830434
48,242.396042584849
49,242.396042584856
50,243.396168259374
51,244.932009339927
52,248.585380388227
53,248.585380388228
54,259.123075866015
55,262.819361196271
56,263.810341362436
57,274.626875174826
58,277.99980562052
59,277.999805620529
60,282.354012752785
61,287.49885097768
62,295.468887920334
63,295.852038980107
64,301.667531224224
65,304.560263240498
66,309.233299890336
67,323.73717854768
68,324.16826696416
69,326.508149670999
70,326.508149671007
71,337.763973196325
72,340.56217246246
73,344.581291055119
74,346.175889078574
75,348.645839080142
76,348.645839080145
77,357.098306423772
78,358.566195368096
79,364.875442430762
80,367.97359459796
81,376.636305294589
82,376.836736010364
83,378.060264312442
84,378.06026431245
85,393.345406976479
86,393.345406976492
87,399.131032131259
88,401.09184782692
89,404.498988495198
90,405.953492594368
91,420.285560319946
92,426.56860836291
93,426.568608362929
94,428.100891391241
95,431.385036318147
96,432.603268548778
97,438.534617344665
98,449.528609805474
99,456.772779714707
100,457.206639472205
101,461.078061563544
102,462.681253595848
103,463.076636171037
104,463.076636171038
105,472.327600357667
106,477.149942052075
107,477.45751406263
108,485.335984908589
109,485.863742093103
110,492.491061403344
111,492.491061403346
112,493.405865668396
113,493.405865668406
114,511.059355518548
115,511.922143876757
116,516.71944148612
117,519.933098982251
118,524.88566331553
119,525.030257125276
120,534.681333509347
121,540.999405453823
122,540.999405453832
123,541.71617023919
124,549.387827319757
125,551.418433485342
126,552.348292884052
127,553.944391078979
128,573.856168233421
129,575.571620394903
130,577.517972754548
131,577.51797275455
132,583.088821412571
133,586.1565100709
134,590.073129633149
135,590.073129633154
136,596.785762990191
137,598.372949387744
138,607.836662759307
139,607.836662759319
140,608.247278564604
141,609.909691064059
142,610.820438110943
143,619.049972702588
144,619.487554865457
145,619.487554865465
146,628.159497408494
147,640.898647198089
148,641.000774988151
149,644.66998913999
150,652.612382772227
151,653.29940387509
152,657.599620595367
153,658.282513384135
154,667.995898915931
155,667.995898915943
156,670.867872115165
157,671.795125571116
158,677.578431446471
159,684.317303411076
160,684.60730925166
161,691.948769845451
162,691.948769845452
163,700.009012164231
164,703.006345573615
165,716.246799303579
166,719.181677419846
167,722.095469064327
168,723.82102585728
169,727.63250890056
170,727.632508900567
171,730.611967925705
172,731.685928554599
173,734.833156221423
174,734.833156221427
175,739.138882079523
176,743.150563775008
177,747.165459597899
178,750.16785424407
179,756.149184596882
180,757.046934132873
181,757.046934132873
182,760.740026852885
183,775.403498327292
184,775.935296168377
185,779.906566278007
186,784.606377003592
187,792.009228537368
188,792.009228537372
189,799.455732468324
190,799.58431802307
191,803.554386801746
192,803.976306856461
193,805.555278183343
194,805.555278183343
195,818.94526330757
196,818.945263307572
197,825.811328375587
198,826.033041347304
199,829.444610391505
200,835.686866706742
201,836.706172341945
202,842.260230649531
203,848.387066357811
204,861.160065923565
205,864.291337931475
206,868.925576984838
207,871.86169162917
208,872.392535488831
209,872.392535488833
210,873.585380388213
211,873.585380388218
212,873.89466109049
213,875.813498869842
214,876.25581798361
215,885.307110098065
216,890.298949510456
217,892.431312575021
218,892.574598623856
219,902.999805620524
220,902.999805620529
221,906.440025628273
222,914.040195315899
223,915.060947647188
224,919.005721999488
225,919.005721999496
226,923.401831500389
227,927.546820617723
228,945.243730961559
229,946.192255489412
230,948.819979668382
231,948.826240489133
232,949.750460086774
233,951.508149671002
234,951.508149671005
235,956.051285572406
236,956.504642574967
237,956.504642574975
238,968.008389588815
239,974.051159971945
240,974.574374950119
241,978.387273531208
242,986.831094443346
243,987.172244511879
244,991.757718479469
245,995.390942082375
246,1006.55330775933
247,1008.67523923916
248,1016.79889716446
249,1018.34540697648
250,1018.34540697648
251,1020.09858557511
252,1025.62998012475
