# Domain: ellipse_minus_quadrant [-2, 2] x [-1, 1] (finite differences, 5-point stencil)
# M = 47, grid spacing h = 0.0833333, dofs = 649
# Computation time: 0.103 s
n,lambda_n
1,5.64837654693237
2,11.140253474056
3,14.5381642609998
4,15.033521230342
5,20.3001550145316
6,25.9376594250552
7,26.468243805166
8,28.0965978272343
9,33.2467229519909
10,39.4074574921797
11,40.3070522593182
12,42.5527276022037
13,44.1542171474425
14,46.5764933614585
15,49.6987739167389
16,54.2695192606643
17,58.2126136548475
18,60.3788863632358
19,62.3346192327307
20,63.3865978919837
21,67.7392775693675
22,70.0528754032553
23,72.5887898050248
24,79.3493794567347
25,79.9248644445621
26,83.5198121455247
27,84.9210277218464
28,85.5150855082399
29,90.4531601713459
30,93.4786473027647
31,94.1893837216394
32,94.5421771916648
33,102.899065708784
34,103.311099448645
35,105.493909966261
36,105.64762386545
37,110.519498078485
38,112.135791461919
39,116.6591580315
40,118.253919871631
41,119.90150781428
42,122.389313259674
43,127.32300112342
44,129.553514494259
45,131.445320914261
46,132.365923780212
47,135.592223010493
48,139.607635383022
49,140.687210191629
50,144.368639888345
51,146.052043639982
52,149.044073869675
53,150.97372983661
54,154.593066809251
55,155.071172593373
56,159.427846734339
57,160.136505937015
58,160.436203035388
59,163.105259286061
60,168.098461109334
61,169.576454383789
62,170.164524396717
63,174.812367257764
64,176.372161103029
65,180.278121576409
66,182.056922970099
67,182.24067258389
68,188.528662970067
69,190.308799274838
70,190.965491203403
71,192.460414157933
72,193.89979266437
73,196.046201838067
74,197.711177529364
75,202.710845597574
76,205.338415305607
77,207.475370509547
78,209.587499537513
79,213.204330804671
80,214.119234359723
81,214.654078011335
82,221.134337036977
83,221.448389329716
84,223.027771262593
85,224.763224928944
86,225.676299664596
87,225.829562522467
88,228.963449882848
89,231.281722276492
90,234.006607517112
91,236.485783097189
92,239.99433513634
93,240.900541412383
94,244.583659958659
95,246.413910128751
96,248.364222865408
97,249.384952800967
98,253.915094842859
99,254.993843417442
100,256.771859211538
101,259.366062571553
102,260.792286082309
103,261.118112951833
104,262.197406642879
105,265.607673235632
106,269.462994057147
107,271.897767831057
108,272.289956022116
109,273.577686833215
110,274.217433007898
111,281.281544226335
112,283.862015461692
113,285.233137085485
114,287.788316056599
115,288.631614646524
116,289.257633584398
117,290.137422024319
118,294.48511542887
119,295.670032117453
120,295.971847526645
121,298.022779248723
122,299.623720666211
123,302.079555742666
124,302.740784665874
125,305.90647881752
126,307.508226581723
127,309.858601051919
128,312.021796136389
129,314.028610456568
130,316.450329311593
131,317.04759236215
132,320.95258120737
133,321.15761669101
134,325.191056533688
135,327.543519511224
136,328.592295194162
137,329.256024247653
138,329.856733468653
139,330.238548917292
140,333.933193477658
141,337.76991506417
142,338.427813200744
143,339.486815747319
144,341.277009415081
145,343.203715099592
146,345.608167030259
147,346.52568233356
148,349.260615071272
149,352.688063835024
150,353.733268900353
151,355.381207998841
152,357.455846209658
153,357.867265507441
154,360.951567579291
155,362.61036442366
156,364.639517537213
157,367.601323801603
158,368.527093400785
159,368.702718977189
160,370.085490777391
161,371.728872396848
162,373.43093407048
163,375.010623836477
164,375.709073959683
165,377.203284947391
166,379.050330151464
167,380.802842207097
168,385.863817751922
169,386.274989165296
170,387.686319967014
171,388.909039353699
172,390.464628057618
173,390.852151682772
174,395.793636372206
175,397.541314270547
176,397.635931961617
177,398.389887759221
178,398.784486582944
179,401.792380419421
180,401.978605282727
181,405.956643147171
182,409.263288046574
183,409.539730672946
184,410.442050254088
185,411.189017302873
186,414.500437716768
187,415.246333572192
188,415.927179005041
189,418.202596537113
190,418.924336839281
191,419.567078305996
192,421.614595835785
193,424.239602763166
194,426.495728540333
195,429.285356546851
196,429.58075040489
197,430.082471022822
198,432.078869654528
199,433.203300594933
200,435.933279209111
201,437.632885737315
202,438.584640004442
203,439.430518389825
204,439.485175339551
205,441.890626452442
206,443.241072888992
207,446.283931523836
208,446.580407113329
209,447.596918758896
210,449.118021033942
211,450.709755233613
212,451.417578590162
213,455.468317274035
214,455.497548344375
215,456.560480920431
216,457.58692449334
217,459.147181055736
218,459.367803411608
219,460.860545263829
220,463.604332426873
221,465.371190021379
222,466.283672584883
223,467.748705886598
224,470.045795460832
225,471.357227578176
226,471.904971530524
227,474.982771721157
228,475.3353064098
229,475.634396026055
230,477.422083103551
231,478.840270418582
232,480.623681954977
233,482.194707717275
234,484.050555350657
235,484.209054036581
236,484.936078894534
237,486.879389695599
238,488.148833432428
239,489.629215121262
240,491.695559397683
241,492.858233471835
242,493.770051679359
243,495.278136872609
244,495.615629196428
245,495.904133818543
246,497.770746131195
247,497.776919107472
248,499.954318034645
249,501.245160789759
250,501.651655119371
251,504.01527340448
252,505.658407730511
253,506.328985251261
254,509.079798486316
255,509.135179424155
256,510.6573597542
257,511.021161794623
258,512.444386593178
259,513.429475807155
260,515.360671629961
261,515.723614938905
262,516.125002983339
263,518.774386361983
264,520.334993213892
265,520.913263114248
266,521.953446176198
267,523.043671134257
268,525.129991626069
269,525.181621418285
270,526.3465713529
271,527.970116332997
272,527.995439406136
273,529.57027233085
274,531.25739958641
275,531.578798829935
276,531.770629054406
277,535.546205211962
278,536.1439981943
279,536.414159414583
280,537.032717708401
281,537.383516310033
282,538.638367705812
283,539.427416642976
284,540.437728166555
285,541.951458840858
286,543.090185848644
287,543.205895345983
288,544.30654778309
289,545.940276997561
290,546.955686457841
291,547.69304960877
292,548.320474307971
293,550.173611322043
294,551.741758929564
295,552.966141208336
296,553.873168512161
297,554.506143954044
298,555.593670257966
299,555.806002181681
300,555.997605663751
301,558.002318342551
302,558.366074532232
303,559.353600538651
304,559.485311650096
305,561.569761922103
306,562.561305381085
307,563.056156939687
308,564.237821058964
309,564.959273052658
310,565.407745777051
311,566.040892387617
312,566.480925649323
313,566.770194372516
314,567.764477421334
315,568.234564029347
316,568.807020576786
317,569.864308134831
318,570.902057819058
319,571.461388422261
320,573.851864348923
321,574.855759334053
322,575.999999999999
323,575.999999999999
324,576
325,576
326,576
327,576.000000000001
