# Domain: gww2 [-3, 3] x [-3, 3] (finite differences, 5-point stencil)
# M = 50, grid spacing h = 0.117647, dofs = 936
# Computation time: 0.030 s
n,lambda_n
1,2.54405782979559
2,3.65667676868737
3,5.17672434727174
4,6.50365444738037
5,7.22840928144438
6,9.14783204064815
7,10.4965212795842
8,11.4228687872742
9,12.2181499467459
10,12.9562470390659
11,14.1381409840331
12,15.7229960540763
13,16.6979857043324
14,17.4035870758226
15,18.7536412007677
16,20.5443429975037
17,20.9296139180253
18,21.8632806638911
19,23.166546109477
20,23.9890566549911
21,24.1040109827464
22,25.5688418524402
23,26.7342000439274
24,27.4401544235831
25,28.8966278389391
26,30.4966954545947
27,31.2693426643127
28,31.4013867381413
29,32.1427986336226
30,33.2179874806467
31,35.0820619753546
32,36.0143111945654
33,37.6355348965511
34,37.7693619348394
35,39.3720404766524
36,39.6105901140627
37,39.7626062710141
38,40.17359855729
39,42.6450948784071
40,43.0565073097113
41,44.1312990338908
42,44.8095565052133
43,45.6769171771429
44,47.4709743126852
45,47.6965855288379
46,48.5782523921882
47,49.293350587314
48,50.0063725174227
49,51.0662221977592
50,52.1955075635637
51,53.643161989896
52,54.3998006012887
53,54.9244722282969
54,56.462996535495
55,58.44917191562
56,59.098292707732
57,59.2278989494806
58,59.3568353486857
59,59.8796821388735
60,60.3384922480087
61,61.5831291562007
62,62.4407462020603
63,63.6858061625192
64,64.8576916387854
65,65.9151541606139
66,66.9891426341682
67,67.1770578942688
68,67.7084810619947
69,68.9443943774236
70,69.7178115170528
71,70.4792361788199
72,71.3644524169671
73,72.7952149610034
74,73.0784901026298
75,74.4717378261831
76,75.9060658150733
77,76.6312766545341
78,76.9850942179223
79,77.9290627905243
80,79.0629189302685
81,79.9699527426951
82,80.7104793083175
83,81.3125804650071
84,81.7457524425013
85,82.1877449397729
86,82.5511946859674
87,83.5962977725564
88,84.5783446388739
89,85.5744119885732
90,87.238393391197
91,87.514130260815
92,88.228931833195
93,88.6763082841275
94,89.8485704413596
95,90.4016855078728
96,91.2593906708314
97,93.6921648027954
98,93.915463874579
99,94.8533104426564
100,94.8987073865706
101,95.1325065048125
102,95.9842192376514
103,96.1855796943049
104,97.3647428387188
105,98.9368906606518
106,100.538186901791
107,101.104034717143
108,101.638873201803
109,101.73443147736
110,102.533862032706
111,103.785352802433
112,105.103248755454
113,105.650868005565
114,106.534625492347
115,106.727402859825
116,107.383215821642
117,107.41608503026
118,108.725101688572
119,109.211801683247
120,110.633705823512
121,111.206745488648
122,112.411912259235
123,113.267938808054
124,113.700554633655
125,114.328497342064
126,114.713460785655
127,115.805038262398
128,116.959845530312
129,117.804019051905
130,117.975566033792
131,118.989831620098
132,119.731091986525
133,119.757656330581
134,120.294759261632
135,120.85122310275
136,121.861703883259
137,122.773541300333
138,124.190347547305
139,126.267076065982
140,126.599321821656
141,126.699785455309
142,126.891048951694
143,127.330718614373
144,128.006520510751
145,128.770655179102
146,129.895686034169
147,131.212580197592
148,132.324627152155
149,132.781146830094
150,133.435053522242
151,133.627609153228
152,134.229390175407
153,134.463479475253
154,135.942584866022
155,136.309283350647
156,137.510102633487
157,137.861099952736
158,138.462493924627
159,139.20269354487
160,140.027358916361
161,140.3754124039
162,140.924984908625
163,140.963092515873
164,142.668909396199
165,143.218742788034
166,144.371903119724
167,144.813141365447
168,144.972058104796
169,145.944147601925
170,146.656024622016
171,146.927310269922
172,147.794005114545
173,149.094138760866
174,149.705815402255
175,150.677347926371
176,151.585454878121
177,152.085404733839
178,152.810845944624
179,153.179858970822
180,153.429170264176
181,154.019395511717
182,154.570520146551
183,155.954739151021
184,156.443494048039
185,158.41287741531
186,159.036637453341
187,159.371405979162
188,160.25588957967
189,160.293165038124
190,160.309721460132
191,161.204522210434
192,161.363285767823
193,162.12340870898
194,162.374992977781
195,162.701992926936
196,164.081846733539
197,165.098844552233
198,165.403150714565
199,166.568866041289
200,166.81642390912
201,167.402880178547
202,167.590540793518
203,167.94076797643
204,168.880433519168
205,169.99317006119
206,170.723449080906
207,171.486793057092
208,172.298036910135
209,172.569710604114
210,173.226356729705
211,173.394798160601
212,173.698548590004
213,173.995177859949
214,174.991194147858
215,177.068615320458
216,177.27042716231
217,178.484363032666
218,178.721073159783
219,179.476401829518
220,179.749748346301
221,180.216662261967
222,180.33806689973
223,181.407094395626
224,182.504765753748
225,183.040383702935
226,184.948729656977
227,185.046505524874
228,185.422946844054
229,185.689409162859
230,186.117543623949
231,186.19795203033
232,186.504689161092
233,186.866795680973
234,187.31216510938
235,188.541062784906
236,188.58651710075
237,188.981153280873
238,189.392975948286
239,190.92464752185
240,191.28489803677
241,192.278148206921
242,192.62684234028
243,193.233303930016
244,193.691513091199
245,193.802064916487
246,195.505996566251
247,195.545989404062
248,196.226019538777
249,197.216801979374
250,197.595938590003
251,198.258608107462
252,198.357977870316
253,198.64060680536
254,199.101346336997
255,199.412090067337
256,200.544146785063
257,200.762035668979
258,201.363550941733
259,203.041395651466
260,204.039155008644
261,204.454075754497
262,204.69201103461
263,205.297704978537
264,205.687925952486
265,205.915535365582
266,206.434821365167
267,206.958711762808
268,208.429448750343
269,208.521287977141
270,209.716567401033
271,210.400279239727
272,210.686395857017
273,210.850448916805
274,211.258029647843
275,211.369579505386
276,211.522402191041
277,212.059589468725
278,212.733727345341
279,213.082571023651
280,213.515606728353
281,214.565064624112
282,214.914679991091
283,215.252072985645
284,215.81088860798
285,216.637048516659
286,216.878476155665
287,217.301471936675
288,217.972298807295
289,218.66695526078
290,218.685652527024
291,219.570141384842
292,219.878305334381
293,221.498320323826
294,221.757513527031
295,222.332032400047
296,222.622895176405
297,222.984822109885
298,223.304738937307
299,223.59148912726
300,223.911414762182
301,223.98037998483
302,224.859406305305
303,225.68257559899
304,226.230118705956
305,226.654432839011
306,227.333958828743
307,228.580428156492
308,229.400896174847
309,229.454443904762
310,230.180178598597
311,230.55281629678
312,230.730920012
313,231.580145664544
314,231.686413803828
315,232.158339482943
316,232.985403895537
317,233.241895885534
318,233.430627698783
319,234.041092052479
320,234.71952717037
321,235.488545881165
322,236.009175001763
323,236.122919992137
324,236.563568584695
325,236.702874768849
326,237.396249166255
327,237.923585532737
328,238.133786873586
329,238.622539346362
330,238.953378397314
331,239.184205316424
332,239.396281035389
333,239.777932315952
334,240.938232349791
335,241.338467807873
336,241.463597108613
337,241.745904669081
338,242.799625528647
339,243.087060656312
340,243.225923113543
341,243.881656465766
342,244.092220277494
343,244.979145700267
344,245.238936005918
345,246.248599927872
346,246.622403871325
347,246.738872618162
348,247.099364409653
349,247.57529732677
350,248.449207837267
351,249.296983075016
352,249.465455722901
353,249.646129188017
354,249.72603463474
355,250.547748443116
356,251.123307425323
357,251.25099649825
358,251.920171129114
359,252.430046246515
360,253.053870700456
361,253.107095241425
362,253.224328843873
363,253.340730777972
364,253.747175634062
365,254.535729855147
366,254.729112586792
367,255.000919512549
368,256.036754533183
369,256.24824394094
370,256.76211166437
371,256.984500354989
372,257.568233378003
373,257.871679212962
374,258.398360681935
375,259.312073855388
376,260.228592418364
377,260.638654267689
378,260.906662242955
379,261.044551389456
380,261.918205048707
381,262.032583892769
382,262.296839124791
383,262.611872107516
384,262.717610958068
385,262.788475877031
386,263.054682920748
387,263.610024766015
388,263.671236732221
389,263.962797742157
390,264.135109655706
391,264.966631633992
392,265.372281628162
393,265.617902629065
394,266.328487452907
395,266.35862006933
396,266.653586884641
397,267.156974213271
398,267.433642632727
399,267.781976286287
400,268.374273342837
401,268.717596529255
402,269.258879114651
403,269.293916418417
404,269.419712172467
405,269.816763208605
406,270.021441185115
407,270.119901483587
408,270.475174685631
409,271.355626870616
410,271.586146518515
411,272.388782586411
412,272.657038878696
413,272.930412425456
414,273.239727580433
415,273.505457465752
416,273.612480343385
417,274.770124285147
418,275.32882818566
419,275.508929911784
420,275.856527876949
421,275.924078617169
422,276.164056068997
423,276.42544271449
424,276.481573338588
425,277.114138964
426,277.321197721283
427,277.501241135228
428,277.563721817588
429,277.882295095882
430,278.027958314437
431,278.824382986646
432,278.895436781782
433,279.319512588548
434,279.915898801809
435,280.15374729219
436,280.30613281419
437,280.677896583623
438,281.67790355703
439,281.702624244606
440,281.973459837862
441,282.364071319676
442,282.449323765365
443,282.59996792361
444,282.793705856845
445,283.29107827075
446,283.545704836729
447,283.734125143611
448,284.303415781381
449,284.65001890862
450,284.935884828152
451,285.299925438789
452,285.89812690925
453,286.181686108915
454,286.684607352225
455,287.380760365813
456,287.648713426812
457,288.999999999999
458,288.999999999999
459,288.999999999999
460,289
461,289
462,289
463,289
464,289
465,289
466,289
467,289
468,289
469,289
470,289
471,289
472,289
473,289
474,289
475,289
476,289
477,289.000000000001
478,289.000000000001
479,289.000000000001
480,289.000000000001
481,290.351286573188
482,290.619239634187
483,291.315392647775
484,291.818313891085
485,292.101873090749
486,292.70007456121
487,293.064115171848
488,293.34998109138
489,293.696584218619
490,294.265874856389
491,294.454295163271
492,294.708921729249
493,295.206294143155
494,295.40003207639
495,295.550676234635
496,295.635928680324
497,296.026540162138
498,296.297375755395
499,296.322096442971
500,297.322103416377
501,297.693867185811
502,297.84625270781
503,298.084101198191
504,298.680487411452
505,299.104563218218
506,299.175617013354
507,299.972041685563
508,300.117704904117
509,300.436278182412
510,300.498758864772
511,300.678802278717
512,300.885861036
513,301.518426661412
514,301.57455728551
515,301.835943931003
516,302.075921382831
517,302.14347212305
518,302.491070088216
519,302.67117181434
520,303.229875714853
521,304.387519656615
522,304.494542534248
523,304.760272419567
524,305.069587574544
525,305.342961121304
526,305.611217413589
527,306.413853481485
528,306.644373129384
529,307.524825314369
530,307.880098516413
531,307.978558814886
532,308.183236791395
533,308.580287827533
534,308.706083581583
535,308.741120885349
536,309.282403470745
537,309.625726657163
538,310.218023713713
539,310.566357367273
540,310.843025786729
541,311.346413115359
542,311.64137993067
543,311.671512547093
544,312.382097370935
545,312.627718371838
546,313.033368366008
547,313.864890344294
548,314.037202257842
549,314.328763267779
550,314.389975233985
551,314.945317079252
552,315.211524122969
553,315.282389041932
554,315.388127892484
555,315.703160875209
556,315.967416107231
557,316.081794951292
558,316.955448610544
559,317.093337757045
560,317.36134573231
561,317.771407581636
562,318.687926144612
563,319.601639318065
564,320.128320787039
565,320.431766621998
566,321.015499645011
567,321.23788833563
568,321.75175605906
569,321.963245466817
570,322.999080487451
571,323.270887413207
572,323.464270144852
573,324.252824365939
574,324.659269222027
575,324.775671156127
576,324.892904758575
577,324.946129299544
578,325.569953753485
579,326.079828870886
580,326.74900350175
581,326.876692574677
582,327.452251556884
583,328.27396536526
