# Domain: isosceles_triangle [0, 3.14159] x [0, 3.14159] (finite differences, 5-point stencil)
# M = 50, grid spacing h = 0.0615999, dofs = 1225
# Computation time: 0.079 s
n,lambda_n
1,4.99462699751433
2,9.97409980723081
3,12.9693591484601
4,16.918897239425
5,19.9141565806533
6,24.8936293903544
7,25.802675298687
8,28.7979346399331
9,33.7774074496233
10,36.5917347719208
11,39.5869941131606
12,40.7222048818381
13,44.5664669228577
14,49.2451490609981
15,51.5112643550674
16,52.2404084022331
17,57.2198812119492
18,60.3950424143323
19,63.7149194314028
20,64.1646786441453
21,66.7101787726472
22,71.6896515823526
23,73.0484567034101
24,78.6344490145518
25,79.946157087849
26,82.9414164290913
27,83.8375161766443
28,87.5182270738183
29,87.9208892387966
30,94.8656866710009
31,97.8772913862907
32,98.3072865470473
33,100.872550727529
34,103.749464730263
35,105.852023537235
36,110.960700836123
37,112.796820969431
38,114.538524203491
39,117.440303392453
40,120.43556273368
41,121.680599028706
42,125.415035543389
43,127.191938492571
44,132.35983297559
45,132.469658501931
46,138.560983900946
47,141.243611034858
48,141.556243242182
49,141.661708862977
50,145.123072791014
51,146.535716051888
52,152.032670508094
53,153.48051348409
54,159.592843161417
55,161.159214936234
56,162.364291543352
57,164.154474277473
58,164.686084797169
59,169.133947087176
60,173.153351016586
61,175.824080817858
62,176.078744519375
63,179.155855167576
64,184.962522578642
65,185.149273667514
66,185.806765305666
67,188.14453300876
68,193.124005818466
69,195.387092824017
70,195.751582051873
71,200.068803250661
72,200.276535676069
73,208.404996340953
74,208.952581309933
75,210.440157584811
76,213.318227122459
77,213.43541692605
78,216.507773332517
79,218.414889735754
80,219.74164078316
81,222.874766711362
82,225.359687167961
83,232.395055072243
84,234.243465227223
85,234.438907630953
86,236.935929702637
87,239.106004367803
88,239.931189043876
89,244.910661853581
90,245.032524700457
91,246.864825442648
92,251.855459285778
93,254.001919637115
94,257.037138666248
95,257.685938989536
96,260.739237345049
97,263.096063099093
98,264.536082481856
99,267.531341823096
100,271.52829681828
101,272.155709359938
102,272.510814632796
103,276.600150672398
104,279.455612065007
105,281.027197397529
106,284.181711107355
107,288.339390124271
108,288.386947016387
109,293.135919089222
110,296.13117843046
111,297.720831180898
112,298.651481477763
113,299.128449597501
114,300.590209403686
115,301.110651240162
116,306.318081314826
117,308.055448672366
118,311.781863886579
119,314.882719134215
120,316.939226731633
121,321.710889912184
122,322.626950548284
123,325.622209889522
124,325.88109332098
125,326.251634256988
126,327.728286204865
127,330.601682699224
128,332.813853432648
129,337.546480131425
130,340.38170049394
131,342.482871913433
132,344.309120947476
133,346.430258190695
134,347.001773829478
135,352.376865438805
136,352.897307275283
137,354.851470864349
138,355.892566616521
139,357.219317663928
140,360.414006211875
141,360.872039426225
142,367.816836858427
143,369.600004864768
144,369.872731953007
145,371.082708520798
146,373.497545947303
147,376.7006149177
148,379.977018218029
149,383.832163438769
150,384.342502323413
151,386.827422780007
152,387.489674390925
153,389.013842819232
154,391.806895589708
155,393.590063596051
156,396.095776982593
157,398.751693021915
158,400.143088680004
159,400.573739979859
160,401.097698726525
161,407.635471081177
162,408.576854825387
163,414.612859050408
164,415.314172533323
165,418.309431874564
166,418.424530554411
167,418.504874278294
168,420.085835713877
169,423.28890468427
170,423.695929761817
171,429.697535333889
172,430.233702116472
173,430.844096706857
174,431.077944843491
175,438.067886284451
176,439.117480175738
177,445.376719631174
178,445.547715213896
179,447.223912515054
180,447.685988493101
181,448.775231005296
182,449.906539648969
183,450.219171856295
184,452.295766369178
185,455.198644665994
186,459.18856679295
187,461.778952870345
188,462.143442098201
189,462.559953938049
190,468.338243011453
191,471.02722015747
192,472.976872410396
193,476.285825100463
194,477.029724308454
195,479.44033881029
196,479.710087168783
197,481.78679782824
198,481.816279630697
199,482.435598151527
200,487.415070961234
201,489.45892351995
202,493.2609619649
203,494.359868393434
204,494.469693919775
205,499.273099174939
206,499.47264452822
207,501.576709017754
208,503.243646452704
209,505.776856559524
210,508.939464290183
211,511.192096263339
212,511.841243479132
213,512.057154555239
214,514.032705925931
215,514.836502820372
216,519.815975630074
217,520.393779683435
218,525.170701946626
219,526.68612021501
220,526.760773062276
221,528.072481135578
222,530.755108269496
223,531.067740476819
224,535.644551121547
225,536.047213286521
226,541.155890585417
227,542.992010718725
228,543.101836245066
229,544.303718792027
230,546.433610594775
231,547.298978133266
232,551.875788777994
233,552.278450942971
234,555.672633914802
235,557.387128241865
236,557.563512594644
237,559.087024883854
238,559.223248375172
239,561.338097203817
240,562.664848251223
241,566.982069450008
242,568.107026434439
243,573.556795254259
244,574.474019813281
245,575.318262540299
246,576.70462346087
247,578.89608590767
248,579.69988280211
249,583.785528759719
250,584.679355611813
251,585.163665373866
252,587.833869321642
253,589.788032910708
254,591.549500196748
255,591.624153044014
256,592.272953367303
257,594.881274546457
258,598.464078544564
259,600.507931103285
260,606.019270567154
261,606.383759795009
262,607.719167209143
263,608.921049756106
264,611.296990576514
265,611.916309097343
266,613.763501981225
267,615.434022100864
268,616.001955054955
269,616.895781907048
270,618.768725485128
271,622.250508223602
272,623.754962461861
273,623.84057933925
274,623.950404865592
275,627.282179215302
276,630.373818526295
277,632.724357398518
278,638.420175235997
279,638.600186090244
280,640.18164252204
281,640.830789737834
282,643.513416871749
283,643.826049079072
284,644.033858708225
285,646.368878264349
286,648.402859723798
287,648.805521888776
288,650.250734579685
289,654.651412892444
290,655.664702443588
291,655.750319320978
292,656.166831160825
293,659.744654528194
294,662.590244821528
295,664.634097380247
296,670.636601531234
297,671.001090759088
298,672.31279883239
299,672.582547190882
300,673.524890167288
301,674.968714871711
302,675.308058173631
303,675.423156853477
304,677.850887358907
305,680.287530983332
306,680.865335036694
307,682.160474561413
308,686.867839187681
309,687.232328415535
310,687.881128738824
311,688.076571142555
312,692.14555919704
313,694.991149490372
314,696.116106474802
315,702.546341512963
316,703.247654995877
317,703.463566071982
318,704.459746330775
319,704.79897348612
320,706.242914337115
321,706.450723966267
322,706.905165948033
323,709.760627340635
324,711.222387146819
325,713.266239705536
326,714.37690085665
327,718.167184579022
328,718.777579169407
329,719.558580237113
330,720.28203340767
331,724.361985492274
332,727.050962638289
333,727.453624803267
334,733.518011722877
335,734.028350607519
336,734.730103057773
337,735.864470740826
338,735.941755425331
339,736.513271064115
340,736.708713467847
341,737.84002211152
342,738.360463947996
343,741.492743873818
344,741.97705363587
345,745.482666000772
346,746.777805525492
347,748.437541306021
348,750.259588263966
349,750.493436400599
350,752.744508720562
351,756.271725474003
352,757.321319365287
353,759.854529472111
354,763.009043181937
355,764.963206771004
356,766.004302523178
357,766.21211215233
358,767.851495407058
359,768.080897036061
360,768.11037883852
361,768.190722562402
362,770.576890243232
363,770.983775332881
364,774.377958304712
365,777.3924059825
366,777.928572765082
367,779.240280838386
368,780.763793127597
369,781.194444427452
370,785.145413389405
371,786.812350824351
372,787.75373456856
373,791.608879789299
374,792.070955767347
375,794.604139130539
376,795.233563498002
377,797.146968315817
378,797.601410297582
379,798.121852134058
380,799.12557872589
381,799.583611940243
382,799.99063701779
383,800.067921702296
384,802.977794912076
385,806.528409372445
386,806.840433617609
387,808.874415077057
388,810.254824586661
389,811.46480115445
390,811.641185507231
391,815.412187431713
392,817.361839684641
393,818.688590732046
394,819.209032568522
395,822.204291909761
396,823.980695749074
397,824.724594957066
398,826.201246904943
399,827.183764719465
400,829.056708297545
401,829.395935452889
402,830.338278429295
403,831.472646112348
404,832.468826371138
405,834.128562151667
406,835.44027022497
407,838.854661194022
408,839.241338286453
409,839.809271240544
410,840.955832613513
411,843.012340210936
412,843.857611802466
413,845.704804686346
414,848.700064027586
415,848.958947459044
416,849.271579666369
417,853.324431564428
418,853.679536837291
419,853.801399684166
420,855.462704843632
421,858.88696691195
422,860.538717392101
423,860.624334269491
424,861.273134592781
425,862.407502275835
426,862.739183098138
427,864.931301684033
428,866.454813973245
429,867.841174893814
430,869.50811232876
431,869.555669220875
432,870.079627967543
433,870.995688603642
434,871.457764581689
435,873.99094794488
