# Domain: rectangle [0, 6.28319] x [0, 3.14159] (finite differences, 5-point stencil)
# M = 49, grid spacing h = 0.125664, dofs = 1176
# Computation time: 0.052 s
n,lambda_n
1,1.24860250935666
2,1.9973694904763
3,3.24203064739956
4,4.22890689005379
5,4.97767387117196
6,4.97767387117239
7,6.22233502809658
8,7.19744937093165
9,7.95797825186949
10,9.14382972577796
11,9.8925967068964
12,9.89259670689644
13,10.177753751628
14,11.1372578638202
15,12.872901087593
16,12.8729010875937
17,13.0524793638289
18,15.0926765873515
19,15.9158597473765
20,16.0327837445257
21,16.6646267284943
22,16.6646267284952
23,17.7878239233171
24,17.9092878854196
25,19.6449311091914
26,19.6449311091926
27,20.7147833054803
28,20.9477065802496
29,21.8647066089511
30,23.695087686177
31,24.4381979959954
32,24.559853944915
33,24.5598539449151
34,25.1869649771139
35,25.1869649771151
36,26.4316261340381
37,27.7197366018489
38,28.1672693578114
39,28.1672693578116
40,28.6100105219009
41,30.0635220854864
42,30.3870448575696
43,31.3318839665153
44,33.0438264661828
45,33.0821921935355
46,33.0821921935356
47,34.5764421064565
48,35.3252090875747
49,35.3252090875761
50,35.3820405435004
51,36.242074850468
52,36.5698702444986
53,37.9587493019067
54,38.3055134682715
55,38.3055134682723
56,39.8542222151341
57,39.8542222151345
58,40.5252889680306
59,40.9512605086207
60,43.2204363039951
61,43.2204363039961
62,43.9043787921196
63,43.9315648893175
64,44.7307793235065
65,46.1707059128425
66,46.380318960929
67,46.9194728939608
68,46.9194728939622
69,48.1641340508861
70,48.3765604637542
71,48.8464877250414
72,49.8997772746585
73,49.8997772746585
74,49.9924663255946
75,49.9924663255951
76,52.1195527744174
77,53.2062924359304
78,53.2531175721254
79,54.0426229025802
80,54.8147001103818
81,54.8147001103825
82,55.6185177466406
83,56.1865968166275
84,57.974582767315
85,58.5148045742141
86,58.5148045742142
87,59.038140948851
88,59.7869079299698
89,59.7869079299704
90,61.0315690868929
91,61.1015196523513
92,61.5867301319806
93,61.5867301319817
94,62.7672123106653
95,62.7672123106667
96,63.3913616825859
97,64.14085599526
98,64.986987810425
99,65.6368867089662
100,66.6353486931219
101,67.6821351463904
102,67.6821351463908
103,67.8735496739507
104,68.653048684675
105,69.6156530738182
106,70.1090683806007
107,70.1090683806011
108,70.8420178033231
109,72.9758200773297
110,73.724587058448
111,73.7245870584486
112,74.2791001057201
113,74.4541651679894
114,74.4541651679905
115,74.5305759095417
116,74.9692482153719
117,74.9856254889723
118,76.3958879225702
119,76.7048914391454
120,76.7048914391464
121,78.5043217449746
122,78.9246669389042
123,80.2473124910611
124,80.2473124910615
125,81.0266450408883
126,81.302605931141
127,81.6198142748686
