# Domain: small_rectangle [0, 3.14159] x [0, 3.14159] (finite differences, 5-point stencil)
# M = 47, grid spacing h = 0.0654498, dofs = 253
# Computation time: 0.011 s
n,lambda_n
1,19.9031149848112
2,31.8176466004327
3,51.4485572078179
4,66.5454248681246
5,78.4599564837484
6,78.4599564837493
7,98.0908670911301
8,112.389671897643
9,125.102266367064
10,140.742624996048
11,152.657156611669
12,152.657156611675
13,159.031981780958
14,172.288067219055
15,198.573422798128
16,199.299466494987
17,199.299466494988
18,233.229181908882
19,237.438298796538
20,245.215732681444
21,249.352830412164
22,249.352830412164
23,268.983741019546
24,273.496666622914
25,295.995140295478
26,295.995140295478
27,304.12652971079
28,319.412932809369
29,329.924855709371
30,350.042795897244
31,350.768839594104
32,361.957327512868
33,361.957327512869
34,370.192340423402
35,370.192340423402
36,381.588238120253
37,408.599637396183
38,408.599637396184
39,416.108606609858
40,421.855722834283
41,424.966039722029
42,442.529352810079
43,466.888014223892
44,468.498032717598
45,470.882305908484
46,482.796837524107
47,482.796837524109
48,482.79683752411
49,482.79683752411
50,502.427748131492
51,521.66171352252
52,528.713103710564
53,529.439147407424
54,529.439147407424
55,542.695232845523
56,543.737952213935
57,563.368862821319
58,579.492511324599
59,579.492511324599
60,590.38026209725
61,591.721815919724
62,603.636347535348
63,603.636347535348
64,603.636347535351
65,603.636347535351
66,623.267258142732
67,634.266210623226
68,639.390906646013
69,649.552613721804
70,650.278657418662
71,650.278657418664
72,661.467145337428
73,664.577462225175
74,684.208372832558
75,692.097008425305
76,700.332021335838
77,700.332021335839
78,704.32631302043
79,708.109455220744
80,716.240844636055
81,716.240844636056
82,724.475857546588
83,724.475857546589
84,735.871755243438
85,751.995403746719
86,755.105720634465
87,761.273136025664
88,762.88315451937
89,762.88315451937
90,767.02025225009
91,770.392123733044
92,782.30665534867
93,796.812869933265
94,801.021986820921
95,812.936518436545
96,812.936518436545
97,812.936518436546
98,812.936518436546
99,813.662562133404
100,821.171531347078
101,821.171531347079
102,832.567429043928
103,837.080354647295
104,837.080354647295
105,853.204003150576
106,859.578828319859
107,859.57882831986
108,872.834913757959
109,873.877633126371
110,875.219186948846
111,875.945230645705
112,879.002329149159
113,882.996620833751
114,887.13371856447
115,887.133718564472
116,887.85976226133
117,893.508543733754
118,899.846313033891
119,906.764629171853
120,914.145117840402
121,921.86149683216
122,933.776028447783
123,933.776028447784
124,933.776028447784
125,933.776028447785
126,933.776028447785
127,933.776028447785
128,933.776028447785
129,933.776028447786
130,933.776028447786
131,933.776028447786
132,933.776028447787
133,945.69056006341
134,953.406939055168
135,960.787427723716
136,967.70574386168
137,974.043513161816
138,979.69229463424
139,980.418338331098
140,980.4183383311
141,984.555436061819
142,988.549727746411
143,991.606826249865
144,992.332869946724
145,993.674423769199
146,994.717143137611
147,1007.97322857571
148,1007.97322857571
149,1014.34805374499
150,1030.47170224827
151,1030.47170224827
152,1034.98462785164
153,1046.38052554849
154,1046.38052554849
155,1053.88949476216
156,1054.61553845902
157,1054.61553845902
158,1054.61553845903
159,1054.61553845903
160,1066.53007007465
161,1070.73918696231
162,1085.2454015469
163,1097.15993316253
164,1100.53180464548
165,1104.6689023762
166,1104.6689023762
167,1106.2789208699
168,1112.4463362611
169,1115.55665314885
170,1131.68030165213
171,1143.07619934898
172,1143.07619934898
173,1151.31121225951
174,1151.31121225951
175,1159.44260167483
176,1163.22574387514
177,1167.22003555973
178,1167.22003555973
179,1175.45504847027
180,1183.34368406301
181,1202.97459467039
182,1206.08491155814
183,1217.27339947691
184,1217.27339947691
185,1217.99944317377
186,1228.16115024956
187,1233.28584627235
188,1244.28479875284
189,1263.91570936022
190,1263.91570936022
191,1263.91570936022
192,1263.91570936022
193,1275.83024097585
194,1277.17179479832
195,1288.05954557097
196,1288.05954557097
197,1304.18319407425
198,1323.81410468163
199,1324.85682405005
200,1338.11290948815
201,1338.11290948815
202,1338.83895318501
203,1345.89034337305
204,1365.12430876408
205,1384.75521937146
206,1384.75521937146
207,1384.75521937146
208,1384.75521937146
209,1396.66975098709
210,1399.05402417797
211,1400.66404267168
212,1425.02270408549
213,1442.58601717354
214,1445.69633406129
215,1451.44345028571
216,1458.95241949939
217,1458.95241949939
218,1485.96381877532
219,1497.35971647217
220,1497.35971647217
221,1505.5947293827
222,1505.5947293827
223,1516.78321730147
224,1517.50926099833
225,1537.6272011862
226,1548.1391240862
227,1563.42552718478
228,1571.55691660009
229,1571.55691660009
230,1594.05539027266
231,1598.56831587602
232,1618.19922648341
233,1618.19922648341
234,1622.33632421413
235,1630.11375809903
236,1634.32287498669
237,1668.25259040058
238,1668.25259040058
239,1668.97863409744
240,1695.26398967651
241,1708.52007511461
242,1714.8949002839
243,1714.8949002839
244,1726.80943189952
245,1742.44979052851
246,1755.16238499792
247,1769.46118980444
248,1789.09210041182
249,1789.09210041182
250,1801.00663202745
251,1816.10349968775
252,1835.73441029513
253,1847.64894191076
