# Domain: square [0, 3.14159] x [0, 3.14159] (finite differences, 5-point stencil)
# M = 50, grid spacing h = 0.0615999, dofs = 2500
# Computation time: 1.147 s
n,lambda_n
1,1.99936765627501
2,4.99462699751561
3,4.99462699751609
4,7.98988633875211
5,9.97409980721789
6,9.97409980722596
7,12.9693591484567
8,12.9693591484613
9,16.9188972394216
10,16.9188972394243
11,17.9488319581633
12,19.9141565806615
13,19.9141565806639
14,24.8936293903644
15,24.8936293903688
16,25.8026752986906
17,25.8026752986929
18,28.7979346399248
19,28.7979346399301
20,31.8384268225684
21,33.7774074496306
22,33.7774074496323
23,36.5917347719177
24,36.5917347719212
25,39.5869941131555
26,39.5869941131573
27,40.7222048818338
28,40.722204881836
29,44.5664669228637
30,44.5664669228666
31,49.2451490609963
32,49.2451490610006
33,49.6059829411059
34,51.5112643550641
35,51.5112643550663
36,52.240408402236
37,52.2404084022391
38,57.2198812119397
39,57.2198812119434
40,60.395042414334
41,60.395042414335
42,63.7149194314016
43,63.714919431404
44,64.1646786441433
45,64.1646786441435
46,66.7101787726431
47,66.7101787726433
48,71.1841018875608
49,71.6896515823426
50,71.6896515823439
51,73.0484567034095
52,73.0484567034133
53,78.6344490145468
54,78.6344490145498
55,79.946157087852
56,79.9461570878562
57,82.9414164290916
58,82.9414164290917
59,83.8375161766409
60,83.8375161766412
61,87.5182270738149
62,87.5182270738165
63,87.920889238795
64,87.9208892387962
65,94.8656866709946
66,94.8656866709992
67,96.4909304657192
68,97.8772913862876
69,97.8772913862929
70,98.3072865470477
71,98.3072865470481
72,100.87255072753
73,100.872550727531
74,103.749464730264
75,103.749464730265
76,105.852023537232
77,105.852023537232
78,110.960700836126
79,110.960700836127
80,112.796820969434
81,112.796820969435
82,114.538524203493
83,114.538524203495
84,117.440303392445
85,117.440303392448
86,120.435562733686
87,120.435562733686
88,121.6805990287
89,121.680599028703
90,125.415035543387
91,125.41503554339
92,125.430471206533
93,127.191938492574
94,127.191938492576
95,132.35983297559
96,132.35983297559
97,132.469658501931
98,132.469658501931
99,138.560983900945
100,138.560983900945
101,141.243611034858
102,141.243611034861
103,141.556243242181
104,141.556243242185
105,141.661708862978
106,141.66170886298
107,145.123072791011
108,145.123072791012
109,146.535716051885
110,146.535716051889
111,152.03267050809
112,152.03267050809
113,153.480513484089
114,153.480513484089
115,157.892946519425
116,159.592843161417
117,159.592843161417
118,161.159214936233
119,161.159214936234
120,162.364291543356
121,162.364291543357
122,164.154474277471
123,164.154474277473
124,164.686084797168
125,164.686084797168
126,169.133947087174
127,169.133947087174
128,173.153351016585
129,173.153351016587
130,175.824080817863
131,175.824080817866
132,176.078744519379
133,176.07874451938
134,179.155855167573
135,179.155855167574
136,184.962522578643
137,184.962522578644
138,185.149273667518
139,185.149273667518
140,185.80676530566
141,185.806765305664
142,188.144533008757
143,188.144533008757
144,193.124005818459
145,193.12400581846
146,193.755215116301
147,195.387092824019
148,195.387092824021
149,195.751582051871
150,195.751582051874
151,200.068803250662
152,200.068803250662
153,200.27653567607
154,200.276535676071
155,208.404996340952
156,208.404996340954
157,208.95258130993
158,208.95258130993
159,210.440157584812
160,210.440157584812
161,213.318227122458
162,213.318227122458
163,213.435416926049
164,213.435416926051
165,216.507773332519
166,216.507773332519
167,218.414889735753
168,218.414889735753
169,219.741640783159
170,219.74164078316
171,222.874766711362
172,222.874766711362
173,225.359687167959
174,225.35968716796
175,232.395055072239
176,232.395055072239
177,232.881239128616
178,234.243465227223
179,234.243465227225
180,234.438907630957
181,234.438907630958
182,236.935929702637
183,236.935929702637
184,239.106004367807
185,239.10600436781
186,239.931189043877
187,239.931189043877
188,244.910661853579
189,244.910661853581
190,245.032524700456
191,245.032524700458
192,246.864825442646
193,246.864825442647
194,251.855459285779
195,251.855459285779
196,254.001919637113
197,254.001919637113
198,257.037138666245
199,257.037138666246
200,257.685938989533
201,257.685938989535
202,260.739237345048
203,260.73923734505
204,263.096063099089
205,263.096063099093
206,264.536082481858
207,264.536082481859
208,267.531341823096
209,267.531341823097
210,271.52829681828
211,271.52829681828
212,272.155709359939
213,272.15570935994
214,272.510814632801
215,272.510814632803
216,275.122600145609
217,276.600150672401
218,276.600150672404
219,279.455612065004
220,279.455612065005
221,281.027197397529
222,281.027197397531
223,284.181711107356
224,284.181711107358
225,288.339390124272
226,288.339390124273
227,288.386947016387
228,288.386947016387
229,293.135919089218
230,293.135919089222
231,296.131178430459
232,296.13117843046
233,297.720831180899
