# Domain: H (FEM, eig)
# Hmax = 0.08, dofs = 4843, mesh nodes = 5255
# Computation time: 10.874 s
n,lambda_n
1,7.74679751377224
2,8.564578002696
3,13.9348402375437
4,13.9387413330104
5,14.3060653971359
6,17.7091050060675
7,19.7394558008089
8,24.7987940835799
9,26.3857732381039
10,26.4373172254529
11,33.0202293305462
12,37.1578410903975
13,37.2207069955079
14,39.1395723370865
15,40.6441147113976
16,42.2504047654628
17,45.2823640384527
18,46.3011772527882
19,47.4778103748965
20,49.3517787921687
21,49.3519357798328
22,51.9914642840268
23,54.9041152716137
24,58.7587974036073
25,62.6798063233026
26,62.8029896636947
27,63.1366779834826
28,65.4830306714153
29,67.4808959816058
30,72.067442205538
31,76.9569959562296
32,78.9723738992665
33,79.8442429953205
34,79.9311386115622
35,85.164632314206
36,85.915288255646
37,87.8079503299504
38,91.1596802697163
39,92.1531595382988
40,95.4322002359274
41,95.6567398143281
42,95.7919648812748
43,97.9185486550589
44,98.7244006994235
45,98.7276465829137
46,101.024208093086
47,105.95798940428
48,107.472882487957
49,108.171839109809
50,111.720093499939
51,112.527768744628
52,113.176879898451
53,118.852993249287
54,119.162504837628
55,121.138005990043
56,121.405044295236
57,122.632814090767
58,128.370261556116
59,128.370475499493
60,133.653510246512
61,139.530629812201
62,139.603436655054
63,139.608424062939
64,142.461012054753
65,142.530638416908
66,145.422427136854
67,146.075874983305
68,150.656065205354
69,154.984321600133
70,156.480626276075
71,156.649463702957
72,158.606663809053
73,164.374677399903
74,164.509377424948
75,164.765620262555
76,165.799332250812
77,166.907181208322
78,167.917082562375
79,167.938110051008
80,169.068104607997
81,172.040072704901
82,173.145377392103
83,174.572851524488
84,177.825770454079
85,180.702532436434
86,181.30279256856
87,181.9760099243
88,185.145640115559
89,190.716388985532
90,192.737922387261
91,194.942418264596
92,195.316858926417
93,195.343003183233
94,197.621012744993
95,197.630085527822
96,197.928124971297
97,198.299314011832
98,205.632218198498
99,211.922711397295
100,213.356619801126
101,214.052305332204
102,217.017285965864
103,221.666966565288
104,222.900275034761
105,223.914344697278
106,223.922941524682
107,224.807799156399
108,224.993156380418
109,225.300801319582
110,232.910951895707
111,234.664057890129
112,234.953180928637
113,244.494252869399
114,247.194018546329
115,247.195351090762
116,247.320764025294
117,251.666690840783
118,251.784898773516
119,252.750593705608
120,252.860382318655
121,254.321072389515
122,255.415678730633
123,256.233605672775
124,257.071113401946
125,257.151544034627
126,257.929170713318
127,260.899730992915
128,261.204438358344
129,263.39272963449
130,267.431468099342
131,268.607905594529
132,269.844898323112
133,277.016613803208
134,277.88258744151
135,277.995239318833
136,278.143713108504
137,283.457647185717
138,286.319390732597
139,286.891126042658
140,286.93235870444
141,290.18475099318
142,290.478721218387
143,290.540280868525
144,290.959076842884
145,295.405491478181
146,295.570910950658
147,302.797097561073
148,303.023971617368
149,306.296302630854
150,306.522113035865
151,307.651824597933
152,315.290979336283
153,316.762834600347
154,319.404992447012
155,319.545719035527
156,320.484808385813
157,323.902825258637
158,324.142259980369
159,326.365579480502
160,327.718909360875
161,328.311075483969
162,332.866718826751
163,336.666346784744
164,336.700562915483
165,339.701278094448
166,342.762877816576
167,347.160172014852
168,349.193991040937
169,350.786078217584
170,353.716147689173
171,355.221914500315
172,356.679950440079
173,357.301223953432
174,360.31362115298
175,362.140855978994
176,362.971106893897
177,364.688083431284
178,365.015602006061
179,366.186680156696
180,366.461994361275
181,366.691467050174
182,366.713946251297
183,370.066555113645
184,371.860813923278
185,374.234048625168
186,375.500917349727
187,375.642632030523
188,375.675558822556
189,383.029354080846
190,384.126055183921
191,386.746125877633
192,389.289229039017
193,391.156814588858
194,392.435592848058
195,392.938840345033
196,396.463189020558
197,396.63768498671
198,400.665889060287
199,406.260944724432
200,406.267441000758
201,406.570741310083
202,406.579048094814
203,407.13047331924
204,407.497398716973
205,407.559788944189
206,408.115550081151
207,414.563548319238
208,417.545656033634
209,418.673602633987
210,418.786914445614
211,424.791094092901
212,430.311170229391
213,432.138111737751
214,435.486813028538
215,435.851281437058
216,435.865140448406
217,437.930121401887
218,441.757337764668
219,444.483001527014
220,445.100220075683
221,446.581243024725
222,446.675278673085
223,449.356173504847
224,450.513489120238
225,450.668581826109
226,454.485299690884
227,458.36481401538
228,463.469952539613
229,465.23326253416
230,466.980534681799
231,467.588223314825
232,473.617792221613
233,474.325738082981
234,477.55358590604
235,479.512350997879
236,479.529197626117
237,482.817919818814
238,483.600980228231
239,484.006239513014
240,488.8339436873
241,489.890188740403
242,490.845424770414
243,493.322477579402
244,494.093778516255
245,495.514714971328
246,495.952507459105
247,496.559400543903
248,496.908278712252
249,497.167270760944
250,497.41447473389
251,498.149517985806
252,499.354314604329
253,503.433102854793
254,509.658902537651
255,511.378526922584
256,515.950450470514
257,516.63015902011
258,516.964290652772
259,517.147286333933
260,518.901554690099
261,522.012753911814
262,522.915907476507
263,526.791701854712
264,527.252366648265
265,527.875757478925
266,528.826845678415
267,529.317937447519
268,530.062811237805
269,533.743975967187
270,538.47536406553
271,538.776348321004
272,542.632131166651
273,544.075747509839
274,544.161283110607
275,546.29987215109
276,546.379211617124
277,547.138882803366
278,548.823839145931
279,557.216473044241
280,560.952705405276
281,562.033145968944
282,562.365963089033
283,565.029612801854
284,566.235454855775
285,568.873343500474
286,572.43899419307
287,573.647222639969
288,574.211663583634
289,574.470969732965
290,577.4174755034
291,577.771699709647
292,580.717572877796
293,581.820345869904
294,588.363185297224
295,591.698708016431
296,593.287345767851
297,594.515329890796
298,594.784352869461
299,597.708973673284
300,599.864868834352
301,602.304109034756
302,602.862663667864
303,603.853282083776
304,608.072791057562
305,608.112141068975
306,614.969004980136
307,618.627272200155
308,620.827844487407
309,621.623840972217
310,621.867143124537
311,622.502965354101
312,625.661665912155
313,628.058423281802
314,629.240620146105
315,629.888241485484
316,632.905875720106
317,636.764247555076
318,644.309201177712
319,644.630554793476
320,644.927216819091
321,645.751336511779
322,646.734636397768
323,647.436360496626
324,648.028004929686
325,648.586509888228
326,648.799940804075
327,648.840474469935
328,649.307570944974
329,649.918529794416
330,652.304130937463
331,656.367280068298
332,656.721534519752
333,662.353092043227
334,664.671675366255
335,666.646323006064
336,667.11227139095
337,670.054977764616
338,670.236458045514
339,674.0278341093
340,674.599133815281
341,676.535966266344
342,677.06304562236
343,678.691570151585
344,679.111617328988
345,679.631985036534
346,679.661737454756
347,687.150453952319
348,690.107023632523
349,690.994446552444
350,691.380953654177
351,696.067312191938
352,696.84662663585
353,697.304237737238
354,698.188178733976
355,702.753100661693
356,702.767652473253
357,703.021762842315
358,707.718031864388
359,709.092500917835
360,710.38550317282
361,715.118523792415
362,716.580598387009
363,718.936958292764
364,719.063351024789
365,720.398203923069
366,723.563259000423
367,729.861681862284
368,730.649537877649
369,732.8376041945
370,733.100784199906
371,733.166360868443
372,736.869878300818
373,740.62246421261
374,741.052092155841
375,745.104111683259
376,745.298223751814
377,745.563918547611
378,746.436759937497
379,751.44294341568
380,755.068983164245
381,756.904743481404
382,759.80376013008
