# Domain: H_shaped (FEM, solvepdeeig)
# Hmax = 0.05, dofs = 12549, mesh nodes = 13189
# Computation time: 1.290 s
n,lambda_n
1,7.74032429503406
2,8.55847860480505
3,13.9313103811589
4,13.9352407156406
5,14.3055757874723
6,17.7079143892964
7,19.7392457930394
8,24.7939200978318
9,26.3785729718472
10,26.4304089172085
11,33.0126122314962
12,37.1515448472332
13,37.2126764024206
14,39.1167899593544
15,40.6188778462837
16,42.2436834977504
17,45.278582082705
18,46.2973195370923
19,47.47288114459
20,49.3485841744999
21,49.3486191550279
22,51.9790573618286
23,54.8900679150139
24,58.7518117363585
25,62.6634800559611
26,62.7938771619055
27,63.1230409596384
28,65.4702295200459
29,67.4555050312423
30,72.0510338852136
31,76.9232212205653
32,78.9591563679592
33,79.8293549811937
34,79.9158928985155
35,85.1282556461243
36,85.8568204998011
37,87.7572418308597
38,91.1132515770568
39,92.1292442911458
40,95.4059302079466
41,95.6278154826736
42,95.7663665688449
43,97.8941777494836
44,98.7005921679241
45,98.7007309231436
46,100.989940511207
47,105.90848801671
48,107.413560523213
49,108.119205863073
50,111.681958054509
51,112.464512655404
52,113.130256763643
53,118.809087867352
54,119.118335781034
55,121.088596492835
56,121.348189359702
57,122.576010231917
58,128.314570819995
59,128.315148225378
60,133.570925370277
61,139.448560073756
62,139.510595312961
63,139.533746999562
64,142.388760630334
65,142.454235968909
66,145.301632691733
67,145.941730569686
68,150.56046501515
69,154.88423820954
70,156.312601428669
71,156.496391629048
72,158.472607378915
73,164.250786469467
74,164.369669214535
75,164.637400558365
76,165.674749669192
77,166.796933774632
78,167.805751059377
79,167.80592126013
80,168.925910967826
81,171.898341247076
82,172.994392702832
83,174.412086443126
84,177.679272922143
85,180.516970731281
86,181.130242038322
87,181.786977092226
88,184.961029756072
89,190.521529728035
90,192.552071462377
91,194.772423583168
92,195.103458929061
93,195.164216425835
94,197.426918987479
95,197.428950250627
96,197.719517523583
97,198.08384613743
