# Domain: L_shaped (FEM, eig)
# Hmax = 0.08, dofs = 2051, mesh nodes = 2255
# Computation time: 0.618 s
n,lambda_n
1,9.6499878418869
2,15.1975443438268
3,19.7394566963296
4,29.5224049579507
5,31.9385911837141
6,41.495604535525
7,44.9524481252321
8,49.3519334591349
9,49.351971131415
10,56.7362812758738
11,65.38666945845
12,71.0940812529858
13,71.5846406322814
14,78.972645147655
15,89.3981681088697
16,92.3330615793641
17,97.412290696072
18,98.727044782167
19,98.727503947706
20,101.67388196523
21,112.422243556231
22,115.5729763331
23,128.371382852628
24,128.371925780575
25,130.189101841697
26,130.347355845458
27,142.592920744654
28,151.229455362531
29,154.714902438561
30,162.333293366973
31,164.862377354911
32,164.997931366241
33,167.932093988336
34,167.932197990656
35,177.826823648201
36,179.927345180599
37,184.260588138648
38,197.62679580383
39,197.633471534931
40,201.741025087617
41,207.697779766227
42,209.054897537567
43,209.781858001303
44,223.560415623409
45,223.989223253487
46,236.644512631729
47,238.829183754126
48,247.200740185294
49,247.2058173409
50,251.330632830392
51,253.390488335227
52,257.13099590452
53,257.138459082912
54,266.393580804082
55,270.033079993532
56,270.840066065383
57,282.032893958813
58,286.930868465831
59,286.937032447686
60,289.862725235856
61,294.374424816407
62,307.642990962497
63,307.807755951772
64,311.267780097007
65,314.747683256664
66,316.781688015625
67,336.673638612385
68,336.717730115607
69,336.731284455333
70,336.946238187054
71,347.376597381676
72,352.828855016051
73,361.172948546739
74,361.934199745482
75,366.63789831991
76,366.649654706013
77,371.078168988982
78,373.804157214958
79,377.765099464698
80,384.559114897406
81,391.605164110805
82,392.296649186561
83,396.580096880708
84,396.619214169623
85,406.578901900294
86,406.606191592493
87,417.836914442387
88,421.84482923672
89,429.007963592164
90,429.375179246144
91,435.299881964209
92,446.336655985688
93,446.651582340336
94,446.668861184096
95,456.815474860854
96,456.874111571816
97,457.074756922775
98,467.368338996125
99,481.948706448056
100,482.920420353709
101,489.269724325897
102,493.699422786859
103,496.926966784821
104,496.995196663758
105,497.01786333367
106,503.015661467487
107,505.945401375716
108,516.461500604109
109,516.96770726627
110,517.209655097861
111,517.424003966423
112,527.146510802137
113,527.159753337769
114,534.706197698089
115,541.163081476299
116,549.632533652995
117,550.904243251533
118,564.340590127754
119,568.880208200768
120,570.077276661087
121,570.55081897188
122,577.62461000117
123,577.796797498982
124,581.271192012567
125,583.594055828473
126,597.419932258744
127,597.758114421856
128,608.112226130201
129,608.235084286113
130,611.727860562006
131,615.997542654872
132,637.58639272775
133,641.354963309177
134,644.184201998
135,648.784228667919
136,648.860500757235
137,648.939429004186
138,649.035266327504
139,649.396093635065
140,650.208076894026
141,656.410080967206
142,662.124819835081
143,668.698494058937
144,671.767868836348
145,679.417144704076
146,679.471545336922
147,682.94507511576
148,694.685906409022
149,695.593154674912
150,700.946729227026
151,708.267516141868
152,720.573123373858
153,724.938847173044
154,725.680320439663
155,730.494444300537
156,730.524523156921
157,732.724998932754
158,732.911038816981
159,740.590130987184
160,741.380283876829
161,758.48951336693
162,759.16968098607
163,765.060421573293
164,765.293276570927
165,771.086201347215
166,776.17958199333
167,793.954990493884
168,802.410345112501
169,802.909679334701
170,803.599735697417
171,808.773230178652
172,810.995031909095
173,815.475017335061
174,820.905563941516
175,822.277735055536
176,822.419529533432
177,823.757210584176
178,824.045098447558
179,839.662310528449
180,841.516757632418
181,848.722104998752
182,853.168145165509
183,854.51251403369
184,854.679263917616
185,854.72784279281
186,854.914011525428
187,872.582138413108
188,877.229947981352
189,892.647588728815
190,893.138188356331
191,896.212309054596
192,896.49177807112
193,899.396314971375
194,906.482286568509
195,906.703394699718
196,910.524200817886
197,918.89332756994
198,919.10745897587
199,923.619744968298
200,939.096044718432
201,939.903088247042
202,943.977452805212
203,950.270969282745
204,950.31705303506
205,958.577944454017
206,960.396200494863
207,979.576412822421
208,979.916318095003
209,983.435742912826
210,985.423195343292
211,991.291041088476
212,997.316766034211
213,997.948942964426
214,1011.00273177976
215,1013.6216637047
216,1018.11118452865
217,1019.54627588836
218,1022.47414542521
219,1022.90711063698
220,1025.03785298906
221,1030.82821794447
222,1036.17010924749
223,1040.0774803793
224,1046.44590586434
225,1053.52757120917
226,1053.88082414835
227,1054.69056823449
228,1066.46723370998
229,1067.70841517933
230,1075.03715032209
231,1076.50860374092
232,1081.67612469028
233,1085.55833912268
234,1089.40411545645
235,1093.82896282389
236,1102.04773336279
237,1107.1407336491
238,1107.76226396315
239,1107.90559171107
240,1129.69674920955
241,1129.86458829863
242,1133.751417561
243,1135.66691202966
244,1140.0704874031
245,1145.69856066274
246,1150.24516692684
247,1150.69666849602
248,1162.40303688821
249,1163.80436175726
250,1175.56712179619
251,1177.27360784465
252,1183.1605839815
253,1184.15110996378
254,1192.80264463911
255,1193.65130834091
256,1202.82141952399
257,1209.78648635984
258,1210.43882818509
259,1214.13142504606
260,1223.2631772623
261,1235.3267200103
262,1235.68588078572
263,1243.68547502935
264,1244.51668389709
265,1247.97764432644
266,1249.58065640586
267,1255.16273147787
268,1261.37679557666
269,1263.5351266421
270,1270.2370816875
271,1270.46513035322
272,1278.04900380775
273,1278.59527509042
274,1280.70514696351
275,1280.99788934234
276,1289.32924740269
277,1290.15491728141
278,1292.00189734739
279,1298.45070919636
280,1313.17196185871
281,1314.30475458829
282,1316.33688246116
283,1328.74569514176
284,1335.60472642604
285,1335.90978545303
286,1337.08283955648
287,1340.15229825533
288,1342.40723257355
289,1364.63135400188
290,1367.64571972043
291,1369.28334121059
292,1371.67082387835
293,1377.45083491504
294,1385.07292532363
295,1392.5045728829
296,1395.81305293649
297,1396.49111156765
298,1402.97270886223
299,1403.56508436148
300,1404.9152321805
301,1411.25911809619
302,1412.1146084937
303,1412.43097867467
304,1426.03785749321
305,1439.37113419022
306,1446.45093176601
307,1449.17872369571
308,1449.95943023211
309,1460.21402715787
310,1462.92010857286
311,1478.04576933539
312,1481.35569899038
313,1490.49918143427
314,1494.02780247583
315,1497.03514119203
316,1498.54217912303
317,1501.44877601412
318,1503.73461008497
319,1508.79823660461
320,1509.66877721509
321,1513.7025236216
322,1515.41400265741
323,1517.97299910304
324,1519.86075177145
