# Domain: L_shaped (FEM, solvepdeeig)
# Hmax = 0.05, dofs = 5333, mesh nodes = 5653
# Computation time: 0.485 s
n,lambda_n
1,9.64532392455078
2,15.1973224349183
3,19.7392460054536
4,29.5216297775
5,31.9264342850428
6,41.4851237833113
7,44.9492182310729
8,49.3486021877348
9,49.3486131314276
10,56.7219126946057
11,65.3782189826703
12,71.0729993079977
13,71.5744978739493
14,78.9591946509869
15,89.3457179927085
16,92.3109618370765
17,97.3856450832903
18,98.7006794386765
19,98.7007710527942
20,101.629493544333
21,112.380368848175
22,115.528832382918
23,128.314927258325
24,128.315075766152
25,130.129770503473
26,130.278196795776
27,142.492848546753
28,151.137231544199
29,154.555473998139
30,162.217902703149
31,164.738528689333
32,164.875075814494
33,167.805883871018
34,167.806211504921
35,177.679618490083
36,179.755507935817
37,184.09236242075
38,197.428278482732
39,197.428791573587
