# Domain: ellipse_minus_quadrant (FEM, eig)
# Hmax = 0.1, dofs = 2143, mesh nodes = 2347
# Computation time: 0.616 s
n,lambda_n
1,5.87253980084183
2,11.534476226163
3,15.1422484959471
4,15.9242712054606
5,21.1218354906864
6,27.0820955928789
7,27.5078220825002
8,29.9258966282489
9,34.7149125070807
10,41.3338838701419
11,42.1961095699264
12,44.5192744322485
13,46.989296897488
14,50.4118732814697
15,52.3554446895358
16,57.7978465420751
17,61.4140707908575
18,63.8251241797648
19,66.0220130408305
20,67.8957415101668
21,73.685744830748
22,74.2770822933254
23,77.9295641944022
24,84.7824395773319
25,85.4046363054041
26,89.098436042211
27,90.886403321411
28,92.2228285007273
29,98.480815492244
30,100.368512855306
31,101.871549855006
32,104.754534221953
33,111.416901393018
34,112.291333294837
35,114.242990480481
36,115.285814040172
37,120.567272595029
38,122.044924672444
39,128.44200343676
40,128.772707489779
41,131.565616304248
42,137.368750638303
43,140.197968725661
44,143.512022306731
45,143.899436051516
46,143.988282669971
47,149.341823800371
48,154.28991466515
49,156.390094660408
50,160.137033037096
51,161.756828098707
52,166.156859718257
53,169.052797932921
54,172.390968060781
55,177.064835834501
56,178.712621635345
57,179.126670691914
58,179.559644361814
59,181.57228835568
60,187.803784297444
61,191.47969544596
62,191.853777835854
63,196.391916419557
64,199.582523577216
65,204.543997229374
66,205.413165877145
67,209.837989266935
68,215.038212297283
69,217.269252889193
70,218.54147644709
71,219.22579056219
72,221.183729270575
73,223.195674443025
74,225.935775181206
75,232.882020121462
76,233.976771961853
77,237.056220114063
78,242.56796456843
79,244.135319661342
80,247.537207924551
81,251.605110527407
82,256.621746673499
83,257.557104648977
84,260.996961663092
85,262.720437906678
86,262.867439012224
87,264.684994213238
88,264.994385648977
89,272.637790527456
90,273.962174844611
91,278.080709522691
92,282.097842317472
93,282.210296447803
94,284.850817326955
95,288.865816738657
96,293.972994902132
97,297.115598742747
98,302.1836737576
99,304.70330056763
100,305.172122430932
101,306.576714950593
102,310.454863056139
103,311.626642733792
104,313.520667826646
105,315.195610165669
106,324.226209534784
107,325.661466395314
108,327.105291392777
109,329.731559253289
110,330.302890014094
111,333.95053750141
112,339.326740995132
113,344.321548329672
114,346.211784505798
115,352.885808691325
116,353.868887227081
117,354.887549289041
118,356.539646573502
119,360.278047964795
120,362.044913405393
121,363.851460465287
122,368.216114994316
123,370.362115468884
124,372.91307252522
125,378.492477657696
126,380.106006624009
127,381.168527534293
128,385.050820605618
129,388.778076500382
130,390.100669747007
131,394.972251319773
132,398.079570142228
133,398.672962118621
134,406.481313569249
135,407.791710788645
136,408.89111623589
137,412.101267065187
138,413.151919768327
139,417.720279401063
140,418.615929357777
141,420.83038698796
142,423.229485248717
143,428.233076205249
144,433.986922227505
145,435.022576084434
146,437.115152741542
147,437.345635631487
148,446.777324586487
149,447.254710126963
150,450.165707292366
151,452.035159492804
152,456.631050964763
153,457.038877111895
154,465.011391303158
155,465.60034816207
156,467.960260021447
157,469.98665925228
158,474.685278411476
159,474.927011770202
160,475.724169547806
161,477.516984870501
162,483.801185698
163,487.167960987369
164,492.39488563381
165,496.928778763427
166,498.157879358564
167,498.30872818301
168,500.674761870064
169,504.850115210472
170,505.800191645809
171,514.556322575939
172,515.358997306734
173,519.456086785392
174,519.581641061845
175,527.460544050826
176,528.58279635793
177,528.827460590691
178,531.265370392972
179,534.337107670585
180,535.438490771685
181,536.603121381768
182,540.795719973841
183,541.631920069183
184,545.366781816198
185,549.42027157658
186,558.401178116004
187,559.64900067644
188,561.249551354803
189,563.639177593595
190,564.113727765473
191,565.889365112037
192,568.168859687618
193,576.804190296308
194,581.50940466835
195,585.45219819174
196,586.403796154789
197,588.008143606703
198,593.642157492431
199,596.713338630106
200,596.912246779873
201,599.947351773094
202,601.855098804511
203,603.610961940817
204,606.256467078461
205,609.385836152138
206,609.660716147373
207,612.018923337608
208,618.740345099326
209,620.842641963008
210,624.416573683977
211,633.074881799064
212,633.373336973119
213,634.557052636616
214,637.026554738265
215,638.228878857838
216,638.982250582231
217,653.008242392597
218,653.804330159235
219,654.80912868293
220,657.48338133429
221,661.044704119636
222,662.667039969347
223,668.003025131132
224,669.133154550594
225,670.716876973294
226,674.351794191118
227,676.327106425093
228,679.248483956524
229,682.453292193023
230,683.100055042514
231,688.231661368714
232,688.482585132311
233,688.772657488608
234,692.588930362038
235,699.446072991478
236,703.781916272908
237,706.916407848061
238,707.520490432238
239,712.745303622791
240,714.32061396419
241,715.255076532036
242,720.729750624247
243,723.787517537083
244,725.793563080267
245,733.187395388305
246,735.013258220479
247,741.317511847348
248,742.869001380315
249,744.340991224611
250,745.268659136101
251,749.708935707497
252,750.284940474663
253,753.819304682561
254,756.759612330971
255,759.735739781304
256,760.394265067797
257,764.595115156791
258,764.929640720517
259,770.877174423352
260,774.652281721942
261,777.877814501927
262,782.142907339478
263,785.741951136349
264,786.377168230388
265,792.393743494387
266,792.976810750697
267,795.342647053445
268,797.110467075753
269,799.51512998823
270,801.54385149763
271,813.381670678591
272,813.849642155011
273,817.77150174617
274,824.005423785722
275,825.366156579587
276,825.731370749393
277,827.163504152242
278,832.831758905157
279,835.097626469084
280,836.684767836918
281,837.946073064192
282,839.133431494231
283,841.450865793398
284,846.322738581419
285,851.850182208433
286,854.119800668525
287,855.801143578304
288,860.423643349544
289,865.094659950648
290,867.754604572124
291,869.637382540412
292,869.705127400263
293,873.006473608195
294,879.867897841991
295,883.740058228103
296,884.718978947173
297,885.745768510529
298,889.38519562307
299,890.467700962319
300,899.190025583943
301,903.77984383146
302,907.417465930287
303,912.104527903953
304,912.379818450133
305,913.637513050544
306,916.606697440046
307,917.296188404273
308,921.289704838819
309,921.901754204757
310,927.797002697387
311,928.03482912844
312,929.328189826466
313,931.936524198777
314,940.360171901019
315,945.773809839348
316,948.24771161897
317,949.032763107653
318,949.665029430515
319,954.266187060927
320,958.176999218537
321,958.557014477071
322,964.265740380894
323,967.135402786849
324,970.854872588959
325,978.921122817957
326,979.972774812806
327,981.862451984869
328,983.28696340861
329,988.491048716869
330,989.74434732849
331,991.277176402977
332,996.608692260977
333,1003.5838304974
334,1006.31706768866
335,1007.77348766227
336,1010.76336358083
337,1011.42939781142
338,1013.81217742331
339,1018.04993638283
340,1020.03351975857
341,1021.02956168609
342,1026.16169023846
343,1031.58305557739
344,1033.00471896081
345,1038.75125055559
346,1043.13797117401
347,1044.40871641328
348,1047.6599002815
349,1050.93679554311
350,1051.91164312133
351,1054.63281102737
352,1056.70757651656
353,1061.29693178773
354,1062.34969415214
355,1075.50972400198
356,1078.34436986041
357,1079.00826902799
358,1081.21434494627
359,1084.85153853417
360,1085.49033163186
361,1088.87324234186
362,1089.48482646993
363,1098.32589008677
364,1099.42295189217
365,1102.81703497346
366,1105.85774627379
367,1106.58213145732
368,1110.36101357966
369,1111.42740609598
370,1113.61597283895
371,1116.35448296878
372,1117.39092913459
373,1123.93902258095
374,1126.17127417298
375,1129.46198516269
376,1130.54370012528
377,1133.8260490349
378,1145.43956472638
379,1146.59114505944
380,1149.55983780933
381,1150.45593214909
382,1151.23891844511
383,1151.39903970035
384,1153.61572173514
385,1162.17955202596
386,1164.27793985575
387,1166.15941317569
388,1172.76789451316
389,1176.84217707234
390,1180.94236182944
391,1182.74218424884
392,1185.27777652943
393,1188.06723564376
394,1191.20859974573
395,1193.86502652035
396,1195.76403182625
397,1198.02072902608
398,1201.71097724147
399,1205.09432549358
400,1206.59206697024
401,1210.80984461075
402,1211.65352209073
403,1213.60179398205
404,1215.14770029687
405,1217.94249550651
406,1220.43401212588
407,1222.03428592662
408,1226.2032182799
409,1234.86939063689
410,1238.6415070215
411,1241.552442206
412,1242.4525366977
413,1248.20081632921
414,1250.61995291841
415,1252.37267172464
416,1253.61246768061
417,1254.1668126918
418,1254.81806995487
419,1256.85965391606
420,1261.49663453621
421,1266.549454078
422,1269.08110842915
423,1277.23858021481
424,1283.32067467034
425,1284.74760841952
426,1285.41529472561
427,1289.13260023272
428,1293.13787682553
429,1294.96100853496
430,1296.13075987859
431,1300.72226746813
432,1302.545581455
433,1306.2182087722
434,1309.86817387219
435,1315.03774435621
436,1315.43683795009
437,1316.88878419244
438,1317.8452010458
439,1323.13575006955
440,1324.93021116698
441,1327.02062230368
442,1331.47709673858
443,1334.50879863502
444,1343.35295067045
445,1344.45875851723
446,1346.86946020479
447,1349.67095284105
448,1350.62244063168
449,1356.07491882998
450,1358.94434415973
451,1361.64115133516
452,1364.68937837604
453,1369.73515146312
454,1375.41541236212
455,1377.29025334018
456,1381.07729358353
457,1385.70195292306
458,1388.81596517053
459,1390.0242329802
460,1395.48968200001
461,1402.05818763758
462,1405.80555470831
463,1407.7861248944
464,1412.2431727939
465,1414.50672670704
466,1417.56635737937
467,1421.91326924036
468,1424.41468326556
469,1426.12626996356
470,1428.50943124443
471,1432.05716593512
472,1437.5368051826
473,1441.92975993362
474,1442.91569984492
475,1447.41240630571
476,1451.81108095703
477,1456.50820560047
478,1458.95749243303
479,1465.84755835689
480,1467.08079174002
481,1470.60863992139
482,1471.61712264309
483,1481.83162982834
484,1482.84737736527
485,1483.86402222192
486,1491.12984313985
487,1492.79747499447
488,1493.34597466579
489,1498.36399643911
490,1503.95596703028
491,1507.78538723866
492,1511.57692421802
493,1517.10963194976
494,1522.08883991534
495,1523.24381914277
496,1530.47497692425
497,1531.39214766314
498,1540.03580001242
499,1541.45391402611
500,1545.47339577074
501,1551.817626059
502,1554.6750607686
503,1557.0950079117
504,1565.5434192457
505,1566.69240526794
506,1572.77628829716
507,1575.92191186568
508,1578.1155523492
509,1583.75466768712
510,1587.31271984512
511,1591.0832852301
512,1594.82403441055
513,1597.54597875192
514,1601.84190121774
515,1606.43038768674
516,1608.56677136916
517,1611.01377732581
518,1616.72896909104
519,1621.91700491807
520,1623.22135960952
521,1630.73791489583
522,1632.49213377651
523,1638.81320033067
524,1641.65585570838
525,1646.6679239619
526,1651.93383328673
527,1655.15201123597
528,1664.42848709134
529,1666.83711216372
530,1670.77132190192
531,1673.59071920692
532,1682.40530028679
533,1683.23823727299
534,1688.39325651434
535,1693.48051993457
536,1694.84245656756
537,1700.78194262766
538,1706.89260768512
539,1710.02931067598
540,1715.46708493733
541,1719.8779010034
542,1720.67361020669
543,1723.30400021993
544,1726.69056443912
545,1729.40078114696
546,1735.50474504802
547,1737.23092050167
548,1741.82081664494
549,1747.39222026056
550,1751.37858930031
551,1752.38551366521
552,1754.63781558286
553,1760.90795230893
554,1763.24549070867
555,1767.7066416073
556,1774.18106040641
557,1781.87023918013
558,1782.53077703773
559,1786.67518765156
560,1796.03438162695
561,1797.93197364296
562,1798.61432074715
563,1803.27876935602
564,1806.98962757807
565,1809.6658290747
566,1815.56206448024
567,1819.09505357197
568,1825.40480966886
569,1829.30519122454
570,1836.08601637812
571,1837.3531660996
572,1840.23748609409
573,1843.60407847035
574,1847.55389022112
575,1849.77053025159
576,1854.49402280434
577,1858.51241394339
578,1861.85395646408
579,1866.73597182459
580,1868.85831232674
581,1872.73110720795
582,1875.12746957141
583,1877.31880865626
584,1880.7580246293
585,1884.09327056213
586,1889.24632327777
587,1889.51934818401
588,1891.07071923088
589,1899.51764897463
590,1903.07904292223
591,1905.31987330636
592,1908.50293831369
593,1915.89460090946
594,1921.83262794266
595,1923.92139379756
596,1925.98805335566
597,1929.09292041741
598,1935.62746083045
599,1940.13208791526
600,1947.51613198026
601,1954.3437863194
602,1958.12835120065
603,1959.65097163182
604,1961.4255355903
605,1962.76302113859
606,1970.4632046464
607,1972.39812013639
608,1977.10370270961
609,1978.55762258029
610,1980.90100005556
611,1990.18775298393
612,1994.00903667439
613,2002.01600219061
614,2003.33531435193
615,2007.8431198078
616,2010.14461819652
617,2012.61851782301
618,2013.91687806735
619,2020.84478915607
620,2026.70214713398
621,2028.37743008892
622,2032.60894273385
623,2036.84928014958
624,2039.57478113763
625,2045.41677357818
626,2048.96318104447
627,2049.49557297509
628,2058.70630011675
629,2059.93812628981
630,2060.60178482137
631,2062.52827427171
632,2065.69751123007
633,2078.42923155871
634,2081.12994575606
635,2084.44966954401
636,2089.21773629873
637,2091.81666982878
638,2092.98119589963
639,2098.02582996267
640,2099.62729443187
641,2105.36876386682
642,2111.02215686711
643,2117.21273779968
644,2120.04471817045
645,2126.17570347664
646,2127.38379216451
647,2132.08748136168
648,2133.4086662901
649,2136.42157184073
650,2138.11138755664
651,2143.49179921479
652,2151.21141222239
653,2157.00397287162
654,2163.16430340536
655,2165.77173544263
656,2169.81923304653
657,2174.15314527116
658,2177.22651578822
659,2181.61892560866
660,2184.87703328048
661,2189.73470912151
662,2193.70090452492
663,2196.5210159909
664,2201.78884478457
665,2204.86852038362
666,2206.38188503563
667,2210.08752306906
668,2213.52745321444
669,2217.7647494082
670,2221.02546091102
671,2221.90056797804
672,2224.83817139828
673,2233.55108887454
674,2234.07950878211
675,2242.55563324965
676,2243.43339896885
677,2249.99119107833
678,2252.91435481702
679,2255.17162388955
680,2260.71537328562
681,2263.79423965906
682,2267.15541678643
683,2269.91375243478
684,2277.54961114174
685,2283.39234791243
686,2289.85086820587
687,2293.339805378
688,2296.34545291494
689,2300.29329973337
690,2305.95410863957
691,2308.9983523909
692,2310.24302008734
693,2315.34985498422
694,2319.98377920197
695,2322.73749007019
696,2328.77006638478
697,2333.51024680372
698,2336.92472481112
699,2343.34576786071
700,2349.42674056442
701,2351.72889258452
702,2355.0310398966
703,2357.14544647842
704,2358.11296996105
705,2366.93774206829
706,2368.3471466601
707,2372.93834735455
708,2379.89420384009
709,2382.86440247815
710,2385.78572797708
711,2388.94906964651
712,2390.87983575175
713,2394.63641651591
714,2396.62239802013
715,2403.24717322964
716,2405.22625146349
717,2406.45501575438
718,2409.77123571372
719,2416.07114099464
720,2419.81065378133
721,2428.22339579472
722,2433.45334086164
723,2438.05244980051
724,2440.70112143248
725,2447.59184328688
726,2449.67089628802
727,2453.97227989327
728,2458.86448724132
729,2463.34731676421
730,2469.663922512
731,2473.37560397893
732,2477.00980967915
733,2480.02262039838
734,2484.01648856811
735,2489.66342906974
736,2498.47394749795
737,2502.23456065319
738,2507.12088537428
739,2509.70880347645
740,2510.69764292864
741,2514.99019497217
742,2520.15355501344
743,2524.98898392626
744,2529.71647584451
745,2532.18592989135
746,2535.76377509713
747,2542.23786881732
748,2546.45617054727
749,2552.9409281588
750,2557.46334270901
751,2559.47831027625
752,2562.81304150726
753,2570.49698880678
754,2573.7929292777
755,2575.19297865513
756,2578.12409908079
757,2581.28709062935
758,2582.38139193316
759,2585.28025396484
760,2591.36850316099
761,2598.11000142796
762,2600.03251407228
763,2602.61260935836
764,2608.31499834145
765,2611.93550578002
766,2614.95144956071
767,2621.85359431099
768,2622.70120095446
