# Domain: ellipse_minus_quadrant (FEM, solvepdeeig)
# Hmax = 0.06, dofs = 6095, mesh nodes = 6435
# Computation time: 0.787 s
n,lambda_n
1,5.87066575277264
2,11.5302345772881
3,15.1411268018491
4,15.9240024514479
5,21.1196600245665
6,27.0808189978958
7,27.5017287216279
8,29.9197471599717
9,34.7113583020271
10,41.3100035230212
11,42.1915008506935
12,44.5126654695714
13,46.9810723887148
14,50.4027684879443
15,52.3465250756534
16,57.7744976219089
17,61.4004129101293
18,63.8059954217114
19,65.997539194611
20,67.874838113996
21,73.6518015579107
22,74.2520038943361
23,77.8868520270062
24,84.7472949216493
25,85.3515319342829
26,89.0527054358054
27,90.8202721006559
28,92.1650989581857
29,98.4089238866388
30,100.304856038862
31,101.802550297606
32,104.674611961265
33,111.308482586358
34,112.212113653962
35,114.147991884513
36,115.176165019297
37,120.463744944274
38,121.922321015824
39,128.304495683989
40,128.630050642163
41,131.435753673611
42,137.186744442204
43,139.977347150917
44,143.329503686909
45,143.740097410586
46,143.801364690994
47,149.121755723539
48,154.083129719571
49,156.145588217343
50,159.882613810812
51,161.438180763838
52,165.900904337553
53,168.7074937143
54,172.048766499369
55,176.731176597285
56,178.356581618059
57,178.732100745302
58,179.259390290498
59,181.185619827477
60,187.392354924968
61,191.046051907605
62,191.443007718888
63,195.930707011849
64,199.052216666133
