# Domain: gww2 (FEM, eig)
# Hmax = 0.15, dofs = 2672, mesh nodes = 2942
# Computation time: 1.388 s
n,lambda_n
1,2.54030516481013
2,3.65789061045962
3,5.18021427934372
4,6.53872085833276
5,7.2525766205494
6,9.21171120286952
7,10.6002531339599
8,11.5430204098366
9,12.337811007904
10,13.0616202232418
11,14.3173555431771
12,15.8829615485389
13,16.944200499024
14,17.6700160287965
15,18.9969791525929
16,20.8887621283976
17,21.2654502222543
18,22.249167861459
19,23.7184684312311
20,24.4863372904267
21,24.6803107747211
22,26.095230900232
23,27.3194902825073
24,28.1881350975189
25,29.5847685951292
26,31.5004060859397
27,32.0898755083259
28,32.2392833370933
29,32.9253280865514
30,34.1541918199022
31,36.2868420379693
32,37.126346824431
33,38.8225885035599
34,38.980209839705
35,40.8713084091373
36,40.9975281038521
37,41.4823148805039
38,41.9759855554491
39,44.1877268975475
40,44.5217158761357
41,45.8910097444283
42,46.7422583251975
43,47.4923341427908
44,49.3965716784277
45,49.9867222251733
46,50.3419134615235
47,52.0857501471363
48,52.5993925344507
49,53.4600151030341
50,54.2656642982141
51,56.3521910345165
52,57.1371811868326
53,58.2235732118577
54,59.2380687230116
55,61.7785502910947
56,61.8268583881932
57,62.9547964908963
58,63.3031247460497
59,63.4009271881895
60,64.2565306001248
61,64.905868105221
62,66.5926683701055
63,67.3086787518926
64,69.6299760394137
65,70.2012513956905
66,70.8162657695314
67,71.6972073708051
68,71.7312702748667
69,72.5373963252967
70,75.1912186283014
71,76.6859810280473
72,77.0525095849403
73,77.4482807559636
74,77.579491412304
75,79.9007968772722
76,80.920566534006
77,81.9084472190323
78,84.0518133045102
79,84.0799368533555
80,84.118836293946
81,86.0027970770137
82,86.278594445665
83,87.7322656581856
84,89.3094685127129
85,90.7745250373254
86,91.2352668906557
87,91.5845720604715
88,91.6137305352562
89,92.5492560037964
90,93.6730631376655
91,95.1043783849561
92,96.6540406600363
93,98.3084418880666
94,98.9567596412239
95,99.0625706001332
96,99.288251239536
97,101.558050182987
98,102.366893821476
99,103.348803060476
100,103.83698972853
101,105.105776277187
102,106.069414335997
103,106.959844544645
104,107.096728770481
105,109.919828893482
106,110.475909519604
107,111.410427336306
108,111.552943857211
109,113.44145148863
110,113.578126688123
111,114.737799396856
112,115.335129074594
113,116.74892359425
114,119.173614514237
115,120.24839214681
116,120.385350777902
117,122.319032430425
118,123.32781695159
119,123.703304976989
120,123.823014834921
121,124.080195229904
122,125.722093845622
123,126.774579924072
124,127.936649514667
125,129.097550839323
126,129.502235887298
127,129.858502988349
128,131.615013539947
129,132.095774520349
130,132.280640074211
131,132.782961157918
132,134.39028284921
133,135.852729401218
134,137.616116877501
135,138.956809269131
136,140.629835046854
137,140.82455850406
138,141.684500456361
139,141.8272441166
140,142.325852952322
141,143.976970915579
142,144.18793373725
143,146.110724688112
144,148.137772711138
145,148.675248245164
146,150.558743768539
147,151.072361225539
148,151.652633021365
149,151.75357681002
150,153.168722854025
151,153.237647704709
152,154.72876827998
153,156.817589716905
154,158.382989656493
155,159.588756502967
156,160.817547089321
157,161.289229891182
158,161.451774538132
159,161.859064181512
160,161.908857409463
161,162.855195069275
162,164.211447555787
163,165.404182388271
164,166.440733005455
165,167.513098080821
166,168.138830496405
167,169.502872664182
168,169.886551206887
169,171.570970509663
170,171.843232942265
171,172.768660353478
172,174.371293763764
173,175.657140944176
174,177.189665587693
175,178.184783589964
176,179.318241378637
177,180.575946673169
178,181.512277836515
179,182.18260590166
180,182.233588888722
181,182.59696262867
182,183.674241226592
183,184.764305863184
184,185.784382993963
185,187.327895950898
186,188.13203833505
187,188.640683534408
188,189.615237722542
189,190.563039343535
190,191.2765128775
191,193.556517624912
192,193.807314173655
193,196.43007259564
194,197.785874536766
195,198.517674141919
196,199.049279853375
197,200.065878618058
198,200.545772298125
199,201.72723120838
200,203.170737378668
201,203.999722710601
202,204.484868622275
203,205.157332588404
204,205.44875550791
205,206.114563278492
206,208.657419933632
207,209.756436923887
208,210.436242216485
209,211.814900267398
210,212.770402199215
211,212.937706704312
212,213.011399005812
213,213.87436662575
214,215.387034037927
215,215.574290854034
216,216.627795832624
217,217.238978673104
218,220.11447403651
219,222.293016924719
220,223.184932574913
221,223.326417867441
222,223.405346288283
223,224.562523679731
224,225.338054312517
225,225.875084033549
226,227.435240702264
227,228.516687370938
228,228.8477699297
229,230.366208253656
230,231.625095167576
231,232.176338316877
232,233.289643119372
233,233.955215949728
234,235.739702427601
235,236.803698050465
236,238.364518174455
237,239.03000593748
238,239.884955528724
239,241.053871449636
240,242.127180791535
241,243.808793377281
242,244.007169420087
243,244.114303672673
244,247.015033486694
245,248.012000078815
246,249.194948988152
247,249.988792244869
248,250.554409520144
249,251.834560015431
250,252.972123187052
251,253.336443314603
252,253.491965432009
253,254.457548735603
254,254.962089519237
255,255.639666016057
256,257.145457320372
257,257.90234724532
258,258.629186552047
259,260.72219566494
260,261.181980928633
261,262.465544253617
262,262.649704947577
263,264.629772444041
264,266.73415261915
265,267.302067208711
266,267.422014157901
267,267.854129345917
268,268.468652542624
269,269.501567918076
270,270.056067850887
271,272.011452748616
272,272.680296426722
273,274.052752100618
274,275.462202264363
275,276.022925886815
276,277.897115431309
277,279.550822300206
278,280.520563195046
279,280.563277096408
280,281.141990208199
281,283.077827673359
282,283.916599642129
283,285.587078966492
284,285.891813641543
285,286.456556634061
286,287.189038118738
287,288.510659776739
288,288.746390181104
289,289.666908135288
290,292.018865212909
291,292.773657937081
292,294.141052441738
293,295.014781011926
294,296.370093343464
295,296.626900159324
296,297.868637655168
297,298.311992042473
298,299.616604191106
299,301.629707520945
300,302.430209236385
301,302.945528881674
302,303.657686145301
303,306.070782533559
304,306.916796091264
305,307.534474580193
306,308.34063944146
307,309.455187660152
308,310.567292097376
309,311.409032721528
310,312.495394064703
311,313.148964592823
312,313.999799961194
313,315.378057682639
314,316.418722569946
315,317.182738120112
316,317.601900908084
317,318.089995630759
318,318.386379848185
319,319.359656552059
320,320.566152686595
321,323.122290000208
322,324.284311439881
323,324.704402484611
324,326.108706804246
325,328.049853647877
326,328.506360326007
327,329.552617583534
328,330.745965157319
329,330.958767752317
330,331.393873306309
331,331.875511538609
332,333.199885401455
333,333.966694574385
334,335.871932598294
335,337.361000949241
336,338.85672933221
337,339.39320957039
338,339.687808115017
339,340.588619453291
340,342.526965377269
341,343.003129004259
342,345.252493323994
343,346.645458005414
344,347.110920752063
345,347.167783202962
346,348.013477684163
347,348.934263947549
348,350.113189809973
349,350.37402202357
350,351.451520496436
351,352.056120866564
352,353.950145086579
353,355.173676815802
354,356.978751553051
355,357.052489278824
356,358.64812781558
357,359.833704247842
358,361.927185976598
359,363.105076211303
360,364.27048410564
361,365.759258103266
362,366.576853819333
363,368.367901035865
364,369.114298198825
365,370.270598783111
366,371.358289323061
367,371.558738498945
368,372.012662560246
369,372.260984642363
370,373.916998628825
371,374.497800721003
372,375.08427987827
373,375.628496281444
374,376.921524448582
375,377.95197774651
376,378.561601392706
