# Domain: gww2 (FEM, solvepdeeig)
# Hmax = 0.1, dofs = 6214, mesh nodes = 6624
# Computation time: 1.587 s
n,lambda_n
1,2.53927336346058
2,3.65683970730411
3,5.17816684685669
4,6.53813716509656
5,7.25056568823742
6,9.21051906042754
7,10.5986122540449
8,11.5419918940177
9,12.3371541374201
10,13.0577728251009
11,14.3153923384486
12,15.8773027250906
13,16.9422623257833
14,17.6670674262972
15,18.9891081750819
16,20.8844994860393
17,21.2564740288599
18,22.2403953288086
19,23.713009883818
20,24.4807306542529
21,24.6751946927622
22,26.0859252485227
23,27.3094614290984
24,28.1791506525525
25,29.5737795308372
26,31.4880722204401
27,32.0787681102618
28,32.2243248845368
29,32.9110362910234
30,34.14036048949
31,36.2679034957024
32,37.1066980844035
33,38.8003991263699
34,38.9543307068889
35,40.8391157019104
36,40.9721354466751
37,41.4557325877686
38,41.9515675330278
39,44.154112517528
40,44.4802751984981
41,45.8577693861707
42,46.7084036947676
43,47.4527114226981
44,49.357188531119
45,49.9410079394989
46,50.2955585651093
47,52.0410601298721
48,52.5491358660265
49,53.405163050527
50,54.2082515577661
51,56.292383090921
52,57.0724227822597
53,58.1598298614767
54,59.1657693610343
55,61.702926830591
56,61.7465606802926
57,62.8756242332618
58,63.2225347726633
59,63.3095644478616
60,64.1728887099105
61,64.8161522967313
62,66.4885858364946
63,67.209481679501
64,69.5116633895354
65,70.0918155320276
66,70.6959751727357
67,71.5826544943952
68,71.6077372782364
69,72.4150610212724
70,75.0483382462457
71,76.5433688316844
72,76.9094684506407
73,77.3040692794024
74,77.4196538369662
75,79.74031758652
76,80.7467219673027
77,81.7358191244411
78,83.8690349167284
79,83.8959678699302
80,83.9361837019278
81,85.7929576026921
82,86.0761689350651
83,87.5196013725385
84,89.0685892769832
85,90.5391523356114
86,90.9987708403985
87,91.3469679842918
88,91.3514778817142
89,92.3062110669148
90,93.4228111149327
91,94.8344441874562
92,96.3598702033758
93,98.0130876853314
94,98.6660413469397
95,98.7677960527129
96,98.9883832157259
97,101.240879751754
98,102.040836202011
99,103.0031070983
100,103.49616383868
101,104.754847987669
102,105.698941156418
103,106.598679846638
104,106.719712171767
105,109.51577233971
106,110.063366185628
107,110.974871457798
108,111.134745741659
109,112.998642695106
110,113.140348232318
111,114.277404866626
112,114.890796147593
113,116.284619650745
114,118.636439344876
115,119.738437730585
116,119.867990937293
117,121.784219943712
118,122.75804727628
119,123.100873948532
120,123.265483295325
121,123.510275270692
122,125.111699916939
123,126.161446627167
124,127.314695008116
125,128.460383698309
126,128.852339727958
127,129.179167417394
128,130.93665340955
129,131.40441847585
130,131.610354155161
131,132.107639301073
132,133.660498127383
133,135.110153779605
134,136.855213922524
135,138.192717808065
136,139.847628299192
137,139.985982357136
138,140.872665931333
139,141.01105841759
140,141.472882949327
141,143.130853941774
142,143.322597298175
143,145.200639202864
144,147.208679727941
145,147.735527638037
146,149.588201223948
147,150.087291866102
148,150.678861775326
149,150.760315640001
150,152.136120004186
151,152.176254926942
152,153.678542401195
153,155.72382892738
154,157.267109300964
155,158.448544141174
156,159.638085679887
157,160.105519499265
158,160.150153857074
159,160.67881169862
160,160.687872059163
161,161.641374725753
162,162.943650580441
163,164.131556664128
164,165.152529585921
165,166.119174759432
166,166.803342879791
167,168.128179206451
168,168.53532663399
169,170.177417870516
170,170.36164911855
171,171.36015651373
172,172.893701244192
173,174.176381417249
174,175.632578347637
175,176.570446258058
176,177.72453614219
177,178.928384909635
178,179.866841258555
179,180.540754157644
180,180.5508320288
181,180.948610680008
182,181.961551100334
183,183.026644115212
184,184.041108999437
185,185.511544159667
186,186.309597476758
187,186.779300659779
188,187.740521092028
189,188.673093686842
190,189.375259424991
191,191.593143575131
192,191.843346599121
193,194.413797733232
194,195.66646284066
195,196.451027536669
196,196.917687475451
197,197.941695692807
198,198.367313026072
199,199.554045504461
