# Domain: isosceles_triangle (FEM, eig)
# Hmax = 0.1, dofs = 2115, mesh nodes = 2327
# Computation time: 0.532 s
n,lambda_n
1,5.0000102975381
2,10.0000819686607
3,13.0001797497111
4,17.0003969334841
5,20.0006550849126
6,25.0012760204622
7,26.001423490025
8,29.0019841290195
9,34.0031516053962
10,37.0040498994296
11,40.0051649337462
12,41.0055470775567
13,45.0072553348513
14,50.0099160126443
15,52.0111722662233
16,53.0119349120524
17,58.0153590303739
18,61.0181635380479
19,65.0216017287535
20,65.0219417609434
21,68.0251716130162
22,73.0306004957575
23,74.0318778343322
24,80.0401835969834
25,82.0432334304494
26,85.0483711364268
27,85.0487799222257
28,89.0555978676796
29,90.0569899904024
30,97.0709842141695
31,100.077667136324
32,101.07970423673
33,104.088440096676
34,106.091808744224
35,109.099968883707
36,113.112231631088
37,116.120478323627
38,117.123932096917
39,122.139478763747
40,125.149637991812
41,125.15199393828
42,130.166801174989
43,130.168894637827
44,136.190560576226
45,137.19506300421
46,145.231166947533
47,145.234711749193
48,146.234549680152
49,148.250599398487
50,149.253758678856
51,153.268915841276
52,157.291788752606
53,160.308796243572
54,164.331740871774
55,169.359225967084
56,170.365486354059
57,170.372643899314
58,173.395917737831
59,178.422260281918
60,180.435492861939
61,181.450395881743
62,185.472842200677
63,185.480550099626
64,193.536072663515
65,194.541894276835
66,197.569296548676
67,200.605119556682
68,202.609297500884
69,205.631852762714
70,205.63856073675
71,208.659720582404
72,212.701238666901
73,218.757072335571
74,221.787779651395
75,221.805649326381
76,225.839102250637
77,226.844878705555
78,229.888625028563
79,232.911924740183
80,233.9284076758
81,234.933925552323
82,242.024899375456
83,245.058123405154
84,246.069861969602
85,251.124138215092
86,251.138891347904
87,258.22832577032
88,261.272045735983
89,261.306711692181
90,262.282215707347
91,266.345563920224
92,266.354251003778
93,270.41351055374
94,273.461410323913
95,275.489487760183
96,278.53049090082
97,282.602945595375
98,290.729654195462
99,291.734243140232
100,291.76916556842
101,293.781549742793
102,294.839518070913
103,297.840903938462
104,299.897224055344
105,306.984968164316
106,307.047100264586
107,308.043463662068
108,315.185922619524
109,316.215880852371
110,319.280374274445
111,322.351379627354
112,327.414731506063
113,327.433350002928
114,327.439095619055
115,330.528945398981
116,335.600279824765
117,339.683783976987
118,340.707717021881
119,342.749916399797
120,342.788028050273
121,348.890788874781
122,351.958221191848
123,356.064522479222
124,359.152680507229
125,363.256958238009
126,365.309879411562
127,368.381306063059
128,368.478650550787
129,372.53283123935
130,373.485825942301
131,373.561058520426
132,376.612355272203
133,380.722428727162
134,380.74258295534
135,389.98476274106
136,392.026538489416
137,393.085592064244
138,398.216871173725
139,401.312581511187
140,404.377042839112
141,405.451785829608
142,408.640301265506
143,409.56219872887
144,413.688345759878
145,414.678490717344
146,414.78717782101
147,420.964721654145
148,426.21340572042
149,429.238782769693
150,430.246756322973
151,430.273413530184
152,430.350430851014
153,438.603112799389
154,441.684901258504
155,447.803121974631
156,447.886706570217
157,451.021882877063
158,451.113895884471
159,455.092626962877
160,456.184730111968
161,458.227619551459
162,463.521606922917
163,464.488006181064
164,467.585924989418
165,470.769116561581
166,472.794208276558
167,474.931949988548
168,484.303163078913
169,488.497107434229
170,488.600607464989
171,489.559990645254
172,492.586734818121
173,492.770984912249
174,495.878842252601
175,497.825863089805
176,500.875321783818
177,501.122693069544
178,508.244980751894
179,508.35392408657
180,513.551716867659
181,513.672080104583
182,517.706960500112
183,522.894495638996
184,529.253525321973
185,529.319075105431
186,530.299825705295
187,531.485018987415
188,539.746363725145
189,539.81402082463
190,542.925681646114
191,543.21373950617
192,548.353946112041
193,551.468286314206
194,554.578369677804
195,555.561230041307
196,555.670147200093
197,558.796993505982
198,559.976108708095
199,565.194650538719
200,568.321694151229
201,573.392032041494
202,576.670494906838
203,576.77069008461
204,580.970006225944
205,589.363528310105
206,590.465921129468
207,592.315772248606
208,592.711690112205
209,596.882461280097
210,597.678034241977
211,597.922685517505
212,598.750616646898
213,605.439012282505
214,606.551825667052
215,609.479739975859
216,614.970591852472
217,619.140390463405
218,624.342184710503
219,624.643457005345
220,626.593115642296
221,628.168574435143
222,632.383674022287
223,640.292935862185
224,640.795081195927
225,641.660890196246
226,643.358840980139
227,644.666886695646
228,645.045078028058
229,650.192393998027
230,653.510620864029
231,656.580142221442
232,657.839719102757
233,667.026118424637
234,667.21832645529
235,667.26906562065
236,670.481575450216
237,673.583688042997
238,674.846574637767
239,679.088803599366
240,684.554605953783
241,692.121546772389
242,693.100544823864
243,695.250923587929
244,696.266802326252
245,699.557074575547
246,699.919822420459
247,704.849623652758
248,705.259726191279
249,709.13069216857
250,709.499645323788
251,712.936481538393
252,717.605836009441
253,718.480886780804
254,718.85575537219
255,722.328855455286
256,727.673790835331
257,730.933240309271
258,734.295399841733
259,743.113429399028
260,747.072547433534
261,747.696484707419
262,748.279363116728
263,749.021153110195
264,753.26063129222
265,753.872135753725
266,757.507291781484
267,762.573067665377
268,764.433792338333
269,764.904013058224
270,769.9448550808
271,770.309062775135
272,771.448840388077
273,779.815016722502
274,780.279196027873
275,783.436096090046
276,788.176786874874
277,792.105334263679
278,792.319808238449
279,796.026632319747
280,798.971350669477
281,801.252979201108
282,803.85850743888
283,806.599288541692
284,813.895886476636
285,814.00125114859
286,817.74586960071
287,822.620755371028
288,823.200957879314
289,823.346429431555
290,827.099699117071
291,830.378774124324
292,831.777467130191
293,832.321711112399
294,838.912765604318
295,840.275629067373
296,841.379492787914
297,850.067827640978
298,851.91502597864
299,853.253943561194
300,854.338264302834
301,861.951216842153
302,866.217180805077
303,867.263705433865
304,876.691192415289
305,877.092944365409
306,879.669743721413
307,879.942001451849
308,881.112049844161
309,883.763827654936
310,884.855656153051
311,885.685838277935
312,886.533526505273
313,888.736657725784
314,893.443299093626
315,902.342987093749
316,902.874490239214
317,903.883685262893
318,910.255212814771
319,912.005656295312
320,916.092177774195
321,920.23252060266
322,922.963388159431
323,924.174020464505
324,929.746179191317
325,930.53285341637
326,939.833533934762
327,941.772992564121
328,942.570142087078
329,942.816859633789
330,946.839085699923
331,947.786951313863
332,947.884886320301
333,951.39086576378
334,957.583191900646
335,959.457350261432
336,966.071817549405
337,968.267740135114
338,970.334633536407
339,970.700470400271
340,972.407084161683
341,975.032969262059
342,977.517054036869
343,982.937363858697
344,983.725280433826
345,988.384180139977
346,996.086825897154
347,998.078021748693
348,1001.54547989728
349,1002.19668869383
350,1009.42944006868
351,1011.37237737038
352,1013.95637059815
353,1014.45181107762
354,1015.3698934641
355,1019.10813599191
356,1019.83262722091
357,1024.33359111193
358,1026.60335687006
359,1032.10878878755
360,1034.22140073788
361,1036.16939101055
362,1037.60237240384
363,1038.39865961647
364,1039.37286232196
365,1050.68929195798
366,1053.28076862756
367,1054.96535566298
368,1063.79295439032
369,1064.27019223494
370,1065.19951388286
371,1070.04642538382
372,1071.56170843845
373,1072.20991304823
374,1077.22438622342
375,1081.79273527295
376,1084.21822311122
377,1084.79519046881
378,1087.16654831284
379,1092.72126182587
380,1094.96736128962
381,1095.91158498439
382,1098.81779887442
383,1099.40306212767
384,1103.63336604587
385,1106.85605871193
386,1107.59821109383
387,1113.9906313791
388,1120.66432185986
389,1122.70067717365
390,1124.11031345047
391,1127.95297501832
392,1130.68644396842
393,1135.52722658795
394,1137.28686113312
395,1138.41949927558
396,1140.9132034645
397,1147.90247024195
398,1155.3616898564
399,1157.5921137109
400,1159.88930975511
401,1161.09680409245
402,1162.82350210126
403,1166.45269267729
404,1167.27854152577
405,1171.43468241103
406,1172.85952011227
407,1175.25636919795
408,1176.87496272343
409,1177.27003346933
410,1183.1080625739
411,1183.62075062033
412,1191.32416193597
413,1194.86123210087
414,1196.86084614296
415,1199.77237212115
416,1200.6912868132
417,1202.72041280531
418,1205.5170686663
419,1211.78014307553
420,1218.15075794383
421,1218.82054504007
422,1222.55208750121
423,1225.04419354867
424,1226.13840571691
425,1226.83616923636
426,1229.47389272603
427,1233.1419548335
428,1233.3646574542
429,1235.8099973238
430,1240.99649339401
431,1242.00405285411
432,1244.60058097857
433,1245.30084357798
434,1250.79335539297
435,1253.4562177771
436,1256.20042298839
437,1261.13313756994
438,1262.39485509167
439,1264.26971716747
440,1267.51277326498
441,1268.89248662228
442,1272.17577601585
443,1279.13621437379
444,1280.46574473515
445,1281.03624246348
446,1283.26996706176
447,1288.61349902876
448,1290.96679145744
449,1291.60979408935
450,1293.8901279888
451,1295.69989705402
452,1301.23951966167
453,1302.85181673427
454,1304.34333430451
455,1305.21378076288
456,1310.03325482189
457,1310.73099479506
458,1320.1979708835
459,1323.30090950141
460,1324.52212930693
461,1330.21038839812
462,1332.48936020769
463,1332.97758971206
464,1333.79733624069
465,1340.86544409986
466,1343.41458216378
467,1352.88914982265
468,1354.13330914104
469,1356.40545177308
470,1357.39198678816
471,1360.99538787153
472,1363.63140732813
473,1368.55262283318
474,1369.99904737216
475,1375.98168278483
476,1381.97882202911
477,1383.86318207558
478,1390.33977019533
479,1393.27014826505
480,1396.41418183655
481,1399.05167839457
482,1401.6484365745
483,1404.04798629721
484,1406.61878438423
485,1410.01590522171
486,1412.06571003526
487,1416.21462879677
488,1419.01473462975
489,1425.60143352062
490,1426.48042081855
491,1435.75668695506
492,1440.18070587832
493,1442.48436197849
494,1444.38612784117
495,1454.34328876192
496,1458.55956565643
497,1462.32955484289
498,1471.92880490984
499,1475.71681279676
500,1484.8048385779
501,1487.79553120278
502,1490.7666780452
503,1499.16966339047
504,1501.9509827305
505,1502.86489224706
506,1506.44257885713
507,1507.55211824934
508,1514.17035387615
509,1516.35840406795
510,1522.70006800348
511,1524.94610566437
512,1529.3616196459
513,1536.23828614329
514,1536.45037344254
515,1542.79141382319
516,1545.23101935341
517,1548.38478740354
518,1553.1627529569
519,1562.36878486638
520,1566.99010031035
521,1570.22710397073
522,1574.86197456401
523,1579.10110064388
524,1580.29515616232
525,1584.89804355428
526,1587.65976843066
527,1597.28862534957
528,1597.5940000195
529,1598.2918146134
530,1603.31890951118
531,1610.91897459151
532,1613.50009327216
533,1615.55971191092
534,1622.58856085447
535,1625.28055238995
536,1627.21333069642
537,1628.65010455332
538,1631.39678905595
539,1632.9418150137
540,1640.60461522431
541,1649.12131250272
542,1653.19210704428
543,1656.42781126279
544,1657.46471769633
545,1664.47277542205
546,1665.83690368987
547,1666.37324541972
548,1669.35331990266
549,1673.53137560656
550,1676.48868867538
551,1678.92739245444
552,1680.07779071021
553,1685.95127335822
554,1691.30450914133
555,1695.91494775449
556,1698.18520550369
557,1705.35749289001
558,1706.90483215913
559,1708.776371926
