# Domain: isosceles_triangle (FEM, solvepdeeig)
# Hmax = 0.05, dofs = 8896, mesh nodes = 9326
# Computation time: 0.862 s
n,lambda_n
1,5.00000060480076
2,10.0000048095494
3,13.0000104638113
4,17.0000233861965
5,20.0000381421463
6,25.0000743339642
7,26.0000840789782
8,29.0001153956486
9,34.0001858114885
10,37.000240633613
11,40.0003023115044
12,41.0003267117944
13,45.0004271187632
14,50.0005947914979
15,52.000662832687
16,53.0006992280906
17,58.0009111003286
18,61.0010783410185
19,65.0012862627756
20,65.0013061652478
21,68.0014842013378
22,73.0018235546172
23,74.0019101072617
24,80.002395720769
25,82.0026171954674
26,85.0028770815003
27,85.0029222937979
28,89.0033109304105
29,90.0034088380278
30,97.0042695298145
31,100.004679907043
32,101.004856083174
33,104.005286145756
34,106.005547763623
35,109.006051359842
36,113.00679669925
37,116.007267744172
38,117.007498142675
39,122.008557539315
40,125.009106182859
41,125.009151172364
42,130.010222881252
43,130.010253108009
44,136.011665046117
45,137.011938359064
46,145.01433679463
47,145.014367771902
48,146.014437672555
49,148.015144550739
50,149.015402529796
51,153.016589582028
52,157.017980163685
53,160.018938548239
54,164.020558073161
55,169.022346435001
56,170.022696990323
57,170.023102016782
58,173.024096506649
59,178.026084309619
60,180.026930202109
61,181.027778291514
62,185.029136228552
63,185.029524879504
64,193.033351059225
65,194.033655429461
66,197.035696675873
