# Domain: rectangle (FEM, eig)
# Hmax = 0.15, dofs = 3895, mesh nodes = 4147
# Computation time: 5.622 s
n,lambda_n
1,1.2500007512851
2,2.00000311475728
3,3.25001370731184
4,4.25003114054277
5,5.00004811321988
6,5.00004983212191
7,6.25009221682533
8,7.25014971411994
9,8.00019653487637
10,9.2503126578869
11,10.000386753156
12,10.0003911567829
13,10.2504239861348
14,11.2505449834006
15,13.0008364976977
16,13.0008710229494
17,13.2509018091818
18,15.2513543426796
19,16.2516818529875
20,16.2517303203964
21,17.0018816694257
22,17.0019276482802
23,18.0022432879189
24,18.2523140272257
25,20.0029921048942
26,20.0031105036282
27,21.2536136742519
28,21.2537207363326
29,22.2541334289144
30,24.2555008217101
31,25.0058996865421
32,25.0060793919722
33,25.2563580020158
34,26.0065647403607
35,26.0068341398922
36,27.257729104195
37,28.2585332258082
38,29.009187410455
39,29.0093657929915
40,29.2597171290703
41,31.2612861199566
42,31.2614478309947
43,32.0124238350088
44,34.0145406651752
45,34.0151899366518
46,34.2652885247502
47,36.2681235378485
48,36.2687473778092
49,37.0186844196318
50,37.0196444454714
51,37.2691715885859
52,38.2712822552089
53,39.2731204374359
54,40.0238395190448
55,40.0240142768095
56,41.0256635344185
57,41.0263513763553
58,42.2778578883475
59,43.2794742481534
60,45.0334388282118
61,45.0345748563051
62,45.2845516698621
63,46.2862017556128
64,46.2878467133752
65,48.2910629489683
66,49.2961923777465
67,50.0450489945079
68,50.0463845602745
69,50.0477405705593
70,51.3000584745451
71,51.300881916018
72,52.0511180032868
73,52.0534877179183
74,53.0539841036415
75,53.0547570743096
76,55.3108740213281
77,55.3133348218666
78,56.31492425017
79,57.3173857893917
80,58.0707956894904
81,58.0727994969875
82,58.3243089851294
83,60.3291266674164
84,61.0827153623768
85,61.0845427909316
86,61.3330316275976
87,64.3518659779197
88,65.0982673068118
89,65.0989092165777
90,65.1023381002219
91,65.1045131757106
92,65.3522784169693
93,66.3553444479899
94,66.3596548229966
95,67.3633913572091
96,68.1135242233252
97,68.1164580606149
98,69.3691229959169
99,70.3767492273132
100,72.1360900664594
101,72.3896063696499
102,73.1404155225247
103,73.1418131404812
104,73.3900824508093
105,74.1448906558431
106,74.1512201826632
107,76.4081833155615
108,76.4089052272405
109,78.425056596674
110,79.4284581548623
111,80.1822928238619
112,80.1884707016884
113,81.4428315616672
114,81.4487129487819
115,81.4511124857083
116,82.1932937501975
117,82.205028939548
118,83.4614169870082
119,84.4624008104836
120,85.215212871484
121,85.2176072601826
122,85.2236625614924
123,85.2247506597294
124,87.4880713776301
125,88.5005911594152
126,89.2489286774703
127,89.2586761422418
128,90.2592716999876
129,90.2615558536691
130,91.5119700592221
131,91.5221774965529
132,92.5360850698792
133,93.5382832109066
134,94.5388163550561
135,94.5445919481777
136,97.3214415442935
137,97.3286851355307
138,97.5853659150558
139,98.3372626095957
140,99.5947805858263
141,100.349253943368
142,100.364058026137
143,100.623586979952
144,101.353319597818
145,101.376165386016
146,101.613357900067
147,102.634948663786
148,104.385086328408
149,104.402247112601
150,105.66560476419
151,106.413888340319
152,106.432013195528
153,106.663733148041
154,106.673636156338
155,106.68397583437
156,108.706413902454
157,109.451907706189
158,109.457055584196
159,111.721053556091
160,111.72737207618
161,112.745770959642
162,113.501034815225
163,113.510153470273
164,114.759668771101
165,115.797062183981
166,116.541850411168
167,116.550059987111
168,117.54987368868
169,117.571763106459
170,119.835621214311
171,120.841735064836
172,120.861643896326
173,121.877093657578
174,121.899181236073
175,122.619599256894
176,122.661178624006
177,123.889225888408
178,123.927012552166
179,125.662206054898
180,125.671565787387
181,125.687169813083
182,125.696530841045
183,126.947362771358
184,126.96632943703
185,127.972891110064
186,128.725720346231
187,130.742822783857
188,130.749934550523
189,130.767625768769
190,130.779253900393
191,131.001665027061
192,134.048808306905
193,134.070423419542
194,136.113292571184
195,136.848926181365
196,136.884563837385
197,137.100100750152
198,137.124852735088
199,137.884447010779
200,137.887555942315
201,138.131110035044
202,140.195662756259
203,142.203949699897
204,142.212351299561
205,143.2206771382
206,145.316578639333
207,146.012788196039
208,146.032345300923
209,146.050142349363
210,146.072714033819
211,147.055321377422
212,147.076160134095
