# Domain: rectangle (FEM, solvepdeeig)
# Hmax = 0.07, dofs = 18351, mesh nodes = 18891
# Computation time: 5.020 s
n,lambda_n
1,1.250000035258
2,2.00000014447222
3,3.25000063486371
4,4.25000138762049
5,5.00000220018011
6,5.00000232662754
7,6.25000426000501
8,7.25000707176034
9,8.00000906661485
10,9.25001460529305
11,10.0000179584267
12,10.0000184436668
13,10.2500195340113
14,11.2500250351184
15,13.0000383339153
16,13.00004042929
17,13.2500422465752
18,15.2500621659611
19,16.2500784024584
20,16.2500790641157
21,17.0000884722058
22,17.0000885599849
23,18.000103451819
24,18.2501069920751
25,20.0001387757825
26,20.0001464797789
27,21.2501711789623
28,21.2501739008595
29,22.2501914203322
30,24.2502597841362
31,25.0002731562211
32,25.0002853800384
33,25.2502970895372
34,26.0003137757322
35,26.000320940393
36,27.2503610577742
37,28.2503957556014
38,29.0004262976461
39,29.0004422144275
40,29.2504591034877
41,31.2505278562546
42,31.2505434558148
43,32.0005797106565
44,34.0006800376125
45,34.0007204129256
46,34.2507244619406
47,36.2508532562805
48,36.2508721780952
49,37.0008978896805
50,37.0009222359301
51,37.2508985022277
52,38.2510023430476
53,39.2511060986615
54,40.001123940395
55,40.001147802012
56,41.0012054189301
57,41.0012488359483
58,42.2513078823133
59,43.2514301223751
60,45.0015721763937
61,45.0016633347496
62,45.2516300638352
63,46.2517615907736
64,46.251805033316
65,48.251935034239
66,49.2521950267662
67,50.0021963360547
68,50.0022204197469
69,50.0022890547966
70,51.2524265381245
71,51.2524515890747
72,52.002425592836
73,52.0025584160602
74,53.0026383908133
75,53.0026480847425
76,55.2529377985114
77,55.2530168831324
78,56.2530846410179
79,57.2533040229992
80,58.0033789609105
81,58.0035325189447
82,58.253593921391
83,60.2538738187984
84,61.0039566957719
85,61.0040749645173
86,61.2539539863263
87,64.2548380532727
88,65.0047104966395
89,65.0048252603877
90,65.0049860217961
91,65.0050108288925
92,65.2550019292151
93,66.2550974567958
94,66.2552429446889
95,67.25548870069
96,68.0055424340807
97,68.0055719260657
98,69.255705351341
99,70.2560567556813
100,72.0065873636997
101,72.2568474533935
102,73.0067394798476
103,73.0069686329176
104,73.2568824923733
105,74.0069880548346
106,74.0073385771945
107,76.2576371285493
108,76.257777124064
109,78.2585089676207
110,79.258622592048
111,80.0087817901851
112,80.0092736674583
113,81.2595306081499
114,81.2597514118308
115,81.2597796558811
116,82.0096125934037
117,82.0100343994562
118,83.2603919171676
119,84.2602308295863
120,85.0106716585406
121,85.0107132792318
122,85.0109005619186
123,85.0109629611112
124,87.2616372439376
125,88.2623922077284
126,89.0120517368821
127,89.0127597712197
128,90.0126709597925
129,90.0129387309776
130,91.2631973227088
131,91.2632712441401
132,92.2640448403932
133,93.2639991276567
134,94.2643283754805
135,94.2645612712611
136,97.0156510409816
137,97.0163690675766
138,97.2666216358797
139,98.0165272433119
140,99.2672583930896
141,100.017172891742
142,100.017946774314
143,100.268255030741
144,101.017874120743
145,101.018660302448
146,101.267717557366
147,102.269200077258
148,104.019493040188
149,104.019928211013
150,105.270580993825
151,106.020286197742
152,106.021502244341
153,106.270655805572
154,106.271007882905
155,106.271460996101
156,108.272808650715
157,109.022492148862
158,109.022754052353
159,111.273459418516
160,111.273881109125
161,112.274413835637
162,113.025012821783
163,113.025571091171
164,114.275764931476
165,115.277573414718
166,116.026782040806
167,116.027823239125
168,117.027309990524
169,117.028803501821
170,119.279693427011
171,120.279531090589
172,120.280409262761
173,121.281663749467
174,121.282236408367
175,122.031415601069
176,122.032888888631
177,123.281967777204
178,123.283654996788
179,125.033224112662
180,125.033652911134
181,125.034593440153
182,125.035080090536
183,126.285584461164
184,126.286311030989
185,127.286062616006
186,128.036569276665
187,130.037468173198
188,130.038260466506
189,130.038286039254
190,130.039204546559
191,130.287473832127
192,133.290734016918
193,133.290998317059
194,135.294244526425
195,136.042542270914
196,136.04501899154
197,136.293439564255
198,136.294241209905
199,137.044279009865
200,137.045529674048
201,137.294340505684
202,139.29804892589
203,141.298159568149
204,141.298974983497
205,142.298677076387
206,144.303915134723
207,145.05230912358
208,145.052453437598
209,145.053507044101
210,145.054778879043
211,146.052821375915
212,146.05541794878
213,146.305819377339
214,146.305860990138
215,148.055510369487
216,148.057246595356
217,148.307328207428
218,149.056034696115
219,149.058893804752
220,150.309277006068
221,151.30843610119
222,153.061930946045
223,153.062147716477
224,153.312187099361
225,154.314631709316
226,156.314726204055
227,156.315906507127
228,157.065190258223
229,157.068930170755
230,157.316618975205
