# Domain: small_rectangle (FEM, eig)
# Hmax = 0.05, dofs = 2143, mesh nodes = 2331
# Computation time: 0.669 s
n,lambda_n
1,20.0000384903088
2,32.0001615371856
3,52.0007212128764
4,68.001538481021
5,80.0024368545318
6,80.0026506613194
7,100.004796552876
8,116.007970440886
9,128.010343751586
10,148.01597652349
11,160.019712259626
12,160.020652698873
13,164.022092287014
14,180.027368416075
15,208.042090734468
16,208.044903554342
17,212.047935741873
18,244.069073879235
19,260.084754250967
20,260.087484521024
21,272.095018633168
22,272.099690927981
23,288.115576909393
24,292.115778324246
25,320.150512065074
26,320.162523597148
27,340.189237010588
28,340.191926808023
29,356.207880802771
30,388.284493591291
31,400.297848038069
32,400.312851319401
33,404.315675632862
34,416.337161236511
35,416.344001632521
36,436.378408091995
37,452.432898512985
38,464.453464317105
39,464.480406713762
40,468.50046962635
41,500.569383614653
42,500.596086930575
43,512.628664957454
44,544.727312188208
45,544.781433734912
46,548.785865694113
47,580.905915619252
48,580.929084185175
49,592.964465066485
50,592.974242978364
51,596.959619057819
52,613.049253996033
53,629.18181988
54,641.18360811159
55,641.23332676987
56,657.288369973624
57,657.339301502515
58,677.384801911783
59,693.530806462064
60,721.669758337758
61,721.771850916145
62,725.744782074362
63,741.85745690106
64,741.932879114619
65,774.053113398371
66,790.251385517165
67,802.300288638381
68,802.342506466769
69,802.376386235435
70,822.454820436417
71,822.599808787072
72,834.539519536388
73,834.723944465633
74,850.689201667202
75,850.783544322109
76,886.989083482051
77,887.202858543575
78,903.235901405167
79,919.495350093045
80,931.491011081799
81,931.715539160963
82,935.775437098101
83,968.060357403306
84,980.116196006292
85,980.234936602904
86,984.101127944669
87,1032.88916120026
88,1044.86481619626
89,1044.99310439375
90,1045.07904538905
91,1045.2204779529
92,1049.20523263
93,1065.14557311916
94,1065.29430606294
95,1081.62681921278
96,1093.55854268508
97,1093.75278199064
98,1113.86030786903
99,1130.13712556057
100,1158.71074214766
101,1163.05766836158
102,1174.87965947678
103,1175.16883263958
104,1179.19044432687
105,1191.06218024065
106,1191.54240822891
107,1227.74165648088
108,1227.9673643457
109,1260.60909871003
110,1276.72959760585
111,1288.8280941618
112,1289.45707537326
113,1309.6077752771
114,1309.63653395687
115,1309.94617289951
116,1321.80805530036
117,1321.90328081575
118,1342.19922121685
119,1358.22517035509
120,1370.63173388822
121,1370.79404431539
122,1370.85087997937
123,1371.01667918007
124,1407.51519989743
125,1424.57132369395
126,1436.0289364607
127,1436.85671220188
128,1452.55579334087
129,1452.82420365781
130,1473.23497574399
131,1473.32419204636
132,1490.02156053652
133,1505.83731519604
134,1522.19358015152
135,1522.52767925194
136,1567.33474041146
137,1568.346667661
138,1572.48755906372
139,1584.57096603316
140,1604.87947743648
141,1616.80072740202
142,1618.11510569602
143,1621.5415837211
144,1633.68115960673
145,1633.69085654632
146,1637.24832698317
147,1654.11264596839
148,1682.90063225602
149,1683.05910396368
150,1704.44990586393
151,1715.71935674936
152,1717.18973886469
153,1720.17737247931
154,1720.3574125564
155,1721.00206352446
156,1754.54998970482
157,1765.65950561438
158,1766.03725210764
159,1802.93678546915
160,1803.43377754427
161,1819.34478780225
162,1832.60496241727
163,1833.07714529807
164,1852.81322279933
165,1870.89848925213
166,1881.48127422493
167,1882.90140758944
168,1898.66686653741
169,1900.09094253728
170,1936.48362533475
171,1951.79483725843
172,1954.18363561599
173,1970.22414714642
174,1970.71085206911
175,1982.46650281444
176,1982.57741696525
177,2002.61357055402
178,2003.08783425393
179,2031.492247189
180,2031.7685781507
181,2032.33380242747
182,2033.57671661933
183,2054.23028382184
184,2055.16719767762
185,2069.23399850271
186,2083.31007427226
187,2115.21811108021
188,2115.79492866252
189,2116.32464870191
190,2118.57731386579
191,2119.80951069647
192,2170.66872796317
193,2171.49110874283
194,2205.50640071141
195,2216.34196807957
196,2219.07637739684
197,2221.50401019505
198,2222.31734095123
199,2233.83985939733
200,2235.81269925127
201,2238.20380753984
202,2273.84199354886
203,2305.13149405278
204,2306.73146006282
205,2322.11797922249
206,2356.76088449278
207,2368.57851509628
208,2369.96917844624
209,2370.17050007538
210,2370.80844020578
211,2385.29707522834
212,2387.35860274091
213,2389.28740274778
214,2392.46368044945
215,2418.87681113519
216,2421.02919521742
217,2426.80028123861
218,2437.40241013012
219,2439.91139610713
220,2457.33268878885
221,2474.24769845531
222,2504.5623778576
223,2506.71709295561
224,2511.33146156829
225,2528.93191708706
226,2559.84092428014
227,2562.50000554354
228,2572.58775277169
229,2575.70429353711
230,2578.25427350955
231,2579.62198468145
232,2615.67703034372
233,2624.30622675643
234,2627.70845892265
235,2630.09558185144
236,2661.26169754783
237,2679.98353679951
238,2692.31913443014
239,2697.20313237144
240,2699.38400483493
241,2716.78020502412
242,2769.81475945458
243,2779.35653961229
244,2782.06649436247
245,2784.86272584826
246,2795.32065143852
247,2797.73622963462
248,2798.37102363873
249,2801.5497271318
250,2818.80232376725
251,2820.48445482749
252,2834.98417779771
253,2839.57947975635
254,2849.06476977216
255,2849.20565084036
256,2869.12248416507
257,2876.02295801971
258,2888.66830408572
259,2921.64806664997
260,2936.47970888394
261,2937.25382745973
262,2968.68756692304
263,2973.56240045884
264,2989.03761311138
265,2989.34863686043
266,2991.77859905531
267,2994.40922378566
268,2998.90287855442
269,3029.86716366279
270,3055.50441876459
271,3059.08557368207
272,3060.38093294115
273,3063.70948058047
274,3076.71407815849
275,3078.94466687443
276,3131.76475888991
277,3152.5600400078
278,3168.20683129838
279,3169.12565262489
280,3187.32151989434
281,3194.90523587936
282,3200.94246105493
283,3204.29645254294
284,3215.7270631377
285,3222.15469793227
286,3254.9492145775
287,3259.02992624429
288,3268.94422139299
289,3270.32139347933
290,3291.21879929852
291,3298.98463878935
292,3308.15871268405
293,3319.37469386848
294,3321.55081239603
295,3323.70820627219
296,3327.2113343786
297,3353.05612888653
298,3361.69668594085
299,3367.32516216481
300,3408.20456570186
301,3411.41869915482
302,3411.93357804708
303,3414.67031126512
304,3416.70419118516
305,3452.98291045316
306,3458.56779238151
307,3469.86173072409
308,3471.37720884746
309,3508.33309002121
310,3514.61173053876
311,3516.77220042731
312,3524.15569563745
313,3535.81234311399
314,3546.24682774191
315,3567.04360453494
316,3572.09009129258
317,3606.31498966379
318,3609.86812463628
319,3634.19285299423
320,3640.80932650469
321,3657.97727325183
322,3664.57878062386
323,3686.45042243267
324,3687.76264192458
325,3693.42008398307
326,3697.14864900586
327,3702.54593794058
328,3763.1467723946
329,3766.93084968195
330,3768.68178442984
331,3771.69794363826
332,3773.33254377343
333,3778.24307624066
334,3786.75362270596
335,3796.20292320797
336,3796.39977624428
337,3832.59492403421
338,3841.33678487139
339,3872.7207313576
340,3877.2423970716
341,3887.17818427439
342,3894.22637089742
343,3894.96513337353
344,3905.83702136752
345,3907.18466857825
346,3914.70230473538
347,3924.35714958109
348,3931.22196000136
349,3937.34023697462
350,3959.44878047035
351,3978.57776484426
352,3985.43868068253
353,4010.10570531167
354,4047.96333604349
355,4055.46090591075
356,4055.89243826406
357,4066.83640373865
358,4080.52237163306
359,4103.58731376122
360,4118.98226087191
361,4124.07059792744
362,4128.97779937741
363,4129.33711634977
364,4132.71583060263
365,4141.65181962709
366,4155.17671384228
367,4207.29275357316
368,4210.90157627871
369,4214.38826557041
370,4216.89764794471
371,4236.63915301983
372,4245.7548755022
373,4283.55652542341
374,4296.4129480181
375,4306.68918513573
376,4328.22555920465
377,4337.85678659064
378,4346.86958780437
379,4349.33406280175
380,4362.44108095081
381,4371.65011660106
382,4376.09977265451
383,4382.80547925942
384,4384.87606101686
385,4386.17196097578
386,4398.49766309253
387,4411.04163174642
388,4416.49699263574
389,4426.0208243924
390,4429.69475985127
391,4463.28519998625
392,4489.40900448385
393,4492.20376169718
394,4497.50381790799
395,4506.16746494445
396,4510.49331670538
397,4533.67980583835
398,4536.72671591572
399,4563.46544353045
400,4569.62580248465
401,4571.26939806728
402,4626.26660997702
403,4644.24128987163
404,4644.68043127096
405,4659.38589153896
406,4672.05827556816
407,4672.5976937089
408,4684.0636855558
