# Domain: square (FEM, eig)
# Hmax = 0.1, dofs = 4301, mesh nodes = 4549
# Computation time: 9.169 s
n,lambda_n
1,2.00000066709805
2,5.00001039296917
3,5.00001040639929
4,8.00004044357365
5,10.0000812688948
6,10.0000843688746
7,13.0001791470113
8,13.0001792468271
9,17.0004036617902
10,17.0004042125284
11,18.0004673722381
12,20.0006487849806
13,20.0006493662819
14,25.0012637407782
15,25.001265803547
16,26.0014304497891
17,26.0014514345175
18,29.0019651035134
19,29.0019700553903
20,32.0026146515413
21,34.003153152011
22,34.0031891426114
23,37.0041255014405
24,37.0041269965267
25,40.0051297200925
26,40.005141166471
27,41.005501753275
28,41.005514461786
29,45.0072390184166
30,45.0072472106206
31,50.0098534335254
32,50.0101988985891
33,50.0102513174988
34,52.0111263346532
35,52.0112617428361
36,53.0119650264505
37,53.0119756788337
38,58.0153980791811
39,58.0155363044473
40,61.0179903716181
41,61.018006115378
42,65.021675505414
43,65.0216911156827
44,65.0219613395716
45,65.0220232936587
46,68.0249606231763
47,68.0250007993771
48,72.0294648546563
49,73.0306748697495
50,73.0307075606616
51,74.0316798657414
52,74.0324059623344
53,80.0399889838405
54,80.0406149227449
55,82.0438363053909
56,82.0443527222769
57,85.0478307471092
58,85.0478811132866
59,85.048389977138
60,85.0484233227122
61,89.0549061140943
62,89.0549462223613
63,90.0568533379025
64,90.0570538558528
65,97.0707314788559
66,97.0707800648231
67,98.0728732332985
68,100.077163175274
69,100.077987107864
70,101.081426711225
71,101.081513108568
72,104.088470513577
73,104.088725305081
74,106.091223347701
75,106.092722388074
76,109.09885266001
77,109.098960632887
78,113.111605588781
79,113.111697747592
80,116.119126572992
81,116.120601409229
82,117.124001144733
83,117.124061106373
84,122.142396655918
85,122.14293561498
86,125.149530552808
87,125.149736176904
88,125.151454435918
89,125.151572845898
90,128.159674056942
91,130.166390463635
92,130.167137053665
93,130.168062816117
94,130.17044934026
95,136.190490490901
96,136.192876799231
97,137.196828760757
98,137.196874398417
99,145.229969718202
100,145.230350393283
101,145.235275553274
102,145.235779567981
103,146.235370573738
104,146.237236010254
105,148.245518367167
106,148.248222386472
107,149.250950002223
108,149.251343966694
109,153.270724842131
110,153.271148636585
111,157.291749171932
112,157.292049701951
113,160.310088126105
114,160.310135465787
115,162.322155920836
116,164.330820545717
117,164.338269534724
118,169.36053886827
119,169.36137905597
120,170.366903662814
121,170.368121427009
122,170.383007362267
123,170.384163093369
124,173.397365265268
125,173.397774614203
126,178.421799880498
127,178.422810084835
128,180.435899112521
129,180.441741849981
130,181.446149967935
131,181.446766572582
132,185.470075711794
133,185.470731219246
134,185.480023060348
135,185.480215019158
136,193.536389172571
137,193.536830175142
138,194.547381251319
139,194.550600399577
140,197.582933934195
141,197.58540982328
142,200.592753342232
143,200.604656243321
144,200.606902851957
145,202.607270139983
146,202.614411161493
147,205.635337126206
148,205.636982492744
149,205.640582081805
150,205.64138314791
151,208.659666773615
152,208.666058152193
153,212.705135930411
154,212.714160791569
155,218.757232116247
156,218.768289483835
157,221.7972278755
158,221.797633537848
159,221.799108941264
160,221.79959845203
161,225.839776238122
162,225.841381119202
163,226.854567275483
164,226.860788908908
165,229.879924143041
166,229.881142876246
167,232.91352344981
168,232.919291413073
169,233.930461902034
170,233.931185231063
171,234.935574646357
172,234.936020587069
173,242.023517630372
174,242.023683003854
175,243.04667584226
176,245.049863261796
177,245.07625797162
178,246.080155105472
179,246.082495074376
180,251.112113954983
181,251.134162210325
182,251.134941069627
183,251.157446413104
184,258.255839417464
185,258.256750133966
186,261.258137995949
187,261.269841028809
188,261.318420566897
189,261.321914447694
190,262.293506286937
191,262.294335526663
192,266.327877345638
193,266.329076359207
194,266.347061019697
195,266.348801287041
196,270.388359059168
197,270.390240844664
198,273.452238908667
199,273.456410672056
200,275.482963950739
201,275.502279356102
202,278.51556305763
203,278.517970367039
204,282.607324253959
205,282.609168482564
206,289.720262155978
207,290.711984917058
208,290.714587803521
209,291.720291250114
210,291.760325117424
211,291.810772460859
212,291.825424765357
213,293.78482281414
214,293.804498727701
215,294.8628026406
216,294.868110499472
217,297.826493765597
218,297.891494161815
219,299.902771979731
220,299.912180910027
221,307.002299514497
222,307.005586984146
223,307.051982150862
224,307.053831290139
225,308.013722916221
226,308.073818292464
227,315.17029092439
228,315.174031000277
229,316.222367309604
230,316.232760725701
231,319.276744113324
232,319.278805543335
233,322.312483275687
234,322.332486778561
235,327.419082016122
236,327.4213256605
237,327.43673800561
238,327.438524196396
239,327.472900887862
240,327.473811252967
241,330.496058616833
242,330.514357130198
243,335.60289367588
244,335.604874105737
245,339.707513120632
246,339.710074328247
247,340.702793056337
248,340.704577445238
249,340.774536667338
250,342.717794078548
251,342.723832861968
252,342.778052555444
253,342.836671939031
254,348.865118235172
255,348.945565052263
256,351.936501498397
257,351.939650623728
258,356.123633199369
259,356.126557359902
260,359.117457769284
261,359.172838302688
262,363.232699487638
263,363.246680441707
264,365.331150032846
265,365.387722010801
266,368.387326201485
267,368.395203251052
268,368.413666927548
269,368.417282970095
270,372.517327254104
271,372.522809279776
272,373.429015159386
273,373.46364337065
274,373.560160770919
275,373.583657915373
276,376.651835974086
277,376.655113002878
278,380.704670749621
279,380.707032825941
280,380.740853217805
281,380.744738049941
282,389.970847412281
283,389.978550461818
284,391.971048468671
285,392.068863432515
286,393.068401547902
287,393.07680068777
288,396.230703776221
289,398.151971858874
290,398.297317032074
291,401.310677067776
292,401.322814927854
293,404.347412963593
294,404.480664717211
295,405.541406882038
296,405.555220012304
297,408.612692973399
298,408.69183508226
299,409.551674347752
300,409.55766961747
301,413.646512944462
302,413.664543882521
303,414.665444897309
304,414.673691630496
305,414.679558074371
306,414.846710959866
307,420.938790908984
308,420.950499043828
309,426.159371747037
310,426.172296914429
311,429.16114302092
312,429.286303930099
313,430.21765684638
314,430.225342873399
315,430.257311517076
316,430.2597845792
317,430.364761402335
318,430.375984490791
319,438.54209664496
320,438.554304667248
321,441.623335759313
322,441.659797001756
323,447.708376764694
324,447.834346543176
325,448.061506151468
326,448.068849642881
327,450.982493308722
328,450.997769928103
329,451.106682292047
330,451.114156680231
331,455.091480159973
332,455.108856782192
333,456.141082985204
334,456.164479775442
335,456.24145719951
336,458.142279316543
337,458.295308112212
338,463.481051717522
