# Domain: square (FEM, solvepdeeig)
# Hmax = 0.05, dofs = 17953, mesh nodes = 18457
# Computation time: 4.306 s
n,lambda_n
1,2.0000000386076
2,5.00000060322547
3,5.00000060588242
4,8.00000235901167
5,10.0000047371413
6,10.0000049194307
7,13.0000103804839
8,13.0000104178503
9,17.0000235190565
10,17.0000237084826
11,18.0000271942702
12,20.0000375910747
13,20.0000379195098
14,25.0000737058234
15,25.0000739311311
16,26.0000839118322
17,26.0000854621629
18,29.0001147866344
19,29.0001148483822
20,32.0001516624979
21,34.0001840055016
22,34.000185991094
23,37.0002415820697
24,37.0002436976201
25,40.0002989929512
26,40.0003007712712
27,41.0003236946134
28,41.0003245786324
29,45.0004272817544
30,45.0004286197079
31,50.0005779863279
32,50.0005979038139
33,50.0006019203654
34,52.0006564113417
35,52.0006610262065
36,53.0006958201423
37,53.0006988489018
38,58.0009113607016
39,58.0009182237622
40,61.0010620361385
41,61.001063405664
42,65.0012815293233
43,65.0012818866682
44,65.0013077578986
45,65.0013195037498
46,68.0014691970974
47,68.0014740473755
48,72.0017345814199
49,73.0018143484537
50,73.0018202352884
51,74.0018980939061
52,74.0019022450967
53,80.0023868744137
54,80.0023965818207
55,82.0026272925267
56,82.002642813132
57,85.0028505308567
58,85.0028546786469
59,85.002895433137
60,85.0029026435251
61,89.003296284657
62,89.0033039740326
63,90.0034086437064
64,90.0034207769154
65,97.0042605947581
66,97.0042642791946
67,98.0043762171966
68,100.004649495275
69,100.004676973217
70,101.004885540438
71,101.004923182173
72,104.00525651011
73,104.005267623212
74,106.005535764497
75,106.005567718856
76,109.006047917669
77,109.006068194492
78,113.00672044666
79,113.006732064021
80,116.007250710008
81,116.007270106176
82,117.007457174007
83,117.007464996952
84,122.008604565708
85,122.008688916376
86,125.009058450129
87,125.009082579219
88,125.00912994402
89,125.009156408344
90,128.009723658254
91,130.010111197192
92,130.010168008312
93,130.010244726231
94,130.010388007364
95,136.01163272111
96,136.011730282073
97,137.011924204499
98,137.011960409793
99,145.014160967299
100,145.014182837742
101,145.01442240587
102,145.014508022936
103,146.014393912044
104,146.014472218426
105,148.015039914261
106,148.015076844147
107,149.015375235628
108,149.015404310492
109,153.016585072956
110,153.016657554278
111,157.017943455326
112,157.018006988391
113,160.018900002059
114,160.018953187452
115,162.019684534366
116,164.020319511273
117,164.020561900317
118,169.02229501992
119,169.022416041786
120,170.022598199063
121,170.022848060794
122,170.023111503108
123,170.02326878803
124,173.023898415302
125,173.023944969103
126,178.025996127284
127,178.026043276821
128,180.026849574399
129,180.027062761622
130,181.027397516446
131,181.027438629042
132,185.028989164601
133,185.029056043848
134,185.02939353442
135,185.029453660675
136,193.033144591797
137,193.033263762316
138,194.033467824029
139,194.033714099808
140,197.035890520343
141,197.036152532609
