"n","lambda_n"
1,7.773377025985197
2,8.5891118061788
3,13.950732173126948
4,13.954645947582645
5,14.312569921166489
6,17.720608527120074
7,19.747987877112227
8,24.83485880535005
9,26.430614909857802
10,26.48162365495362
11,33.08264230232743
12,37.23367359055925
13,37.30299090287784
14,39.2822124745841
15,40.80268072048696
16,42.34743567643138
17,45.389588800263326
18,46.416583150432345
19,47.60857007192677
20,49.47375380406395
21,49.48149599081523
22,52.17336456043364
23,55.10575168371488
24,58.96567701723399
25,62.94254673415407
26,63.07157366655763
27,63.40041862093853
28,65.79731496109943
29,67.85047446186324
30,72.47338405438619
31,77.4845748144383
32,79.47980927138397
33,80.36733227168584
34,80.44418351927644
35,85.83967306274194
36,86.68990739899701
37,88.63624118745084
38,92.01134756617806
39,92.97293787460615
40,96.37439397645835
