"n","lambda_n"
1,5.876309637066745
2,11.543795040477509
3,15.147076354818115
4,15.927043344519337
5,21.132001670407462
6,27.09676367896495
7,27.53448523542638
8,29.95454760995664
9,34.74769133298415
10,41.43419566289127
11,42.254695695938295
12,44.59737749429129
13,47.082782963576406
14,50.50838192930116
15,52.46412586411895
16,57.965446718240564
17,61.60350640507657
18,64.04463668311207
19,66.26123383168408
20,68.10863519287157
21,73.98023466833514
22,74.59856511377083
23,78.2619013517679
24,85.27983689688875
25,85.88064932636239
26,89.57758078979415
27,91.5176988049641
28,92.82355635493715
29,99.25395581803329
30,101.10597095860967
31,102.61578988431958
32,105.59650856708573
33,112.5053536297726
34,113.35454667762995
35,115.26567564650175
36,116.4282766346309
37,121.8368883737333
38,123.35449178126028
39,130.00534137056692
40,130.16757152200304
