"n","lambda_n"
1,1.2500027154406261
2,2.0000057413211234
3,3.2500374488812436
4,4.250169552201272
5,5.000172895885042
6,5.000197001379027
7,6.25020599925054
8,7.250739525460448
9,8.00036938518894
10,9.251909198619611
11,10.001913985769821
12,10.00218781448375
13,10.250920206293486
14,11.251953425564452
15,13.002134200457878
16,13.002384074377154
17,13.255469756212047
18,15.25272262020924
19,16.255692655742923
20,16.26056382836879
21,17.01057277423828
22,17.012077434922368
23,18.004257000580385
24,18.260630456187183
25,20.010861238352668
26,20.012342986154618
27,21.25768598652235
28,21.274243505064526
29,22.261557631721026
30,24.27457410710697
31,25.013294157596157
32,25.01452878944715
33,25.289535174027343
34,26.03955367638086
35,26.045130265533825
36,27.289653239311853
37,28.267067632733003
38,29.039998675228922
39,29.045556457020698
40,29.27705295765494
