"n","lambda_n"
1,49.34989194384875
2,98.71112037249665
3,128.33629524655092
4,167.85184044176657
5,197.50730373433137
6,246.9761756349671
7,256.85550103498105
8,286.562612519632
9,336.13864593134605
10,365.8781927734873
11,395.7156147991628
12,405.59554191270337
13,445.3551451439313
14,495.2235837395095
15,515.1028853508798
16,525.1192589078094
17,575.0723820181814
18,605.0161856607183
19,644.9934292228678
20,645.273179827485
21,675.2049208743864
22,724.9482592852178
23,735.5511948155635
24,796.1670330491282
25,816.5107174620273
26,846.7242625016647
27,847.9237247742886
28,887.5986069500648
29,897.2854933681745
30,969.3858205504715
31,999.575454270829
32,1008.8667999684598
33,1039.9115162344715
34,1061.9421215335078
35,1091.0565145156959
36,1134.5624511153128
37,1164.1581476826145
38,1175.6987740349525
39,1226.843587731321
40,1257.4620912653868
