# Domain: H_shaped (accuracy of the first 1000 eigenvalues against DOF, dense eig)
# Reference: DST at M = 161, dofs = 19981
# max_rel_error = max over k <= 1000 of |lambda_k - lambda_k^ref| / lambda_k^ref
method,resolution,dofs,max_rel_error,arg_max,rel_error_at_n,time_s
DST,M = 38,1080,0.124534900094,998,0.123101147525,0.0504
DST,M = 47,1665,0.00870481085775,1,0.000113876156155,0.1793
DST,M = 56,2376,0.00647918919868,1,7.3416074315e-05,0.3792
DST,M = 65,3213,0.0049466825615,1,0.000208897236096,0.7421
DST,M = 74,4176,0.00383482566021,1,0.000257764156303,1.4696
DST,M = 83,5265,0.00299633873427,1,0.000174099634581,2.6935
DST,M = 92,6480,0.00234415832399,1,0.0001208311438,4.8632
DST,M = 101,7821,0.00182443709327,1,8.50275218334e-05,7.8066
DST,M = 110,9288,0.00140171275181,1,5.99329728937e-05,12.7337
DST,M = 119,10881,0.0010521223295,1,4.17465439704e-05,19.6311
FD,M = 38,1080,0.415226547786,745,0.374801889145,0.0507
FD,M = 47,1665,0.403297425589,1000,0.403297425589,0.1487
FD,M = 56,2376,0.302674865955,1000,0.302674865955,0.3235
FD,M = 65,3213,0.229004761063,999,0.228528883482,0.6652
FD,M = 74,4176,0.181549265675,1000,0.181549265675,1.3274
FD,M = 83,5265,0.148440491743,997,0.147550362474,2.4604
FD,M = 92,6480,0.123114453541,999,0.122901829056,4.4270
FD,M = 101,7821,0.103804551896,999,0.102914502875,7.6560
FD,M = 110,9288,0.0880610455203,1000,0.0880610455203,13.4585
FD,M = 119,10881,0.0761176038834,1000,0.0761176038834,19.0397
FD,M = 131,13201,0.0605732440541,960,0.0601620017267,37.6361
FD,M = 140,15088,0.0539185196622,961,0.0512694844503,46.4757
FEM,Hmax = 0.154,1273,0.770932608702,998,0.769093616045,0.2159
FEM,Hmax = 0.1364,1499,0.53618550106,1000,0.53618550106,0.2214
FEM,Hmax = 0.1142,2315,0.299790563218,998,0.299788525113,0.9728
FEM,Hmax = 0.0982,3195,0.175500764434,998,0.175481297153,2.9477
FEM,Hmax = 0.0862,4199,0.0979947675683,983,0.09712931359,7.3353
FEM,Hmax = 0.0767,5273,0.0625805712688,990,0.0569723951918,15.2921
FEM,Hmax = 0.0692,6163,0.0514942386153,994,0.0479720850043,25.5731
FEM,Hmax = 0.063,7817,0.035061823422,998,0.0336501358183,50.7837
FEM,Hmax = 0.0578,9203,0.0256976937016,1000,0.0256976937016,82.9391
FEM,Hmax = 0.0534,11167,0.0182184359518,998,0.0180439113044,145.8721
FEM,Hmax = 0.0485,13615,0.0125592963365,998,0.0124636740892,270.4061
FEM,Hmax = 0.0453,15461,0.0100250476732,1000,0.0100250476732,377.8481
