# Domain: H_shaped (DST, dense eig full spectrum)
# Reference for the DOF requirement of the first 1000 eigenvalues
# Resolution M = 161, dofs = 19981
n,lambda_n
1,7.74964787468
2,8.56721177222
3,13.9359965512
4,13.9398812443
5,14.3056423018
6,17.7091209765
7,19.7392088022
8,24.8001857553
9,26.3882194107
10,26.4396047699
11,33.0221924593
12,37.1579428173
13,37.2214510694
14,39.1480917783
15,40.6533189935
16,42.248080048
17,45.2774574229
18,46.2972536795
19,47.4742260538
20,49.3480220055
21,49.3480220056
22,51.9913228192
23,54.9031060952
24,58.7510882632
25,62.6772952862
26,62.7917528291
27,63.1328216916
28,65.475828151
29,67.4797969593
30,72.0569405084
31,76.9529212764
32,78.9568352087
33,79.8291860352
34,79.9168448478
35,85.156346833
36,85.9194175074
37,87.8066534721
38,91.1442848956
39,92.1248500872
40,95.4026981596
41,95.6241403911
42,95.7607238085
43,97.8894083881
44,98.6960440109
45,98.6960440109
46,100.995068208
47,105.932513292
48,107.440475362
49,108.138588898
50,111.67523435
51,112.498380796
52,113.120980433
53,118.805057311
54,119.116805617
55,121.082674287
56,121.350708207
57,122.57443065
58,128.304857214
59,128.304857214
60,133.589469703
61,139.445336297
62,139.522911258
63,139.529527272
64,142.382125889
65,142.452941777
66,145.359808744
67,146.018247618
68,150.540624666
69,154.868468722
70,156.395860787
71,156.55763008
72,158.488028197
73,164.225054926
74,164.358021168
75,164.615804271
76,165.648202661
77,166.775006887
78,167.783274819
79,167.783274819
80,168.917756703
81,171.892806089
82,172.994509802
83,174.434874572
84,177.65287922
85,180.517716616
86,181.093903524
87,181.80187552
88,184.976566484
89,190.497925145
90,192.515792037
91,194.741409002
92,195.086548488
93,195.142225507
94,197.392088022
95,197.392088022
96,197.690749086
97,198.062124193
98,205.387424805
99,211.644684595
100,213.071062131
101,213.737070039
102,216.743915127
103,221.376656002
104,222.590464021
105,223.581102374
106,223.581472023
107,224.455052605
108,224.681531917
109,224.996502634
110,232.533814289
111,234.295777305
112,234.575832251
113,244.050871024
114,246.740110027
115,246.740110027
116,246.89313929
117,251.215724451
118,251.291658744
119,252.259998133
120,252.337558468
121,253.847246711
122,254.940532939
123,255.71252269
124,256.609714428
125,256.609714428
126,257.442013953
127,260.440666798
128,260.658150541
129,262.864471303
130,266.927847936
131,268.008344828
132,269.230902736
133,276.371157808
134,277.213479054
135,277.334861255
136,277.46388642
137,282.787094279
138,285.614811261
139,286.218527631
140,286.218527632
141,289.423638828
142,289.788779904
143,289.895931863
144,290.318808052
145,294.655656482
146,294.817473629
147,301.988047123
148,302.221615779
149,305.435849003
150,305.709921085
151,306.728686222
152,314.362083789
153,315.827340835
154,318.52608321
155,318.646774493
156,319.566925018
157,322.909017226
158,323.153436038
159,325.265855273
160,326.814178694
161,327.390707525
162,331.816132029
163,335.566549637
164,335.566549637
165,338.54893483
166,341.592751289
167,345.912275414
168,348.026442713
169,349.506171246
170,352.563509632
171,353.972327303
172,355.443701908
173,356.119306599
174,358.981046292
175,360.633561743
176,361.460157065
177,363.175236272
178,363.482704088
179,364.693544206
180,365.17536284
181,365.17536284
182,365.428686972
183,368.622479517
184,370.335508046
185,372.762918016
186,373.928178084
187,374.082079207
188,374.157006038
189,381.3676929
190,382.453486101
191,384.999663873
192,387.545239152
193,389.429400351
194,390.699492767
195,391.273640117
196,394.784176043
197,394.784176044
198,398.783288861
199,404.37141245
200,404.483602984
201,404.653780444
202,404.653780445
203,405.190599137
204,405.740127561
205,405.744567207
206,406.293441258
207,412.475757731
208,415.34339392
209,416.657297445
210,416.703224304
211,422.73283288
212,428.093042411
213,429.819467112
214,433.117071419
215,433.68909439
216,433.717555221
217,435.474194984
218,439.307847961
219,441.957937653
220,442.588835592
221,444.132198049
222,444.132198049
223,446.654192245
224,448.250623464
225,448.400356279
226,451.863863965
227,455.734061129
228,460.684169144
229,462.506794686
230,464.088592514
231,464.628233323
232,470.675557182
233,471.576053854
234,474.76709339
235,476.411918337
236,476.689163972
237,479.707164374
238,480.488299291
239,480.811579502
240,485.497057284
241,486.408298959
242,487.326144511
243,489.774752714
244,490.703294072
245,491.820462644
246,492.928401851
247,493.480220054
248,493.480220054
249,493.480220055
250,494.079467407
251,494.646397527
252,495.826301434
253,499.910579721
254,505.793562606
255,507.792552831
256,512.077958729
257,512.638060806
258,513.219428856
259,513.219428857
260,514.99302152
261,518.30138296
262,518.87293907
263,523.089033258
264,523.089033258
265,523.75690419
266,524.745536159
267,525.389363591
268,526.173093577
269,529.750335789
270,534.292022001
271,534.472222729
272,537.993095559
273,540.198966619
274,540.289807326
275,541.800011451
276,541.874591408
277,542.510877613
278,544.349568219
279,552.506775506
280,556.071821919
281,557.075799686
282,557.465587583
283,560.047741885
284,561.375181813
285,563.700354619
286,567.647275306
287,569.020942797
288,569.265659103
289,569.286444914
290,572.437055263
291,572.437055263
292,575.40558355
293,576.601623223
294,582.948552853
295,586.092941005
296,588.128192577
297,588.443570975
298,589.794465456
299,592.339431932
300,594.218486655
301,596.267809696
302,596.966406929
303,597.849672279
304,602.045868466
305,602.045868466
306,608.808173884
307,612.264105951
308,614.723984681
309,615.519666505
310,615.582884033
311,616.211994415
312,619.72713467
313,621.783067383
314,622.63512512
315,623.072989895
316,626.222642698
317,630.046346399
318,636.629077165
319,637.380370232
320,637.597139336
321,638.122330445
322,639.621037525
323,640.248819508
324,641.462800997
325,641.52428607
326,641.524286071
327,641.524286071
328,641.524286071
329,642.46464874
330,645.250621228
331,648.812757198
332,648.911725689
333,654.684894317
334,656.714476118
335,658.762608156
336,659.343414509
337,661.850133395
338,662.584679767
339,666.124496118
340,666.910183411
341,668.224604023
342,669.018896857
343,670.920043052
344,671.133099274
345,671.133099274
346,671.889212729
347,679.033304359
348,681.260999428
349,682.410885413
350,683.147358226
351,687.088939609
352,687.901296914
353,688.184292304
354,689.240581139
355,693.11208312
356,694.852672145
357,695.085790212
358,698.381929556
359,699.943339991
360,700.951546203
361,705.434682354
362,707.304466529
363,709.232640723
364,709.440815912
365,710.611516878
366,714.18932099
367,720.481121279
368,720.48112128
369,722.67175538
370,723.589761822
371,723.824930522
372,726.364732471
373,730.350725681
374,730.350725681
375,734.567330058
376,734.680971849
377,735.291287608
378,736.167515207
379,740.775255584
380,744.063965837
381,745.609606221
382,748.443052653
383,749.193498791
384,749.768651438
385,750.715361187
386,751.486932814
387,757.477747481
388,757.544255158
389,766.44103524
390,768.082034921
391,769.444343903
392,770.080989337
393,773.747651707
394,773.816462687
395,774.347290528
396,776.096343864
397,778.23665875
398,780.161189667
399,781.069547223
400,784.643792028
401,787.833753423
402,789.568352087
403,789.568352087
404,789.912857285
405,795.339691235
406,797.873304445
407,800.160457194
408,801.945925005
409,803.31830986
410,803.800895277
411,806.263115664
412,806.72847547
413,808.663271696
414,809.307560889
415,809.307560889
416,812.259168657
417,812.704508302
418,813.409214914
419,814.660840364
420,814.91228775
421,816.745870638
422,824.911196678
423,826.565244541
424,827.607053067
425,827.916891346
426,828.365359304
427,829.439567217
428,830.134553077
429,833.17466131
430,833.604844097
431,837.018310869
432,838.916374092
433,838.916374092
434,838.916374093
435,838.916374093
436,839.718425711
437,840.179533373
438,842.020650936
439,850.493750629
440,851.745979826
441,853.096892974
442,853.815640866
443,856.106110827
444,862.888245433
445,864.699576651
446,864.706776787
447,868.639084832
448,869.323899074
449,870.437125338
450,871.289920201
451,872.232220662
452,875.464905824
453,878.394791697
454,878.394791697
455,881.005272229
456,882.735616759
457,883.514121941
458,888.264396098
459,888.264396098
460,891.005849592
461,891.762194568
462,893.532159211
463,895.726717775
464,896.257632042
465,898.694886745
466,898.89449632
467,899.627817846
468,900.598010009
469,905.971301438
470,908.412454871
471,912.926714107
472,913.029925362
473,917.296991955
474,920.224816083
475,923.773797405
476,924.515569474
477,928.787169877
478,931.683200303
479,932.02236406
480,932.094138234
481,933.815685669
482,934.735627166
483,936.702587334
484,937.697350959
485,938.205770008
486,943.847137138
487,946.327665968
488,947.097365275
489,948.908739093
490,952.573881159
491,954.209522774
492,956.309711009
493,957.351626906
494,957.351626906
495,959.976273754
496,961.026811236
497,961.465157653
498,962.283874535
499,967.221231307
500,970.191877474
501,979.293877644
502,982.400878071
503,983.16370786
504,983.652153497
505,983.798524675
506,986.960440109
507,986.960440109
508,990.683788722
509,991.739394092
510,993.260640789
511,993.674762751
512,994.20938641
513,994.51158297
514,995.994878367
515,996.83004451
516,996.83004451
517,999.797078967
518,1001.10192331
519,1001.495817
520,1002.98940627
521,1005.85571635
522,1008.9036135
523,1009.36313258
524,1011.32559839
525,1011.87557138
526,1012.7273166
527,1013.51596208
528,1015.14184339
529,1019.31581916
530,1020.76509328
531,1022.91617959
532,1024.69401999
533,1024.92020136
534,1026.43717228
535,1026.43885771
536,1026.43885771
537,1026.74687508
538,1034.09507714
539,1039.33370721
540,1039.8687346
541,1041.89279681
542,1043.48378566
543,1045.29793068
544,1046.17806652
545,1046.17806652
546,1049.45171989
547,1054.66213893
548,1055.12276943
549,1055.41451629
550,1056.94426834
551,1062.30126924
552,1063.47156621
553,1063.8398717
554,1064.23564853
555,1065.2065417
556,1068.24700121
557,1070.77855641
558,1072.00274467
559,1075.78687972
560,1075.78687972
561,1076.73260919
562,1078.3322211
563,1078.91651198
564,1079.45228921
565,1087.40539271
566,1087.84577551
567,1088.85146648
568,1092.27425354
569,1093.03593549
570,1093.59662629
571,1093.64188983
572,1097.44450506
573,1100.80889333
574,1101.64581877
575,1102.24017167
576,1103.0861035
577,1109.1827799
578,1114.94067717
579,1115.26529732
580,1115.26529732
581,1115.35918803
582,1123.11801411
583,1124.56173374
584,1125.57111485
585,1129.06910768
586,1131.4403279
587,1132.51714117
588,1132.85868952
589,1135.17378612
590,1138.01383084
591,1138.95219109
592,1139.60062649
593,1139.76115648
594,1144.87411053
595,1144.87411053
596,1145.91609939
597,1154.15096479
598,1154.74371493
599,1154.74371493
600,1156.21383175
601,1156.25142951
602,1160.10943591
603,1161.06558249
604,1161.85752157
605,1163.84663945
606,1165.76465675
607,1166.43126649
608,1168.49670458
609,1173.0359952
610,1173.42681185
611,1174.86664725
612,1182.94882773
613,1183.43761663
614,1190.85318019
615,1193.51813192
616,1194.70969277
617,1195.25215145
618,1196.82515168
619,1197.36852136
620,1198.98249107
621,1200.9468476
622,1204.05088333
623,1204.09173693
624,1204.09173693
625,1204.5896221
626,1205.06042631
627,1205.30924054
628,1205.50610699
629,1206.30326039
630,1209.02051793
631,1210.07923497
632,1212.12833354
633,1212.81032728
634,1214.36717549
635,1217.79286013
636,1220.77223024
637,1221.35283543
638,1222.49815482
639,1223.19244214
640,1224.51221059
641,1224.90864531
642,1228.16791055
643,1228.81480304
644,1229.88706579
645,1231.26045759
646,1233.70055014
647,1233.70055014
648,1233.70055014
649,1233.70055014
650,1242.79071514
651,1243.78144879
652,1246.78246166
653,1247.26002345
654,1248.39041872
655,1252.69018294
656,1252.85975987
657,1255.71447083
658,1260.91834113
659,1261.99053138
660,1263.30936334
661,1267.6841738
662,1270.07521684
663,1270.45198538
664,1273.34775321
665,1276.1821465
666,1277.50487098
667,1277.90485655
668,1277.95433041
669,1278.28327406
670,1280.42793381
671,1283.04857214
672,1283.04857214
673,1283.04857214
674,1283.04857214
675,1283.57914772
676,1286.59847698
677,1290.0309921
678,1291.65107441
679,1294.37177319
680,1297.00665086
681,1298.8428394
682,1302.74213001
683,1304.47987595
684,1305.2928916
685,1305.88308938
686,1306.31046356
687,1307.12650587
688,1310.0134387
689,1311.77233592
690,1317.16924693
691,1318.58654892
692,1320.59676671
693,1325.50682127
694,1330.52010486
695,1330.77895625
696,1338.11071524
697,1339.03495709
698,1339.82683887
699,1340.61304125
700,1342.26619855
701,1342.26619855
