# Domain: L_shaped (accuracy of the first 1000 eigenvalues against DOF, dense eig)
# Reference: DST at M = 163, dofs = 19845
# max_rel_error = max over k <= 1000 of |lambda_k - lambda_k^ref| / lambda_k^ref
method,resolution,dofs,max_rel_error,arg_max,rel_error_at_n,time_s
DST,M = 37,1008,0.386362130269,1000,0.386362130269,0.2027
DST,M = 45,1496,0.00336031581195,1,0.000313699677141,0.5437
DST,M = 55,2241,0.00241049720912,1,0.000281013948066,2.3376
DST,M = 65,3136,0.00178751274295,1,0.000143897922121,7.7463
DST,M = 75,4181,0.00135139659787,1,8.38267895729e-05,17.8817
DST,M = 85,5376,0.00103121499232,1,5.25855136256e-05,40.5420
DST,M = 95,6721,0.000787452209865,1,3.44235132009e-05,79.2046
DST,M = 105,8216,0.000596474701255,1,2.30111226887e-05,134.1927
DST,M = 115,9861,0.000443342480973,1,1.54160840946e-05,226.7492
FD,M = 37,1008,0.417008728491,717,0.349440694043,0.0357
FD,M = 45,1496,0.418028945227,992,0.414751361484,0.1046
FD,M = 55,2241,0.319456070084,995,0.316977284378,1.2039
FD,M = 65,3136,0.234818179634,994,0.232905131512,0.6373
FD,M = 75,4181,0.179477990076,991,0.175810639086,1.3566
FD,M = 85,5376,0.146168368671,993,0.139072676624,2.7765
FD,M = 95,6721,0.118361337471,991,0.113869133983,5.0751
FD,M = 105,8216,0.101097276501,990,0.0920624998197,8.7863
FD,M = 115,9861,0.0860878996916,990,0.0769282892641,14.5577
FD,M = 127,12033,0.0713972194444,990,0.0670941088684,27.0440
FD,M = 141,14840,0.0582576119562,993,0.0542781331755,52.4273
FEM,Hmax = 0.11,1029,1.02395776356,1000,1.02395776356,0.1689
FEM,Hmax = 0.1,1313,0.772794669195,1000,0.772794669195,0.1729
FEM,Hmax = 0.085,1837,0.421098183032,1000,0.421098183032,0.4869
FEM,Hmax = 0.0755,2257,0.311770692871,1000,0.311770692871,0.7865
FEM,Hmax = 0.066,2985,0.198105357649,1000,0.198105357649,2.2892
FEM,Hmax = 0.06,3663,0.143021366041,987,0.142937682219,4.8856
FEM,Hmax = 0.055,4329,0.0837485187326,1000,0.0837485187326,8.4625
FEM,Hmax = 0.051,5163,0.0640286033084,966,0.063818792507,15.0629
FEM,Hmax = 0.0446,6659,0.0439447771559,999,0.0438953869118,32.1256
FEM,Hmax = 0.0395,8567,0.0286450230893,1000,0.0286450230893,67.7222
FEM,Hmax = 0.036,10509,0.0197379617317,1000,0.0197379617317,122.8231
FEM,Hmax = 0.03,14955,0.010435490566,1000,0.010435490566,345.2154
