# Domain: L_shaped (DST, dense eig full spectrum)
# Reference for the DOF requirement of the first 1000 eigenvalues
# Resolution M = 163, dofs = 19845
n,lambda_n
1,9.64701271181
2,15.1972230046
3,19.7392088026
4,29.5214694791
5,31.930402727
6,41.4878942942
7,44.9483391621
8,49.3480220054
9,49.3480220059
10,56.7245268935
11,65.3763432128
12,71.0753051175
13,71.5726744087
14,78.9568352089
15,89.354620445
16,92.3067891293
17,97.3804780145
18,98.6960440108
19,98.6960440108
20,101.630222911
21,112.375173049
22,115.519471807
23,128.304857214
24,128.304857214
25,130.119025932
26,130.270732769
27,142.487715722
28,151.120244666
29,154.560235232
30,162.196498564
31,164.715239143
32,164.853129665
33,167.783274818
34,167.783274819
35,177.652879219
36,179.73746299
37,184.059520252
38,197.392088022
39,197.392088022
40,201.484593262
41,207.409714951
42,208.773926349
43,209.480691524
44,223.219692277
45,223.632633183
46,236.202308414
47,238.416871662
48,246.740110027
49,246.740110027
50,250.821010951
51,252.87422481
52,256.609714428
53,256.609714428
54,265.786572759
55,269.439787977
56,270.225548982
57,281.350730592
58,286.218527632
59,286.218527632
60,289.095614
61,293.607165949
62,306.780373873
63,306.938277327
64,310.3724639
65,313.79123654
66,315.827340835
67,335.55459371
68,335.566549637
69,335.566549637
70,335.821730018
71,346.131172911
72,351.453381478
73,359.761348645
74,360.505682329
75,365.17536284
76,365.17536284
77,369.547325859
78,372.26692427
79,376.164810124
80,382.898283552
81,389.864861948
82,390.501198676
83,394.784176043
84,394.784176044
85,404.653780445
86,404.653780445
87,415.714057444
88,419.636950358
89,426.72147931
90,427.081398725
91,432.925040347
92,443.813450087
93,444.132198049
94,444.132198049
95,454.122442245
96,454.127084189
97,454.176719251
98,464.455779444
99,478.853994856
100,479.674463314
101,485.853511146
102,490.15616565
103,493.480220054
104,493.480220055
105,493.480220055
106,499.366721353
107,502.299810046
108,512.61509425
109,513.219428857
110,513.219428857
111,513.567716158
112,523.089033258
113,523.089033258
114,530.417177882
115,536.758290184
116,545.126389415
117,546.236378744
118,559.286577347
119,563.833433551
120,565.027731936
121,565.479690004
122,572.437055263
123,572.437055263
124,575.789475629
125,578.192704072
126,591.64408152
127,592.00270666
128,602.045868466
129,602.045868467
130,605.553551445
131,609.578925855
132,630.536626734
133,634.186544271
134,636.952019238
135,641.524286071
136,641.524286071
137,641.524286071
138,641.524286071
139,641.882123009
140,642.601161775
141,648.988978957
142,654.169277512
143,660.689784731
144,663.65779615
145,671.133099274
146,671.133099274
147,674.431436079
148,685.718054997
149,686.817823237
150,691.96022317
151,698.959601287
152,710.611516879
153,714.880675246
154,715.540113474
155,720.48112128
156,720.48112128
157,722.622183278
158,722.655589671
159,730.350725681
160,730.350725681
161,747.149329962
162,747.812376341
163,753.385389429
164,753.690723691
165,759.206181016
166,764.144124919
167,780.968276608
168,789.568352087
169,789.568352087
170,790.055625457
171,795.340572913
172,797.355038847
173,801.28903484
174,806.804478157
175,807.725841624
176,807.939284136
177,809.307560889
178,809.307560889
179,824.874292528
180,826.693887714
181,833.469848518
182,837.265975672
183,838.916374092
184,838.916374092
185,838.916374093
186,838.916374093
187,855.915320396
188,860.606700886
189,875.05799638
190,875.21978455
191,878.394791697
192,878.394791697
193,880.903876389
194,888.264396098
195,888.264396098
196,892.117991093
197,900.098973167
198,900.121042964
199,903.445778914
200,919.044854012
201,919.627487085
202,923.300503379
203,929.085370051
204,929.292600118
205,937.283435084
206,938.386139282
207,957.351626906
208,957.351626906
209,960.041074034
210,961.975372177
211,967.221231307
212,973.170520484
213,974.011325209
214,986.960440109
215,986.960440109
216,992.436482367
217,993.832679319
218,996.83004451
