# Domain: ellipse_minus_quadrant (accuracy of the first 1000 eigenvalues against DOF, dense eig)
# Reference: DST at M = 259, dofs = 19783
# max_rel_error = max over k <= 1000 of |lambda_k - lambda_k^ref| / lambda_k^ref
method,resolution,dofs,max_rel_error,arg_max,rel_error_at_n,time_s
DST,M = 59,1024,0.234520515012,1000,0.234520515012,0.0511
DST,M = 71,1486,0.0320460801075,894,0.0295317411859,0.1392
DST,M = 83,2029,0.0240748141971,773,0.0213083812469,0.3511
DST,M = 95,2662,0.0202026301622,895,0.0174771095059,0.5211
DST,M = 107,3385,0.0205246070112,413,0.0157710771136,0.8486
DST,M = 123,4465,0.0147667064453,413,0.0108382751974,1.7591
DST,M = 139,5704,0.0137883194854,413,0.00818864386588,3.4552
DST,M = 155,7093,0.0100566597594,446,0.0063098868012,6.1037
DST,M = 171,8632,0.00792734725305,413,0.00498627491842,10.5763
DST,M = 187,10315,0.00733747475075,784,0.00303984744163,17.4777
FD,M = 59,1024,0.433996407892,706,0.377260305364,0.0390
FD,M = 71,1486,0.431032679072,996,0.429974200092,0.1071
FD,M = 83,2029,0.364753817427,998,0.364534673998,0.2366
FD,M = 95,2662,0.282882243064,998,0.281874609671,0.4234
FD,M = 107,3385,0.229701115243,998,0.228894132057,0.7748
FD,M = 123,4465,0.17777356945,998,0.176627906078,1.6105
FD,M = 139,5704,0.141391821738,996,0.14002338193,3.1238
FD,M = 155,7093,0.115974745134,998,0.114339387213,5.6388
FD,M = 171,8632,0.0968848918079,998,0.0941996796274,9.9969
FD,M = 187,10315,0.0811027825144,998,0.0786314518477,16.6599
FD,M = 207,12646,0.0665445880496,998,0.0654207852946,30.9294
FD,M = 223,14677,0.0573957782157,969,0.0552500421724,48.8399
FEM,Hmax = 0.131,1210,0.834763647382,1000,0.834763647382,0.2167
FEM,Hmax = 0.12,1454,0.630602809691,1000,0.630602809691,0.1983
FEM,Hmax = 0.1027,2042,0.381956933014,1000,0.381956933014,0.6278
FEM,Hmax = 0.0897,2671,0.250014724635,1000,0.250014724635,1.4700
FEM,Hmax = 0.0795,3409,0.173427476321,981,0.17330631509,3.7820
FEM,Hmax = 0.0692,4537,0.0875023358019,991,0.0869550778648,9.8929
FEM,Hmax = 0.0613,5867,0.0656830164399,991,0.0617291455238,191.8324
FEM,Hmax = 0.0549,7323,0.0501394513612,991,0.0461933993517,39.3732
FEM,Hmax = 0.0498,8964,0.0384425070803,991,0.034790072926,69.9312
FEM,Hmax = 0.0455,10758,0.0303433377208,992,0.0274922696117,127.2787
FEM,Hmax = 0.0411,13211,0.0241244195314,992,0.0217722610392,240.0583
FEM,Hmax = 0.0382,15368,0.0206925716512,992,0.0179536143202,394.9014
