# Domain: ellipse_minus_quadrant (DST, dense eig full spectrum)
# Reference for the DOF requirement of the first 1000 eigenvalues
# Resolution M = 259, dofs = 19783
n,lambda_n
1,5.8238358902
2,11.4376687578
3,15.0284516756
4,15.7737159754
5,20.9655346705
6,26.8696297831
7,27.3272633312
8,29.6258262816
9,34.481596961
10,40.9777763617
11,41.8953209213
12,44.2207949724
13,46.5641025317
14,49.870118575
15,52.0020115309
16,57.308926984
17,60.9705961828
18,63.3142628957
19,65.6158517875
20,67.237135515
21,72.8998827
22,73.7708039037
23,77.2561072753
24,84.1836778405
25,84.7205052687
26,88.3353203737
27,90.2594388946
28,91.4352025034
29,97.4298916474
30,99.6664184799
31,101.116338416
32,103.504651926
33,110.45085718
34,111.515823627
35,113.300140899
36,114.214301913
37,119.708374232
38,120.918982113
39,127.343949305
40,127.376765717
41,130.666894542
42,135.767257803
43,138.784306268
44,142.273021749
45,142.692384179
46,142.910219821
47,147.928246766
48,153.183445037
49,154.666736539
50,158.594857087
51,160.169447632
52,164.887357149
53,167.104935577
54,170.599038955
55,175.441264411
56,176.639445509
57,177.153708982
58,178.190907517
59,179.728687676
60,185.829278083
61,189.345599932
62,190.22410095
63,194.524604154
64,197.126155282
65,202.521572716
66,203.56784953
67,207.048096527
68,212.861639283
69,214.940124637
70,216.498212098
71,217.235315129
72,218.100892163
73,220.826317706
74,222.999615286
75,230.703494867
76,231.204438025
77,234.558753592
78,239.767361791
79,240.721519629
80,245.204927669
81,248.3265605
82,253.255198168
83,254.684902815
84,257.731728839
85,259.614916736
86,260.227772795
87,261.091087431
88,261.952345193
89,269.03063509
90,269.264659416
91,275.260418149
92,278.210722265
93,278.751524909
94,281.265776379
95,284.607988878
96,290.842311151
97,292.401145101
98,297.94089265
99,300.856169537
100,301.088337901
101,302.466174009
102,306.245081394
103,306.862013363
104,309.472391655
105,310.895208954
106,319.433476907
107,319.888419247
108,323.30193458
109,324.23284056
110,325.341746047
111,329.512896839
112,333.681940005
113,340.105855493
114,340.861949055
115,346.467386444
116,348.484461901
117,349.545551622
118,351.703983669
119,354.436713251
120,357.153388971
121,357.431407839
122,362.630030166
123,364.269399776
124,366.267710101
125,371.333750663
126,374.947180199
127,374.962760479
128,377.997566565
129,381.377191706
130,382.711033622
131,388.172184188
132,390.339438055
133,392.988842784
134,398.483758047
135,400.504307325
136,401.790000556
137,404.387981065
138,406.666355904
139,410.199255252
140,411.033815649
141,413.042257312
142,414.537034951
143,420.961084467
144,425.040443092
145,425.250760449
146,429.077040611
147,430.242604519
148,437.652273173
149,437.912260369
150,441.211459222
151,441.88755729
152,445.66098585
153,449.488933573
154,454.695485633
155,456.27753035
156,458.705396328
157,459.795087217
158,464.443886102
159,465.460132465
160,466.030032975
161,468.562072422
162,471.982808523
163,476.104700797
164,482.485226387
165,484.661330444
166,487.629607824
167,488.7946288
168,489.127153535
169,492.559104381
170,493.615085916
171,501.355463927
172,504.314679006
173,506.054029204
174,509.601350671
175,512.912587374
176,514.042776867
177,516.394522216
178,518.430185337
179,522.010377033
180,522.307083771
181,522.873261828
182,529.116461041
183,529.908011977
184,530.966183107
185,534.405811806
186,543.707285719
187,543.846181069
188,547.621585002
189,549.797084194
190,550.696657618
191,551.656265985
192,553.344472537
193,560.052306293
194,563.270434597
195,570.719456454
196,572.412431877
197,573.305382272
198,575.504655464
199,580.068098439
200,581.208920352
201,582.299779163
202,583.135843394
203,585.586773657
204,588.312077166
205,591.307525969
206,594.935085041
207,596.906516999
208,599.172389055
209,602.299153597
210,604.672737021
211,614.608795784
212,615.99994813
213,617.0870121
214,617.697140164
215,618.333639284
216,619.894620228
217,631.762424653
218,632.426511036
219,633.086484956
220,638.944036696
221,640.577591533
222,642.717164774
223,647.187320453
224,648.398563006
225,650.445844968
226,650.86568933
227,652.730738934
228,656.356423335
229,660.16045783
230,663.40381695
231,663.826129567
232,664.707163506
233,665.373635989
234,668.440235234
235,673.416489491
236,678.515711379
237,683.121947299
238,687.280861519
239,687.46351932
240,688.871240785
241,692.494554831
242,694.033927982
243,697.268921334
244,698.109119311
245,705.767498537
246,711.400740744
247,713.832437315
248,717.365764903
249,717.746091233
250,718.493182699
251,721.015950928
252,722.117619908
253,723.895228541
254,728.298967917
255,732.323498361
256,733.210534016
257,735.64977081
258,736.366519338
259,742.43569978
260,742.694669582
261,743.323738656
262,747.503789798
263,754.991523331
264,758.930386631
265,759.282802132
266,760.537145554
267,764.466915508
268,765.090035096
269,768.283567639
270,770.109358036
271,777.824328814
272,781.757732942
273,785.797893957
274,789.981979999
275,791.554735625
276,793.954302471
277,795.905649613
278,796.787907685
279,797.220062706
280,799.489212119
281,801.259170621
282,802.912747225
283,806.332132487
284,811.481404289
285,814.343120664
286,816.544315092
287,820.422075356
288,822.075549508
289,822.948428262
290,827.637632839
291,831.021725649
292,831.737395718
293,834.763294705
294,837.265884869
295,838.832915058
296,844.132018079
297,846.335931303
298,847.707028678
299,850.538883635
300,860.123627306
301,861.91304942
302,863.821419683
303,863.889701713
304,869.224224498
305,869.936489275
306,872.387210576
307,875.675322691
308,877.287619621
309,878.131459611
310,880.788440068
311,884.078213969
312,886.203619668
313,890.518473658
314,890.732672773
315,898.358629095
316,899.899460586
317,900.778787258
318,903.225966688
319,905.266661649
320,910.733166361
321,912.798183221
322,914.828273246
323,917.562816986
324,919.097589458
325,922.324981678
326,926.271335769
327,933.00748974
328,934.868704636
329,935.439515138
330,937.847373083
331,939.170517365
332,945.228227026
333,946.992410387
334,952.255700284
335,952.838600908
336,955.935988614
337,956.751330368
338,959.260228512
339,963.960994542
340,965.167372162
341,965.841150069
342,971.358654969
343,973.330574515
344,974.61145477
345,977.864102253
346,980.065952016
347,984.929916608
348,990.361907625
349,991.926230898
350,992.437275298
351,995.408691838
352,996.977487959
353,1000.31798912
354,1001.80125257
355,1007.15750665
356,1010.0220509
357,1011.48730277
358,1016.40703282
359,1018.89872231
360,1022.89846974
361,1024.68121078
362,1025.53623444
363,1030.38909986
364,1032.5181902
365,1034.42199334
366,1037.00981418
367,1038.80959675
368,1040.53391067
369,1044.10137456
370,1047.22502366
371,1051.94824139
372,1053.18793536
373,1053.56496738
374,1054.2859612
375,1058.06414877
376,1059.31853743
377,1062.85344572
378,1063.69028872
379,1072.67425396
380,1075.28622499
381,1081.70718544
382,1083.10421676
383,1083.54306897
384,1084.65392228
385,1089.13846597
386,1089.23530333
387,1091.29906504
388,1093.15091659
389,1095.43870405
390,1099.89548076
391,1107.62055328
392,1111.57603058
393,1114.6663903
394,1118.62931874
395,1119.57888873
396,1121.65210742
397,1124.47473314
398,1126.12203707
399,1127.08377467
400,1128.43383303
401,1131.46602569
402,1132.05879599
403,1134.43320764
404,1137.77255168
405,1142.121067
406,1143.84325786
407,1146.488504
408,1147.88596483
409,1149.08210106
410,1154.4375835
411,1157.97569552
412,1160.43837616
413,1169.22823375
414,1171.38416172
415,1171.60178664
416,1172.84581006
417,1177.99567631
418,1179.25662443
419,1180.39900739
420,1182.88993627
421,1184.68786587
422,1189.13260151
423,1191.42242579
424,1193.06371811
425,1199.46752198
426,1209.19765927
427,1210.95424655
428,1211.4652622
429,1213.67586863
430,1216.1370817
431,1218.180234
432,1218.45216282
433,1220.0455913
434,1221.46500381
435,1224.81792902
436,1225.97295602
437,1227.59370654
438,1230.91132682
439,1234.41701938
440,1237.71058735
441,1240.887032
442,1243.06679409
443,1243.25742361
444,1244.7328285
445,1244.76332422
446,1256.67107475
447,1256.8053436
448,1258.62228405
449,1263.88038093
450,1264.87250466
451,1267.4785007
452,1273.32214355
453,1274.7172152
454,1275.03944149
455,1276.31783952
456,1278.94361173
457,1281.27711255
458,1289.04102008
459,1291.1931931
460,1294.7744003
461,1298.63052507
462,1302.68253026
463,1305.93871088
464,1306.64806773
465,1310.16069628
466,1311.95707402
467,1315.85390443
468,1317.41190811
469,1319.50715872
470,1322.94277079
471,1323.48301262
472,1324.29491194
473,1324.47277438
474,1329.22392184
475,1332.73864247
476,1340.18164255
477,1341.14748291
478,1341.42247034
479,1343.8724053
480,1344.23176944
481,1346.66911742
482,1347.56906391
483,1350.22379013
484,1357.13677624
485,1360.5878543
486,1366.18148028
487,1366.66964362
488,1368.28395275
489,1372.18723279
490,1373.12689459
491,1378.01143473
492,1378.96267524
493,1384.84587292
494,1385.34247549
495,1389.36905335
496,1391.82964504
497,1395.00421397
