# Domain: gww2 (accuracy of the first 1000 eigenvalues against DOF, dense eig)
# Reference: DST at M = 227, dofs = 19875
# max_rel_error = max over k <= 1000 of |lambda_k - lambda_k^ref| / lambda_k^ref
method,resolution,dofs,max_rel_error,arg_max,rel_error_at_n,time_s
DST,M = 53,1054,0.1696093021,1000,0.1696093021,0.0478
DST,M = 65,1596,0.0156898594542,814,0.0132349949281,0.1475
DST,M = 77,2250,0.0107635244189,985,0.00923684959425,0.3417
DST,M = 89,3016,0.00492487114366,951,0.0037143734626,0.6548
DST,M = 101,3894,0.00337367807248,920,0.0021860624798,1.2755
DST,M = 113,4884,0.00231028844416,973,0.00128063354326,2.5981
DST,M = 125,5986,0.00150583512059,973,0.00078031041596,3.9004
DST,M = 137,7200,0.0010139072616,973,0.000474634605238,6.9323
DST,M = 149,8526,0.000695076045739,973,0.000275234618974,10.8787
DST,M = 167,10725,0.000396645895975,999,8.95116397796e-05,20.0388
FD,M = 53,1054,0.422581630248,746,0.373869847372,0.0424
FD,M = 65,1596,0.413034842866,1000,0.413034842866,0.1295
FD,M = 77,2250,0.319699928922,1000,0.319699928922,0.3000
FD,M = 89,3016,0.240732632195,1000,0.240732632195,0.6566
FD,M = 101,3894,0.191526574454,996,0.189714649398,1.1471
FD,M = 113,4884,0.155228554139,998,0.154619950949,2.1136
FD,M = 125,5986,0.127544938549,997,0.126878617799,3.6699
FD,M = 137,7200,0.106704915165,985,0.10632895724,6.0546
FD,M = 149,8526,0.0918626441728,996,0.0913770411195,9.2480
FD,M = 167,10725,0.0749168761318,985,0.074234067694,19.2435
FD,M = 185,13176,0.061700885907,986,0.0590602336139,37.6626
FD,M = 197,14950,0.0554945144236,985,0.0513230824142,56.3516
FEM,Hmax = 0.215,1246,0.794688235949,971,0.793820601364,0.2029
FEM,Hmax = 0.1979,1524,0.540895923222,1000,0.540895923222,0.2727
FEM,Hmax = 0.1667,2168,0.332673171912,1000,0.332673171912,0.8290
FEM,Hmax = 0.144,2960,0.199278697696,999,0.198591936408,2.5354
FEM,Hmax = 0.1267,3876,0.13219363061,991,0.130756117383,5.7886
FEM,Hmax = 0.1131,4920,0.0661683151124,989,0.0653905662673,12.2594
FEM,Hmax = 0.1022,6032,0.052180554799,994,0.0520023466968,22.6640
FEM,Hmax = 0.0932,7010,0.0399706997573,994,0.0392061160982,34.6142
FEM,Hmax = 0.0856,8390,0.0296505335622,997,0.0293253366997,59.8649
FEM,Hmax = 0.0763,10664,0.0194864455268,999,0.019118410411,123.3774
FEM,Hmax = 0.0689,13226,0.0132031926259,999,0.0128996390609,241.0769
FEM,Hmax = 0.0647,15030,0.0104526144491,999,0.0101934613301,369.2685
