# Domain: gww2 (DST, dense eig full spectrum)
# Reference for the DOF requirement of the first 1000 eigenvalues
# Resolution M = 227, dofs = 19875
n,lambda_n
1,2.53986832341
2,3.65739884578
3,5.17932271999
4,6.53827679729
5,7.25162884392
6,9.21090789751
7,10.5991013069
8,11.541921106
9,12.3369938175
10,13.0592097001
11,14.315721086
12,15.8795352905
13,16.9416348519
14,17.6672986479
15,18.9920645983
16,20.8840530867
17,21.2591978215
18,22.2424711139
19,23.7117693562
20,24.4795552406
21,24.6739278282
22,26.085973276
23,27.3091473177
24,28.1782625789
25,29.5718609997
26,31.4863009043
27,32.0761817901
28,32.2240366005
29,32.9091277738
30,34.1376341394
31,36.2657509967
32,37.1043449513
33,38.7968568921
34,38.9543266097
35,40.8393072141
36,40.9678790151
37,41.4501699519
38,41.9455258453
39,44.1507193947
40,44.4814952148
41,45.8496602914
42,46.69961439
43,47.4457709893
44,49.3478344346
45,49.9340892331
46,50.2880657821
47,52.0295293496
48,52.5383766077
49,53.3963959424
50,54.1994816099
51,56.2785033746
52,57.0601947356
53,58.1455008542
54,59.1537402119
55,61.6849636013
56,61.7305942961
57,62.8550696779
58,63.2030183076
59,63.2910354267
60,64.1516773951
61,64.7957039034
62,66.471342488
63,67.1870766303
64,69.4919785405
65,70.0650010487
66,70.6708003091
67,71.5540561149
68,71.5835183843
69,72.3881393363
70,75.0264754023
71,76.5098314669
72,76.8761218181
73,77.2683887424
74,77.3922570541
75,79.7003847663
76,80.7089050715
77,81.6962165029
78,83.8227585566
79,83.8523539603
80,83.8913029165
81,85.754911863
82,86.0329855325
83,87.4685190189
84,89.028812316
85,90.4813490094
86,90.9441374865
87,91.2905578204
88,91.2924119536
89,92.2486485454
90,93.3638952844
91,94.7693210718
92,96.2910442189
93,97.9436633032
94,98.5907736888
95,98.6947044528
96,98.9163701865
97,101.163339105
98,101.959642041
99,102.92557936
100,103.414685557
101,104.671190602
102,105.611225462
103,106.504520368
104,106.630682071
105,109.421564649
106,109.964619579
107,110.889648366
108,111.032094848
109,112.892476572
110,113.033765438
111,114.172315131
112,114.774986349
113,116.168844878
114,118.534714311
115,119.608051776
116,119.743683507
117,121.653812511
118,122.623442782
119,122.959836033
120,123.125296322
121,123.367036863
122,124.981630185
123,126.014969253
124,127.160270577
125,128.304332425
126,128.705132215
127,129.019901913
128,130.769601321
129,131.236084082
130,131.448399502
131,131.932513046
132,133.499443939
133,134.933732332
134,136.668813938
135,138.004210204
136,139.650517976
137,139.776987207
138,140.666314008
139,140.801016957
140,141.259248174
141,142.915999629
142,143.107162335
143,144.982623418
144,146.971656455
145,147.497100851
146,149.354726917
147,149.846254566
148,150.421350625
149,150.51130805
150,151.873793725
151,151.917022871
152,153.417125062
153,155.455959005
154,157.002901476
155,158.15601714
156,159.354125954
157,159.803501024
158,159.848420143
159,160.375856348
160,160.379638731
161,161.340378199
162,162.629306353
163,163.808820634
164,164.829004694
165,165.792172965
166,166.466846463
167,167.778535537
168,168.189698582
169,169.814780916
170,170.022165435
171,170.992463115
172,172.529363986
173,173.795463696
174,175.262216238
175,176.172346666
176,177.323842814
177,178.52095683
178,179.453759723
179,180.116291729
180,180.122856344
181,180.508732787
182,181.523910416
183,182.586921979
184,183.605568679
185,185.05498984
186,185.85043808
187,186.321997317
188,187.264201376
189,188.205700464
190,188.88298193
191,191.086948225
192,191.329467681
193,193.892226202
194,195.132691031
195,195.919125026
196,196.370289117
197,197.389046193
198,197.803475386
199,198.98038157
200,200.406608133
201,201.067495988
202,201.571592752
203,202.318249313
204,202.349876574
205,203.149461243
206,205.567633514
207,206.710490666
208,207.283988503
209,208.569134326
210,209.441276708
211,209.721272959
212,209.728870151
213,210.546380886
214,212.029910673
215,212.310399503
216,213.304837113
217,213.817164629
218,216.466235798
219,218.664671127
220,219.503169927
221,219.596685237
222,219.727728618
223,220.847852618
224,221.604668467
225,222.059240611
226,223.552149056
227,224.590773894
228,225.006194162
229,226.376146507
230,227.57559429
231,228.077321568
232,229.177502546
233,229.702460812
234,231.517907001
235,232.51231014
236,234.014545859
237,234.644246605
238,235.346324519
239,236.553749597
240,237.608428697
241,239.228056384
242,239.332308144
243,239.3958575
244,242.209799729
245,243.113813024
246,244.193600819
247,245.055468955
248,245.533940894
249,246.739070001
250,247.83790639
251,248.13966386
252,248.316393103
253,249.194467573
254,249.412855619
255,250.235274506
256,251.755679425
257,252.374894302
258,253.104266362
259,255.061560659
260,255.325400184
261,256.597495477
262,256.979857713
263,258.807777676
264,260.797873228
265,261.346081387
266,261.540350008
267,261.840999934
268,262.508762708
269,263.453991295
270,263.998292521
271,265.672628353
272,266.391165479
273,267.674958465
274,268.935714948
275,269.479515262
276,271.193500721
277,272.847886097
278,273.672717938
279,273.869984762
280,274.374654442
281,276.154687537
282,277.173429563
283,278.351162103
284,278.81602501
285,279.160929112
286,279.937556217
287,281.197225419
288,281.396053572
289,282.328287701
290,284.590588362
291,285.127953259
292,286.209138856
293,287.369749518
294,288.683232206
295,288.975816003
296,289.879093495
297,290.435987585
298,291.614543519
299,293.4233492
300,294.055026787
301,294.639614951
302,295.428166788
303,297.559765538
304,298.488653568
305,298.881250465
306,299.675821451
307,300.565342348
308,301.0038614
309,302.331537864
310,303.355087258
311,304.299621831
312,304.90441764
313,306.05082451
314,306.71937977
315,307.720884698
316,308.406905404
317,308.417636377
318,308.917858109
319,309.745291377
320,311.017003604
321,313.242358717
322,314.352733658
323,314.836356897
324,316.166886408
325,317.711800277
326,318.413519129
327,319.212042639
328,320.526284832
329,320.745390371
330,320.760775755
331,320.975246229
332,322.134061354
333,323.299361258
334,325.092414116
335,326.475705481
336,327.876478434
337,328.259741506
338,328.519654615
339,329.46821635
340,330.867515419
341,331.326146279
342,333.561773624
343,334.94759794
344,335.146544579
345,335.561070817
346,336.203723368
347,337.137683095
348,338.019207932
349,338.391284007
350,339.192669313
351,339.819634917
352,341.623961448
353,343.010695943
354,344.407566527
355,344.469896807
356,345.938483964
357,346.81875542
358,348.671492753
359,350.237584043
360,350.875427629
361,352.123332462
362,353.303311279
363,354.280406775
364,355.485028428
365,356.525056176
366,357.453156847
367,357.746113628
368,357.772772292
369,358.196062967
370,359.599902449
371,360.228210931
372,360.821065551
373,361.072141135
374,361.905011287
375,363.074915514
376,363.443150281
377,364.804217966
378,365.149143225
379,367.010537124
380,367.639274751
381,368.771097014
382,369.910441291
383,370.592780278
384,371.292414765
385,372.126507941
386,372.586096184
387,373.045447234
388,375.375760763
389,376.753319433
390,377.487938632
391,378.324349218
392,378.707330813
393,379.83260645
394,381.174495153
395,381.591267868
396,384.20771679
397,385.561846663
398,386.732241909
399,387.208232455
400,387.372269605
401,387.794343299
402,388.397054603
403,389.566918593
404,390.10555831
405,390.551361892
406,391.584999948
407,393.06609897
408,393.667705495
409,394.762135083
410,394.797918972
411,397.317753119
412,398.884651711
413,400.441602801
414,401.131242764
415,401.865698471
416,402.686599078
417,403.574631955
418,404.008801253
419,404.65203672
420,405.362727254
421,406.644574748
422,407.627925321
423,408.437430682
424,409.688571015
425,410.459356195
426,411.574527577
427,413.332566164
428,414.148186767
429,415.057407779
430,416.971712232
431,417.40754978
432,418.47341325
433,418.923637508
434,419.420475576
435,419.451199689
436,420.568812564
437,420.718379389
438,422.073471911
439,423.241338434
440,423.805187277
441,424.818598224
442,424.853455041
443,425.742073065
444,426.823706068
445,427.10490478
446,428.13725415
