# Domain: isosceles_triangle (accuracy of the first 1000 eigenvalues against DOF, dense eig)
# Reference: the closed form, dofs = 0
# max_rel_error = max over k <= 1000 of |lambda_k - lambda_k^ref| / lambda_k^ref
method,resolution,dofs,max_rel_error,arg_max,rel_error_at_n,time_s
DST,M = 46,1035,0.229575543416,1000,0.229575543416,0.0498
DST,M = 56,1540,0.0165309610858,790,0.0113707570077,0.1396
DST,M = 66,2145,0.0116257009872,937,0.00760295320473,0.4325
DST,M = 76,2850,0.00555788947709,975,0.00470150941571,0.5642
DST,M = 86,3655,0.00335415754383,942,0.00251564298634,1.0578
DST,M = 96,4560,0.00227132523106,986,0.0015750618972,1.8463
DST,M = 106,5565,0.00157555740999,980,0.0010710146321,2.9705
DST,M = 116,6670,0.00113632583427,980,0.000768672665738,4.8366
DST,M = 126,7875,0.000850480727502,980,0.00057362500781,8.2733
DST,M = 141,9870,0.000580234210021,980,0.000390330519957,18.4449
FD,M = 46,1035,0.421472341891,732,0.367728266531,0.0534
FD,M = 56,1540,0.417910134605,995,0.417089816027,0.1426
FD,M = 66,2145,0.333941398608,997,0.333646212699,0.2657
FD,M = 76,2850,0.255811207291,1000,0.255811207291,0.5055
FD,M = 86,3655,0.203581429708,997,0.203567660285,1.0157
FD,M = 96,4560,0.165563202229,995,0.164677947945,1.7700
FD,M = 106,5565,0.137267189491,975,0.135317740346,2.9072
FD,M = 116,6670,0.116009839047,997,0.115495631952,4.6264
FD,M = 126,7875,0.0998241559005,994,0.0989581957771,7.5549
FD,M = 141,9870,0.0816046062414,972,0.078027205554,14.5696
FD,M = 155,11935,0.0687879787324,974,0.0658871657274,25.0711
FD,M = 174,15051,0.0569266560497,975,0.0525414072065,43.7074
FEM,Hmax = 0.1425,1032,0.983608950647,999,0.982329150506,0.1675
FEM,Hmax = 0.1168,1569,0.49727279867,999,0.494631800515,0.2225
FEM,Hmax = 0.099,2218,0.319719085448,999,0.316640091786,0.7383
FEM,Hmax = 0.0861,2905,0.20481249963,999,0.202966111187,1.9609
FEM,Hmax = 0.0761,3733,0.140372235236,990,0.138377861525,4.7527
FEM,Hmax = 0.0681,4706,0.0685239804691,968,0.0615425304125,9.9553
FEM,Hmax = 0.0617,5787,0.0542131167174,1000,0.0542131167174,18.6657
FEM,Hmax = 0.0564,6984,0.0400923750217,999,0.0396580128437,33.5704
FEM,Hmax = 0.0519,8293,0.0295404332653,1000,0.0295404332653,55.8575
FEM,Hmax = 0.0464,10357,0.0198781957209,999,0.0198529792336,108.8706
FEM,Hmax = 0.0422,12410,0.0143427061038,1000,0.0143427061038,185.5825
FEM,Hmax = 0.0376,15839,0.00912010108891,1000,0.00912010108891,411.5312
