# Domain: rectangle (accuracy of the first 1000 eigenvalues against DOF, dense eig)
# Reference: the closed form, dofs = 0
# max_rel_error = max over k <= 1000 of |lambda_k - lambda_k^ref| / lambda_k^ref
method,resolution,dofs,max_rel_error,arg_max,rel_error_at_n,time_s
DST,M = 47,1081,0.126905487805,995,0.125945537065,0.0535
DST,M = 57,1596,1.80762071977e-12,1,1.71992190199e-16,0.1382
DST,M = 67,2211,1.59321444926e-12,1,5.15976570597e-16,1.1124
DST,M = 77,2926,5.84599035847e-13,5,3.43984380398e-16,0.5752
DST,M = 87,3741,3.8955505488e-13,11,6.87968760796e-16,1.1095
DST,M = 97,4656,9.78594982826e-13,11,5.15976570597e-16,1.9175
DST,M = 109,5886,1.95377047874e-12,2,5.15976570597e-16,3.7110
DST,M = 121,7260,4.54392079519e-12,1,3.61183599418e-15,6.5866
DST,M = 133,8778,1.36992639455e-12,1,1.16954689335e-14,11.3446
DST,M = 147,10731,6.95976609677e-12,1,1.56512893081e-14,19.2177
FD,M = 47,1081,0.419283366398,717,0.37747595772,0.0431
FD,M = 57,1596,0.410302446854,994,0.409859244101,0.1306
FD,M = 67,2211,0.322330856744,1000,0.322330856744,0.2797
FD,M = 77,2926,0.247177845793,1000,0.247177845793,0.5310
FD,M = 87,3741,0.197287774957,1000,0.197287774957,0.9801
FD,M = 97,4656,0.16282344393,1000,0.16282344393,1.7779
FD,M = 109,5886,0.130486072027,979,0.128033711549,3.6235
FD,M = 121,7260,0.107681702765,1000,0.107681702765,6.0760
FD,M = 133,8778,0.0904919647566,938,0.0903699878647,9.9488
FD,M = 147,10731,0.0763094865226,938,0.0709836911639,20.1459
FD,M = 163,13203,0.0635977805426,938,0.0579081205531,37.6446
FD,M = 175,15225,0.0559533111942,938,0.0505185912554,48.4745
FEM,Hmax = 0.258,1269,0.813021287986,974,0.790129982764,0.2138
FEM,Hmax = 0.235,1605,0.482518260285,997,0.481492644619,0.2754
FEM,Hmax = 0.1995,2159,0.330237494972,998,0.32601068804,0.7927
FEM,Hmax = 0.1734,2889,0.203665719598,991,0.200438828524,2.1639
FEM,Hmax = 0.1534,3727,0.141543165852,995,0.137376706159,5.2423
FEM,Hmax = 0.1375,4671,0.0698674914883,953,0.0601175105684,11.0700
FEM,Hmax = 0.1223,5931,0.0539058211887,999,0.0516671710404,22.1608
FEM,Hmax = 0.1101,7377,0.0366377068182,997,0.0357250051011,39.8833
FEM,Hmax = 0.1001,8841,0.0265706172831,993,0.025563976781,71.2251
FEM,Hmax = 0.0905,10829,0.0185211689976,998,0.0181531019374,133.6938
FEM,Hmax = 0.0817,13291,0.0126490126604,998,0.0123675893058,250.2588
FEM,Hmax = 0.076,15565,0.00950613638971,998,0.009341568558,397.1626
Cheb,N = 34,1024,35.0013981247,962,33.7412833319,0.2943
Cheb,N = 42,1600,0.688155820514,999,0.684084965438,0.6036
Cheb,N = 52,2500,0.231684981157,1000,0.231684981157,3.4246
Cheb,N = 62,3600,0.0794219359547,991,0.0734684033704,10.6791
Cheb,N = 72,4900,0.023378866368,986,0.018154311649,25.9402
Cheb,N = 82,6400,0.00344563552833,991,0.000378214826027,67.5828
Cheb,N = 92,8100,6.18537922286e-06,988,9.27820104155e-07,121.2260
Cheb,N = 102,10000,6.14138828595e-10,988,2.0720896708e-10,230.4728
Cheb,N = 112,12100,1.23195812526e-11,3,6.53570322757e-15,2463.2775
Cheb,N = 122,14400,3.06262792904e-11,2,5.15976570597e-16,724.1634
