# Domain: L_shaped (DST, dense eig full spectrum)
# Resolution M = 35, dofs = 901
n,lambda_n
1,9.69478875770346
2,15.1956029811241
3,19.7392088021802
4,29.5207766369026
5,32.0453861463874
6,41.575648555163
7,44.9400744621057
8,49.3480220054412
9,49.3480220054477
10,56.8213079438454
11,65.3651479687121
12,71.1884150349606
13,71.5724355446266
14,78.9568352087161
15,89.6948341743952
16,92.3006398583822
17,97.3663335185504
18,98.6960440108925
19,98.6960440108934
20,101.795825296924
21,112.418102301596
22,115.479317538977
23,128.304857214163
24,128.304857214163
25,130.118737106665
26,130.360876377691
27,142.712427545632
28,151.112081753315
29,155.191153000432
30,162.173664928015
31,164.685912204365
32,164.853886034058
33,167.783274818519
34,167.783274818521
35,177.652879219613
36,179.990508112661
37,183.994301205967
38,197.392088021788
39,197.39208802179
40,201.469612373343
41,207.637733813141
42,208.770267513854
43,209.815277545464
44,223.220567691181
45,223.564050290187
46,236.829048178142
47,238.408084583232
48,246.740110027234
49,246.740110027237
50,251.046361430904
51,252.819504313454
52,256.609714428327
53,256.609714428327
54,266.464062157627
55,269.465616779116
56,270.196527326688
57,281.21328995419
58,286.218527631591
59,286.218527631592
60,289.492389263652
61,293.590719856986
62,306.750522449637
63,306.94236062687
64,310.610088471486
65,313.682297576588
66,315.827340834862
67,335.566549637035
68,335.566549637041
69,335.822136818131
70,336.086443521846
71,346.12137079081
72,352.682614651023
73,359.839518146765
74,360.46402227203
75,365.175362840304
76,365.175362840309
77,369.476530829497
78,372.534450121904
79,376.592179785916
80,382.602604565614
81,389.85126593429
82,390.622265433608
83,394.784176043572
84,394.78417604358
85,404.653780444662
86,404.653780444663
87,416.140640576176
88,419.473013930919
89,426.899371409302
90,427.077054659578
91,433.077993184615
92,443.68525186561
93,444.13219804902
94,444.132198049022
95,454.12713042286
96,454.138246358473
97,455.737003353003
98,464.419362773681
99,478.877516578761
100,479.584918821215
101,486.682166199499
102,489.942181085261
103,493.480220054466
104,493.480220054467
105,493.480220054469
106,500.224427295951
107,502.237260944707
108,512.657546714566
109,513.219428856644
110,513.219428856648
111,513.369336094789
112,523.089033257734
113,523.089033257738
114,530.391818995036
115,538.006216164899
116,545.269960087212
117,546.168675980421
118,558.778272711217
119,563.961057646991
120,565.082206016431
121,565.430457933152
122,572.43705526318
123,572.437055263185
124,576.484622580602
125,578.169548563881
126,591.630750431543
127,592.30133305148
128,602.045868466447
129,602.045868466456
130,606.075549835087
131,609.347752387503
132,632.428118144915
133,634.111916557131
134,637.032789363159
135,641.524286070809
136,641.524286070811
137,641.524286070811
138,641.524286070814
139,641.829418437327
140,642.879985249207
141,648.897236033103
142,655.320402707757
143,660.341219137969
144,664.001675318375
145,671.133099274072
146,671.13309927408
147,674.315473698032
148,685.605132284687
149,686.916610179592
150,692.733602123345
151,698.172311280485
152,710.611516878434
153,714.861301300425
154,715.952518559221
155,720.481121279521
156,720.481121279527
157,722.656130280418
158,722.702667771833
159,730.350725680614
160,730.350725680615
161,747.226131839003
162,747.698410734946
163,753.383908639864
164,755.316348241419
165,759.009097166376
166,764.582425857215
167,780.606849481276
168,789.568352087148
169,789.56835208715
170,791.94824554665
171,795.969952484581
172,797.258518111396
173,801.969407549146
174,806.52907781969
175,807.818158062588
176,807.934118488408
177,809.30756088933
178,809.307560889336
179,825.316467689539
180,826.473912828574
181,833.688141152924
182,836.594582517505
183,838.916374092596
184,838.916374092598
185,838.916374092599
186,838.916374092602
187,857.451191410785
188,860.300761125733
189,874.74904508375
190,875.222988720834
191,878.394791696954
192,878.394791696958
193,881.155620092823
194,888.264396098042
195,888.264396098043
196,891.86526797073
197,900.093659699178
198,900.128011765355
199,905.53127712313
200,919.115355810768
201,919.500337637833
202,922.884393612478
203,929.077968416116
204,930.122029948289
205,937.291044958974
206,937.547090670651
207,957.351626905668
208,957.351626905669
209,961.49116739232
210,961.961526752643
211,967.22123130676
212,974.014665561644
213,974.254408524364
214,986.960440108934
215,986.960440108938
216,992.930713727173
217,993.659355435255
218,996.830044510027
219,996.83004451003
220,1000.46636427951
221,1003.46822140471
222,1011.35534816671
223,1013.23865808937
224,1018.26367281735
225,1026.43885771329
226,1026.43885771329
227,1027.86713585651
228,1038.12978860157
229,1040.97880662398
230,1046.17806651547
231,1046.17806651548
232,1049.72953283938
233,1055.46860369777
234,1058.08053428519
235,1062.71334395974
236,1071.35171311737
237,1075.78687971874
238,1075.78687971874
239,1076.06801867504
240,1097.15705584315
241,1097.30979282521
242,1100.03739122432
243,1100.50102193495
244,1106.87347510433
245,1110.46594860677
246,1115.26529732309
247,1115.26529732309
248,1127.39000534736
249,1127.73374811073
250,1138.59270731856
251,1140.13263161873
252,1144.87411052636
253,1144.87411052638
254,1154.74371492746
255,1154.74371492747
256,1163.73189649742
257,1170.01286218565
258,1171.08384348405
259,1174.23635390445
260,1185.18346359908
261,1192.20836820586
262,1194.04238246027
263,1199.91972614422
264,1200.25941609083
265,1204.0917369329
266,1204.09173693291
267,1210.21423936005
268,1217.25041804812
269,1217.4199505396
270,1224.0419288535
271,1225.48614575885
272,1233.70055013617
273,1233.70055013617
274,1233.70055013618
275,1233.70055013618
276,1242.02095105156
277,1242.03139008777
278,1247.14654828247
279,1249.54643947376
280,1263.30936333945
281,1263.329499652
282,1263.529870628
283,1283.04857214162
284,1283.04857214162
285,1283.04857214162
286,1283.04857214163
287,1287.05497843902
288,1289.36771338974
289,1310.56598892875
290,1311.94923307042
291,1316.0070966765
292,1316.15648003842
293,1320.83887969463
294,1330.05789865358
295,1335.25035938644
296,1339.33276972951
297,1342.26619854815
298,1342.26619854815
299,1344.23740798915
300,1344.4314200512
301,1350.15451194929
302,1352.13580294924
303,1352.13580294925
304,1366.94305829593
305,1377.63311891582
306,1382.86429027291
307,1386.31208345968
308,1386.83888540126
309,1398.14154984885
310,1398.39226743998
311,1409.48184508341
312,1410.39196861581
313,1426.13361340155
314,1427.32696304366
315,1431.09263815796
316,1431.09263815796
317,1431.09263815796
318,1431.09263815796
319,1440.96224255905
320,1440.96224255906
321,1442.01865742086
322,1443.14965486573
323,1447.08978718388
324,1447.48847190718
325,1460.53987810688
326,1460.70145136122
327,1460.70145136123
328,1461.59159776773
329,1470.57105576232
330,1470.57105576232
331,1485.37855039234
332,1487.90517192804
333,1488.6843852047
