# Domain: L_shaped (FD, dense eig full spectrum)
# Resolution M = 35, dofs = 901
n,lambda_n
1,9.66995492246422
2,15.1574960923091
3,19.6891520961669
4,29.3794965590235
5,31.8535128895248
6,41.2058764056107
7,44.5171038156435
8,48.9237577788207
9,48.9237577788322
10,56.3458687939736
11,64.6744155114477
12,70.1520033322987
13,70.6421635885734
14,78.1583634614604
15,87.838346203389
16,90.602728978807
17,95.740561718103
18,96.6601143957674
19,96.660114395784
20,100.091803126321
21,110.428986050557
22,113.170975853582
23,125.894720078412
24,125.894720078414
25,126.435895745871
26,126.600787465209
27,139.91478922728
28,147.338111718213
29,150.100832691418
30,157.743802363418
31,159.142700495614
32,159.416657635137
33,161.447776906992
34,161.447776906996
35,173.631076695367
36,173.826531211083
37,177.503915855795
38,190.682382589639
39,190.682382589642
40,195.894083807828
41,198.84016094083
42,198.938916251809
43,202.009283075519
44,215.345617207216
45,216.119428450362
46,225.713867273653
47,228.341944169981
48,236.649374429836
49,237.745151724479
50,238.418739206586
51,238.418739206588
52,241.318204971209
53,241.318204971214
54,252.579212546323
55,255.91626222774
56,259.06406988345
57,268.651941936827
58,270.552810653851
59,270.552810653857
60,276.201865900043
61,281.85839190195
62,285.218766795805
63,285.51948542163
64,294.090259133282
65,296.258194613402
66,303.206401717806
67,312.995714685025
68,313.672330580198
69,318.289167270805
70,318.289167270805
71,327.729548300084
72,329.049121543278
73,331.197713686174
74,333.844576048086
75,333.84457604809
76,336.622433213598
77,345.153820974744
78,345.259305403878
79,354.842710829066
80,355.535295147862
81,363.079181730728
82,363.079181730731
83,364.430096923097
84,365.577490668444
85,382.409699691776
86,382.413217213237
87,383.076829782018
88,383.076829782024
89,386.427560287124
90,389.050681931508
91,408.793946727757
92,410.348838582624
93,410.815538347683
94,410.815538347687
95,411.083293843958
96,416.999901265526
97,423.821419247916
98,431.486647366849
99,431.809734453367
100,436.15326057985
101,436.215523173051
102,436.215523173055
103,442.787560970787
104,443.85199808617
105,448.409594851866
106,453.243391666337
107,462.592821748209
108,462.947257846241
109,462.995828365493
110,465.450128855695
111,465.450128855697
112,475.603200858898
113,475.603200858902
114,485.770354089223
115,487.264076252578
116,490.735716359683
117,491.518297812377
118,495.041284012499
119,500.671978242231
120,511.335172426035
121,513.186485472649
122,513.18648547265
123,517.171925087091
124,518.13753604925
125,520.686285988104
126,526.772680023746
127,530.890366025104
128,539.773626251074
129,540.391450415078
130,545.320556919918
131,545.320556919919
132,545.82406168159
133,546.836874435017
134,555.473628923121
135,555.473628923122
136,556.082287378231
137,559.755950437046
138,569.117370935754
139,569.662459873432
140,574.555162602559
141,574.555162602563
142,577.974147983865
143,577.974147983868
144,585.716242171919
145,591.464337343113
146,594.046097226261
147,597.60491573126
148,601.145612867014
149,602.225536934559
150,602.371117313221
151,614.360631138645
152,619.20013204775
153,621.532846248591
154,622.291519219513
155,622.291519219514
156,628.555987544006
157,628.698730514843
158,632.369670055364
159,635.150753899612
160,648.000000000001
161,652.050562815391
162,652.198326345691
163,654.495028218714
164,656.678682021185
165,657.844576048089
166,657.844576048089
167,657.84457604809
168,657.84457604809
169,668.259490046726
170,670.626282545937
171,680.715262815899
172,680.936636001357
173,682.900046536347
174,687.07918173073
175,687.079181730731
176,687.079181730731
177,687.079181730732
178,687.959734742293
179,697.089048222518
180,704.000054569146
181,709.849533058355
182,710.622197597407
183,714.608925333938
184,714.685229907975
185,716.660614697174
186,719.394429362198
187,727.881974223653
188,729.393831832345
189,734.815538347682
190,734.815538347682
191,741.473057929293
192,741.514828562961
193,743.643624247997
194,745.36137615919
195,750.370947124965
196,750.370947124968
197,764.664162446613
198,764.759559469609
199,766.706271557043
200,766.949609794951
201,766.949609794952
202,768.825145380126
203,770.36859517626
204,770.368595176262
205,780.998175972
206,782.310006675957
207,784.200032489421
208,789.682090862546
209,793.192914971259
210,793.455136314778
211,796.653904049868
212,799.6032008589
213,799.603200858901
214,799.603200858904
215,799.603200858904
216,807.148478961968
217,814.559003402954
218,819.024062894305
219,821.894676635122
220,821.928878155016
221,825.8480488004
222,826.175273343834
223,826.239438099302
224,829.103851429023
225,840.136346819252
226,841.115278224108
227,847.339557475856
228,847.339557475856
229,852.741894249934
230,852.790964143984
231,852.918597424165
232,856.553665525415
233,857.789356617666
234,859.475980871828
235,859.47598087183
236,874.156001187088
237,874.50243167305
238,878.954951504293
239,879.473628923123
240,879.473628923123
241,879.473628923124
242,879.473628923125
243,880.28114865274
244,889.432280581717
245,890.820051995296
246,892.242001033383
247,893.407447532258
248,900.588468233161
249,904.056160898311
250,904.106768510851
251,907.973427806451
252,908.708234605764
253,908.708234605764
254,912.127219987073
255,912.127219987074
256,918.783155532165
257,924.35679236242
258,926.745875851631
259,928.92755326848
260,929.904893501709
261,930.366135931899
262,934.022494032273
263,934.415603976289
264,938.34412913159
265,940.7046818394
266,951.845822188815
267,952.969870286869
268,956.444591222715
269,956.444591222717
270,959.194637099252
271,959.547369994314
272,961.846927996794
273,961.846927996798
274,967.71289629727
275,968.984845861385
276,972.000000000002
277,972.000000000002
278,977.041123908179
279,977.345017175805
280,981.844576048088
281,981.844576048093
282,987.87735895692
283,988.286227641269
284,991.997648051293
285,991.997648051294
286,994.549527222149
287,995.920665252988
288,998.094838711137
289,1001.31999358588
290,1005.53061881288
291,1009.09368056405
292,1009.98447491335
293,1011.07918173073
294,1011.07918173073
295,1013.02772351052
296,1019.62391193744
297,1021.23225373394
298,1021.23225373394
299,1028.17904718307
300,1028.25777331226
301,1029.21555793082
302,1032.97731603591
